ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001691877-17-000004	0	Close the funding round for a total of $10,500.		Me Tyme Network, Inc.	Corporation		CA	2016-04-18	8885 RIO SAN DIEGO DR. SUITE 237		SAN DIEGO	CA	92108	www.metymenetwork.com	DreamFunded MarketPlace, LLC	0001670761	007-00037	6639970
0001712427-17-000004	0			Kookaburra Sustainable Solutions Inc														
0001710332-17-000003	1		Extending the offering end date to end on October 25, and lowering the valuation and share price (to $4m pre-money valuation and $3.42, respectively).	Duralogic USA, LLC	Corporation		DE	2017-06-28	12 La Montagne Ln		Sandy	UT	84092	https://www.ravean.com	SI Securities, LLC	0001603038	008-69440	170937
0001670254-17-000268	0		Extended deadline date, and updated business plan.	BLAZnTECH, Inc.	Corporation		DE	2016-11-04	13850 Ballantyne Corporate Pl Suite 500		Charlotte	NC	28277	https://blazntech.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000454	0			New Age Automotive Concepts LLC d/b/a Perfect Price Auto	Limited Liability Company		CA	2015-04-13	44349 Lowtree Ave Suite 111		Lancaster	CA	93536	perfectpriceauto.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000451	0			LifeBridge 10000, LLC	Limited Liability Company		FL	2015-01-05	862 E Wildmere Ave		Longwood	FL	32750	http://www.lifebridge10000.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000446	0			Jasperate, Inc.	Corporation		IL	2017-03-30	1932 Pleasant Hill Lane		Lisle	IL	60532	www.jasperate.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000444	0			Los Angeles SuperStars, Inc	Corporation		NV	2017-01-22	1055 West 7th Street	33rd Floor	Los Angeles	CA	90017	www.lasuperstarsbb.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000441	0			VOLAERO UAV AND DRONES HOLDINGS CORP	Corporation		FL	2016-05-17	14530 Biscayne Blvd		North Miami	FL	33181	volaerodrones.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000266	1		Recoup Fitness LLC has reorganized to a colorado registered corporation. Updated contracts, changed deadline date, included video transcripts, and updated business plan.	Recoup Fitness Inc	Corporation		CO	2015-05-28	3149 S. Broadway		Englewood	CO	80113	http://recoupfitness.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000439	1		Issuer is extending the end date of the offering and reducing the minimum investor purchase amount.	FAMA, Inc.	Corporation		GA	2015-07-10	13010 MORRIS ROAD	BUILDING 1, SUITE 600	ALPHARETTA	GA	30534	https://www.famacash.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000437	0			ICFB Productions LLC	Limited Liability Company		NY	2017-04-09	353 W. 48th St 4FL #PMB 450		New York	NY	10036	itcamefrombeyond.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000434	0			Martell Broadcasting Systems, Inc	Corporation		DE	2013-11-15	1820 Avenue M Unit #515		Brookyln	NY	11230	http://www.zenither.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000431	0			The Tetons Group, Inc.	Corporation		WY	2017-04-02	1491 Walker Lane		Farmington	UT	84025	www.TheTetonsGroup.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000428	0			WitFoo Inc	Corporation		DE	2016-02-05	1155 Mt Vernon Hwy NE	Suite 800	Atlanta	GA	30338	https://www.witfoo.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000426	1		Issuer is extending the end date of their offering.	Keezel, Inc.	Corporation		DE	2017-04-27	20377 SW ACACIA STREET, 2ND FLOOR		NEWPORT BEACH	CA	92660	https://www.keezel.us	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000264	0			Clip Interactive, LLC	Limited Liability Company		CO	2012-01-14	3100 Carbon Place	Suite 102	Boulder	CO	80503	http://www.clipinteractive.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001717605-17-000001	0			American Draft LLC	Limited Liability Company		TN	2017-09-11	1400 MARKET ST		CHATTANOOGA	TN	37402	http://americandraft.beer	GrowthFountain Capital LLC	0001668506	007-00028	
0001665160-17-000424	0			Care2.com, Inc.	Corporation		DE	1998-09-23	203 Redwood Shores Parkway, Suite 230		Redwood City	CA	94065	http://www.care2.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000262	0	$137,398.00 in investments. Payments are still being processed; final number is yet to be determined.		Rental Marketplace, LLC	Limited Liability Company		DE	2015-07-06	14431 Ventura Blvd. # 232		Sherman Oaks	CA	91423	https://www.rentus.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000422	0	At the close of the offering, the issuer sold 17,826 shares for $11,586.90.		SPARE CS, Inc.	Corporation		DE	2015-10-10	12000 RIVERSIDE DR.		VALLEY VILLAGE	CA	91607	www.gotspare.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000261	0	$1,070,000.00 in investments. Payments are still being processed; final number is yet to be determined.		WhiteClouds Inc.	Corporation		UT	2013-01-18	766 South Depot Drive	Suite 8	Ogden	UT	84404	https://www.whiteclouds.com/	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-17-000139	1		Changed share price	Fathom Drones Inc	Corporation		DE	2017-06-30	401 Hall Street	Suite 213	Grand Rapids	MI	49503	fathomdrone.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-17-000138	0			PERCEPTRE INC	Corporation		FL	2016-09-09	1422 Hendry St	3rd Floor	Fort Myers	FL	33901	perceptre.net	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-17-000421	1		Issuer has extended the end date of their offering and adjusted the maximum funding goal to $1,070,000.	MedAnswers	Corporation		DE	2012-12-05	1299 PENNSYLVANIA AVE	SUITE 700	WASHINGTON	DC	20004	www.medanswers.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000420	0			LARADA SCIENCES INC														
0001608695-17-000005	0		Extended the closing date from 9/30/2017 to 10/30/2017	G. Randall & Sons, Inc.	Corporation		CA	2014-04-08	2069 COAST BLVD		DEL MAR	CA	92014	Randysclub.com	truCrowd, Inc	0001667145	007-00015	
0001665160-17-000419	0			Print The Future Inc.														
0001669191-17-000131	0			Fathom Drones Inc	Corporation		DE	2017-06-30	401 Hall Street	Suite 213	Grand Rapids	MI	49503	fathomdrone.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001717615-17-000003	0		Adding an additional exhibit that could not be properly formatted initially. Offering has not been made public yet. No investments have been received.	Triumph Wine Group, LLC	Limited Liability Company		CA	2016-09-02	600 TRANCAS STREET	2ND FLOOR	NAPA	CA	94558	http://triumphwinegroup.com/	FlashFunders Funding Portal, LLC	0001665087	007-00009	
0001665160-17-000418	0	At the end of the offering, the issuer closed on $123,851.00 and 17,693 shares.		Los Angeles SuperStars, Inc.	Corporation		NV	2017-01-22	1055 WEST 7TH STREET	33RD FLOOR	LOS ANGELES	CA	90017	www.lasuperstarsbb.com	StartEngine Capital, LLC	0001665160	007-00007	
0001640709-17-000008	0			Techotel, Inc.	Corporation		DE	2014-04-14	137 W. 25TH ST., 11TH FL.		NEW YORK	NY	10001	www.bellhop.me	OpenDeal Inc.	0001672732	007-00046	283874
0001640709-17-000007	0	The Issuer raised approximately $107,000 during the offering period. Payments are still being processed. The exact amount is yet to be determined.		Techotel, Inc.	Corporation		DE	2014-04-14	137 W. 25TH ST., 11TH FL.		NEW YORK	NY	10001	www.bellhop.me	OpenDeal Inc.	0001672732	007-00046	283874
0001716462-17-000001	0			Van Soups LLC	Limited Liability Company		CA	2013-08-08	13050 San Vicente Blvd		Los Angeles	CA	90049	https://soupure.com/	SI Securities, LLC	0001603038	008-69440	170937
0001665160-17-000416	0			The Real Bloody Mary, Co. LLC	Limited Liability Company		DE	2016-05-20	12711 Ventura Blvd. #290		Studio City	CA	91604	https://www.vampire.com/bloodymary	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000414	1		Extended the deadline of the offering.	Alkane Truck Company, Inc	Corporation		SC	2011-02-07	1053 LONDON STREET		MYRTLE BEACH	SC	29577	www.alkanetruckcompany.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000413	1		Extending the offering end date.	OPER, LLC	Limited Liability Company		DE	2015-02-24	911 WASHINGTON AVENUE	SUITE 731	ST. LOUIS	MO	63101	www.paywithoper.com	StartEngine Capital, LLC	0001665160	007-00007	
0001711471-17-000005	0			YeKim LLC														
0001717615-17-000002	0			Triumph Wine Group, LLC	Limited Liability Company		CA	2016-09-02	600 TRANCAS STREET	2ND FLOOR	NAPA	CA	94558	http://triumphwinegroup.com/	FlashFunders Funding Portal, LLC	0001665087	007-00009	
0001711429-17-000005	1		Updating to include the recent webinar and restate the deadline to raise the minimum amount.	Three Little Stooges Productions LLC	Limited Liability Company		CA	2016-05-12	1415 Gardena Ave.		Glendale	CA	91204	thethreelittlestooges.com	First Democracy VC	0001683054	007-00076	285360
0001684321-17-000007	1		Amend Offering Deadline to March 31, 2018, amend Par. (b)(1) and Par. (c) for management and ownership information of Manager Ranulfo Vizcarra, add audited statement and amend Par. (s) accordingly, amend Par. (I) to disclose marketing contracts and costs.	Italian Cafe, LLC	Limited Liability Company		IL	2014-07-14	21020 N. RAND RD., STE. C-4		LAKE ZURICH	IL	60047	www.goitaliancafellc.com	crowdsourcefunded.com	0001667727	007-00027	001400667
0001665872-17-000004	0		Extend the offering closing date to September 30, 2017	Stanley Grove LLC	Limited Liability Company		CA	2017-02-24	21 GRANDVIEW AVE		IRVINE	CA	92603	www.stanleygrove.com	MinnowCfunding LLC	0001665872	007-00020	
0001711429-17-000004	1		Updated to include a recent webinar	Three Little Stooges Productions LLC	Limited Liability Company		CA	2016-05-12	1415 Gardena Ave.		Glendale	CA	91204	thethreelittlestooges.com	First Democracy VC	0001683054	007-00076	285360
0001665160-17-000411	0			Atmos Home Inc.	Corporation		FL	2017-08-30	13761 Weatherstone Dr.		Spring Hill	FL	34609	http://atmoshome.tech/	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-17-000128	0			HandStack P.B.C.	Corporation		DE	2015-08-07	535 Mission St.	Fl 14	San Francisco	CA	94105	bitesize.co	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-17-000408	0		Updated information about location of Issuer's annual report, and the date by which such report will be available on the Issuer's website.	Filmio, Inc.	Corporation		DE	2016-02-08	5825 OBERLIN DRIVE	SUITE 5	SAN DIEGO	CA	92121	filmio.com	StartEngine Capital, LLC	0001665160	007-00007	
0001716456-17-000004	1		"Amended financials to indicate ""independently reviewed"""	Digital Direct IR, Inc	Corporation		NY	1998-01-01	61-21 183RD STREET		FRESH MEADOWS	NY	11365	http://www.ir3inc.com	GrowthFountain Capital LLC	0001668506	007-00028	
0001649856-17-000002	0			Greensbury Market Corp.	Corporation		DE	2013-12-27	65 N Moore St.,		New York	NY	10013	https://www.greensbury.com/	SI Securities, LLC	0001603038	008-69440	170937
0001716954-17-000007	0			DIY Tee Shirts Screen Printing Supply, INC	Corporation		FL	2012-07-18	5942 BENJAMIN RD		TAMPA	FL	33634	http://merchmakr.com	StartWise, Inc.	0001675291	007-00054	285350
0001670254-17-000259	0		Change deadline date, include video transcripts, and updated business plan.	Balanced Software, Inc.	Corporation		DE	2016-08-17	548 Market Street #90291		San Francisco	CA	94104	https://balancemy.money	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-17-000260	0			San Francisco East Bay Brewing Inc.	Corporation		DE	2017-06-23	12893 Alcosta Blvd	Ste. N	San Ramon	CA	94583	http://www.sfebb.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000407	1		Issuer is extending the end date of their offering by 30 days.	GeoOrbital Inc.	Corporation		DE	2014-08-07	1 BROADWAY 14TH FLOOR		CAMBRIDGE	MA	02142	www.geoo.com	StartEngine Capital LLC	0001665160	007-00007	
0001711429-17-000003	1		Extending the closing date to October 18, 2017	Three Little Stooges Productions LLC	Limited Liability Company		CA	2016-05-12	1415 Gardena Ave.		Glendale	CA	91204	thethreelittlestooges.com	First Democracy VC	0001683054	007-00076	285360
0001716174-17-000001	0			Tall Idea Labs, Inc.	Corporation		DE	2014-10-03	440 N Wolfe Rd		Sunnyvale	CA	94085	http://www.commerce.ai/	SI Securities, LLC	0001603038	008-69440	170937
0001644600-17-000164	0		Uploading video script.	Stemless Co.	Corporation		DE	2015-09-28	9400 SW MILLEN DRIVE		TIGARD	OR	97224	www.stemless.co	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001716797-17-000001	0			Letz, Inc.	Corporation		DE	2017-08-29	3423 PIEDMOND ROAD, NE		ATLANTA	GA	30305	http://letz.do	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001716588-17-000001	0			Axis Labs USA Inc.	Corporation		DE	2017-07-07	2035 Sunset Lake Road	Suite B-2	Newark	DE	19702	https://helloaxis.com/	SI Securities, LLC	0001603038	008-69440	170937
0001644600-17-000162	0			Stemless Co.	Corporation		DE	2015-09-28	9400 SW MILLEN DRIVE		TIGARD	OR	97224	www.stemless.co	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001665160-17-000406	0	The amount of securities sold at the close of the offering was $1,069,999.70.		Gab Al Inc	Corporation		DE	2016-09-08	1200 E PARMER LANE	APT 130	AUSTIN	TX	78753	https://gab.ai/	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000257	0			My Joy Yoga, LLC	Limited Liability Company		TX	2013-08-14	11435 Gallant Ridge Lane		Houston	TX	77082	http://www.myjoyyoga.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001710903-17-000006	0		The Form C of the Company dated August 24, 2017 is hereby amended to shorten the offering deadline to September 22, 2017 at 11:59pm PT.	Light Phone Inc.	Corporation		DE	2015-02-23	19 MORRIS AVENUE	NEW LAB	BROOKLYN	NY	11205	www.lightphone.com	OpenDeal Inc.	0001672732	007-00046	283874
0001716130-17-000001	0			GuestOf, Inc.	Corporation		DE	2017-08-29	2025 Washington Ave	Suite 214	Philadelphia	PA	19146	https://www.guestofapp.com/	SI Securities, LLC	0001603038	008-69440	170937
0001640709-17-000006	0		The Form C of the Company dated September 1, 2017 is hereby amended to shorten the offering deadline to September 24, 2017 at 11:59pm PT.	Techotel, Inc.	Corporation		DE	2014-04-14	137 W. 25TH ST., 11TH FL.		NEW YORK	NY	10001	www.bellhop.me	OpenDeal Inc.	0001672732	007-00046	283874
0001669191-17-000126	0	End of offering		Caylent, Inc.	Corporation		DE	2015-08-07	415 Madison	4th Floor	New York	NY	10017	https://caylent.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001715813-17-000002	0		Revised website description in offering circular. No investment was accepted prior to the filing of this amendment.	PieShell, LLC	Limited Liability Company		DE	2015-07-28	15 ABINGDON SQUARE	#31	NEW YORK	NY	10014	http://www.pieshell.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001715704-17-000001	0			CrediBLL Inc.	Corporation		DE	2016-08-22	39510 Paseo Padre Parkway	Suite 110	Fremont	CA	94538	https://www.credibll.com/	SI Securities, LLC	0001603038	008-69440	170937
