ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001691877-17-000004	5% of the amount raised	2% of the Securities issued in this offering	Other	CROWD SAFE	10000	1.0		10000.0	Y	Other	At issuer's discretion	100000.0	2017-06-30	6	2333112	0	1114	0	748	0	38787.42	0	5000	0	12250	0	3165	0	0	0	0	0
0001712427-17-000004																																
0001710332-17-000003	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5.00% of the number of securities sold.	Preferred Stock		312865	3.42		25000.0	Y	First-come, first-served basis		1070000.0	2017-10-25	5	1246901	1033136	817297	803906	0	0	1185060	961835	272330	0	1887394	1312635	0	0	0	0	0	63045
0001665160-17-000454	6 percent	N/A	Common Stock		25000	0.4	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2017-12-28	3	25654	40988	25654	40988	0	0	0	0	50000	50000	0	500	0	0	0	0	-15334	-10412
0001665160-17-000451	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2017-12-28	4	2519	989	404	989	0	0	0	0	0	0	0	0	0	0	0	0	-160565.78	-26519.920000000002
0001670254-17-000268	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2017-10-28	1	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000446	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-12-28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000444	6 percent	N/A	Common Stock		1428	7.0	N/A	9996.0	Y	Other	At issuer's discretion	411145.0	2018-01-26	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-17-000266	4.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1000000.0	2017-10-30	5	143032	1083	25810	1083	0	0	0	0	54496	0	86679	3328	6020	0	0	0	-129760	1083
0001665160-17-000441	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	400000.0	2017-11-13	8	101196	0	0	0	100	0	43397	0	351072	0	2250	0	0	0	0	0	-293773	0
0001665160-17-000439	5 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	1000000.0	2017-12-27	11	1937	2219	947	2219	0	0	0	0	74485	8697	0	0	635732	276138	0	0	-636241	-276138
0001665160-17-000437	6 percent	N/A	Common Stock		100	100.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2017-12-27	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000434	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2017-12-27	1	40	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000431	6 percent	N/A	Common Stock		5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2017-12-27	3	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-17-000428	6 percent	N/A	Common Stock		5434	1.84	N/A	9998.56	Y	Other	At issuer's discretion	106999.68000000001	2017-11-27	5	20358.62	0	18858.62	0	0	0	17229.04	0	0	0	0	0	102319.15000000001	0	7689.17	0	-363370.42	0
0001665160-17-000426	6 percent	N/A	Debt			1.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2017-11-27	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
