ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001691877-17-000004	1	Manny Fernandez	CEO	2017-09-29
0001712427-17-000004	1	/s/ Michael Schieck	Board Member	2017-09-29
0001710332-17-000003	1	Henry Deutsch	Director	2017-09-28
0001710332-17-000003	2	Bryce Fisher	Director	2017-09-28
0001665160-17-000454	3	Glendon Luettgerodt	CTO and Manager, Director	2017-09-28
0001665160-17-000454	2	Alex Bean	CEO and Manager, Principal Executive Officer and Director	2017-09-28
0001665160-17-000451	1	Peter F Travers	CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer	2017-09-28
0001670254-17-000268	1	Benjamin Bondar	CEO & Founder	2017-09-28
0001665160-17-000454	1	George Cady	CFO and Manager, Principal Financial Officer and Principal Accounting Officer	2017-09-28
0001665160-17-000446	1	David Weksel	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-28
0001665160-17-000444	2	Mark Scoggins	Chairman and CEO	2017-09-28
0001665160-17-000444	1	John Askew	Executive Vice President	2017-09-28
0001665160-17-000441	1	Charles Zwebner	CEO, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2017-09-27
0001670254-17-000266	1	Matt Hyder	CEO	2017-09-20
0001665160-17-000439	1	Saiful Khandaker	Principal Executive Officer, Financial Controller, Principal Financial Officer, Director	2017-09-27
0001665160-17-000437	1	Cornell Christianson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-27
0001665160-17-000434	1	Carey Ray Martell	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-27
0001665160-17-000431	1	Rubin Rodriguez Jr.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-27
0001665160-17-000428	1	Tim Bradford	CTO/Director	2017-09-27
0001665160-17-000426	1	Aike Muller	Principal Executive Officer and President	2017-09-26
0001665160-17-000426	2	Friso Schmid	Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-26
0001670254-17-000264	2	Jeff Thramann	Founder & Chairman of the Board	2017-09-21
0001670254-17-000264	1	Michael T. Lawless	CEO	2017-09-21
0001717605-17-000001	1	/s/ J. Dakin Cranwell, Jr	Board Member	2017-09-26
0001665160-17-000424	1	Marlin Miller	CFO and Principal Accounting Officer	2017-09-26
0001665160-17-000424	2	Randy Paynter	CEO and Board Director	2017-09-26
0001665160-17-000424	3	Gerald Marxman	Board Director	2017-09-26
0001665160-17-000424	4	Frank Kocsis	Board Director	2017-09-26
0001670254-17-000262	1	Elias Chavando	President & CEO	2017-09-18
0001665160-17-000422	1	Dontra Hughes	Principal Executive Officer and Director, Principal Accounting Officer, Principal Financial Officer	2017-09-26
0001670254-17-000261	4	Jerry Ropelato	Chief Executive Officer	2017-09-21
0001670254-17-000261	2	Joey Skinner	Chief Operating Officer	2017-09-21
0001670254-17-000261	1	Braden Ellis	CRO	2017-09-21
0001670254-17-000261	3	Lesa May	Controller	2017-09-21
0001669191-17-000139	3	Matthew Gira	Principal Accounting Officer	2017-09-25
0001669191-17-000139	2	Matthew Gira	Principal Financial Officer	2017-09-25
0001669191-17-000139	1	Matthew Gira	Principal Executive Officer	2017-09-25
0001665160-17-000421	1	Alice Crisci	Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer	2017-09-25
0001665160-17-000419	1	Neil Patel	Chief Executive Officer, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-25
0001669191-17-000138	1	William Overhulser	Principal Executive Officer	2017-09-19
0001669191-17-000138	2	William Overhulser	Principal Financial Officer	2017-09-19
0001608695-17-000005	1	Brendon Strause	Co-founder	2017-09-25
0001665160-17-000420	2	Perry Christensen	Principal Financial Officer and Principal Accounting Officer	2017-09-25
0001665160-17-000420	1	Claire Roberts	Principal Executive Officer and Director	2017-09-25
0001665160-17-000420	4	Jeff Davis	Director	2017-09-25
0001665160-17-000420	3	Yuri Pikover	Director	2017-09-25
0001669191-17-000131	3	Matthew Gira	Principal Accounting Officer	2017-09-25
0001669191-17-000131	2	Matthew Gira	Principal Financial Officer	2017-09-25
0001669191-17-000131	1	Matthew Gira	Principal Executive Officer	2017-09-25
0001669191-17-000138	3	William Overhulser	Principal Accounting Officer	2017-09-19
0001669191-17-000138	4	William Overhulser	Board Member	2017-09-19
0001669191-17-000138	5	Gerald  Smith	Board Member	2017-09-20
0001717615-17-000003	1	/s/ Kevin Fitzgerald	Managing Director/CFO	2017-09-25
0001717615-17-000003	2	/s/ Richard Meigs	Managing Director	2017-09-25
0001717615-17-000003	3	/s/ William T. Hough Jr.	Chairman	2017-09-25
0001717615-17-000003	4	/s/ Robert Francis	Managing Director/CEO	2017-09-25
0001665160-17-000418	2	John Askew	Executive Vice President	2017-09-25
0001665160-17-000418	1	Mark Scoggins	Chairman and CEO	2017-09-25
0001640709-17-000008	1	Payam Safa	Director	2017-09-25
0001640709-17-000007	1	Payam Safa	Director	2017-09-25
0001716462-17-000001	3	Angela Blatteis	Director & CFO	2017-09-25
0001716462-17-000001	2	Jesse Langley	CEO	2017-09-25
0001716462-17-000001	1	Greg Davis	CMO	2017-09-25
0001716462-17-000001	4	Vivienne Vella	Director	2017-09-25
0001665160-17-000416	2	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-22
0001665160-17-000416	1	Lisa Machat	Director	2017-09-22
0001665160-17-000414	1	Robert Smith III	CEO,CFO, Director	2017-09-22
0001665160-17-000413	1	David Laiderman	Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2017-09-22
0001711471-17-000005	1	Martez Malone	Managing Member	2017-09-21
0001717615-17-000002	1	/s/ Kevin Fitzgerald	Managing Director/CFO	2017-09-21
0001717615-17-000002	2	/s/ Richard Meigs	Managing Director	2017-09-21
0001717615-17-000002	3	/s/ William T. Hough Jr.	Chairman	2017-09-21
0001717615-17-000002	4	/s/ Robert Francis	Managing Director/CEO	2017-09-21
0001711429-17-000005	1	Earl Benjamin	President, CEO	2017-07-06
0001684321-17-000007	1	Christy J. Jepson	Manager	2017-09-21
0001665872-17-000004	1	Lu Yang	Managing Partner	2017-09-21
0001711429-17-000004	1	Earl Benjamin	President, CEO	2017-07-06
0001665160-17-000411	1	Mark Lyle	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-09-21
0001665160-17-000411	2	Chris Ladwig	Chief Design Officer and Director	2017-09-21
0001669191-17-000128	1	Jessica Hyejin Lee	Principal Executive Officer	2017-09-17
0001669191-17-000128	2	Jessica Hyejin Lee	Principal Financial Officer	2017-09-17
0001669191-17-000128	3	Jessica Hyejin Lee	Principal Accounting Officer	2017-09-17
0001669191-17-000128	4	Jessica Hyejin Lee	Board Member	2017-09-17
0001665160-17-000408	1	Ian LeWinter	President	2017-09-20
0001665160-17-000408	2	Bryan Hertz	Executive Chairman	2017-09-20
0001665160-17-000408	3	Bob Giargiari	Chief Financial Officer	2017-09-20
0001665160-17-000408	4	Patrick Read Johnson	EVP Development	2017-09-20
0001665160-17-000408	10	Kevin Hertz	Chief Technology Consultant	2017-09-20
0001665160-17-000408	6	Corey Hertz	Chief Product Officer	2017-09-20
0001665160-17-000408	7	Don Richmond	Chief Creative Officer	2017-09-20
0001665160-17-000408	8	Elvis Williams	VP, Sound	2017-09-20
0001665160-17-000408	9	Chris J. Davis	Chief Technology Officer	2017-09-20
0001665160-17-000408	5	Peter Bowers	Chief Content Officer	2017-09-20
0001716456-17-000004	2	/s/ Howard Carpenter	Board Member	2017-09-19
0001716456-17-000004	1	/s/ Peter Kaufman	Board Member	2017-09-19
0001649856-17-000002	4	Bradley Harrison	Board of Director	2017-09-19
0001649856-17-000002	3	Todd Horowitz	Board of Director	2017-09-19
0001649856-17-000002	2	Mrinali Vaswani	CFO & COO	2017-09-19
0001649856-17-000002	1	Edward B. Hopper, III	CEO	2017-09-19
0001649856-17-000002	5	Ray Rastelli	Board of Director	2017-09-19
0001716954-17-000007	1	Gary Paul Jurman	President	2017-09-17
0001665160-17-000407	1	Michael Burtov	Chief Executive Officer	2017-09-18
0001670254-17-000260	5	Ian Schuster	CEO	2017-09-13
0001670254-17-000260	4	Murty Chennubhotla	President	2017-09-13
0001670254-17-000260	3	Darron Rolfe Brackenbury	Non Executive Director	2017-09-13
0001670254-17-000260	2	Atul Madne	COO	2017-09-13
0001665160-17-000407	2	Richard Cuoto	Chief Financial Officer, Principal Accounting Officer	2017-09-18
0001670254-17-000259	1	Benjamin Norman Baron	Chief Technology Officer	2017-09-14
0001670254-17-000259	3	Richard Burton	Chief Executive Officer	2017-09-14
0001670254-17-000259	2	Christian Alexander Baroni	Chief Design Officer	2017-09-14
0001670254-17-000260	1	Chris Hampton	Chief Restaurant Officer	2017-09-14
0001711429-17-000003	1	Earl Benjamin	President, CEO	2017-07-06
0001716174-17-000001	1	Anand (Andy) Pandharikar	Founder and CEO	2017-09-18
0001644600-17-000164	2	Sunder Nadarajah	Controller	2017-09-18
0001644600-17-000164	1	Koushalah Sunder	Principal Executive Officer, Principal Financial Officer and Director	2017-09-18
0001716797-17-000001	2	Martin Ancevski	Director	2017-09-18
0001716797-17-000001	1	Nino Karas	Director	2017-09-18
0001716588-17-000001	4	Clifton Pereira	Chief Product Officer	2017-09-15
0001716588-17-000001	5	Marc Bishara	Chief Technology Officer	2017-09-15
