ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001691877-17-000004	1	Me Tyme Network, Inc.	Manny Fernandez, signing agent	CEO
0001712427-17-000004	1	Kookaburra Sustainable Solutions Inc	/s/ Michael Schieck	CEO
0001710332-17-000003	1	Duralogic USA, LLC	Bryce Fisher	CEO
0001670254-17-000268	1	BLAZnTECH, Inc.	Benjamin Bondar	CEO & Founder
0001665160-17-000454	1	Perfect Price Auto	Alex Bean	CEO and Manager, Principal Executive Officer and Director
0001665160-17-000451	1	LifeBridge 10000	Peter F Travers	CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000446	1	Jasperate	David Weksel	CCEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000444	1	Los Angeles SuperStars	Mark Scoggins	Chairman and CEO
0001665160-17-000441	1	VolAero Drones	Charles Zwebner	CEO / Director
0001670254-17-000266	1	Recoup Fitness Inc	Matt Hyder	CEO
0001665160-17-000439	1	FAMA, Inc.	Saiful Khandaker	Principal Executive Officer, Financial Controller, Principal Financial Officer, Director
0001665160-17-000437	1	ICFB Productions	Cornell Christianson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000434	1	Martell Broadcasting Systems, Inc	Carey Ray Martell	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000431	1	The Tetons Group	Rubin Rodriguez Jr.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000428	1	WitFoo	Tim Bradford	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-17-000264	1	Clip Interactive, LLC	Jeff Thramann	Founder & Chairman of the Board
0001665160-17-000426	1	Keezel, Inc.	Aike Muller	Principal Executive Officer and President
0001717605-17-000001	1	American Draft LLC	/s/ J. Dakin Cranwell, Jr	CEO
0001665160-17-000424	1	Care2.com, Inc.	Randy Paynter	CEO and Board Director
0001670254-17-000262	1	Rental Marketplace, LLC	Elias Chavando	President & CEO
0001665160-17-000422	1	SPARE CS, Inc.	Dontra Hughes	Principal Executive Officer and Director, Principal Accounting Officer, Principal Financial Officer
0001670254-17-000261	1	WhiteClouds Inc.	Jerry Ropelato	Chief Executive Officer
0001669191-17-000139	1	Fathom Drones Inc	Matthew Gira	Principal Executive Officer
0001669191-17-000131	1	Fathom Drones Inc	Matthew Gira	Principal Executive Officer
0001665160-17-000419	1	Print The Future Inc.	Neil Patel	Chief Executive Officer, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000421	1	MedAnswers	Alice Crisci	Principal Executive Officer and Director, Principal Financial Officer, Principal Accounting Officer
0001665160-17-000420	1	LARADA SCIENCES INC	Claire Roberts	Principal Executive Officer and Director
0001669191-17-000138	1	PERCEPTRE INC	William Overhulser	Principal Executive Officer
0001608695-17-000005	1	G. Randall & Sons, Inc.	Brendon Strause	Co-founder
0001717615-17-000003	1	Triumph Wine Group, LLC	/s/ Kevin Fitzgerald	Managing Director/CFO
0001665160-17-000418	1	Los Angeles SuperStars, Inc.	Mark Scoggins	Chairman and CEO
0001640709-17-000008	1	Techotel, Inc.	Payam Safa	Chief Executive Officer
0001640709-17-000007	1	Techotel, Inc.	Payam Safa	Chief Executive Officer
0001716462-17-000001	1	Van Soups LLC	Angela Blatteis	Co-Founder & CFO
0001665160-17-000416	1	Vampire Gourmet Bloody Mary	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000414	1	Alkane Truck Company, Inc	Robert Smith III	CEO,CFO, Director
0001665160-17-000413	1	OPER, LLC	David Laiderman	Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer
0001711471-17-000005	1	YeKim LLC	Martez Malone	Managing Member
