ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001746059-19-000039	1	Thim Yee	Owner and Founder	2019-09-30
0001665160-19-000965	1	Scott Graham	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2019-09-30
0001782650-19-000004	1	Craig Cozza	Owner	2019-09-30
0001782111-19-000002	1	Shelly Gracon	Owner	2019-09-30
0001669191-19-000346	4	Benjamin White	Board Member	2019-09-30
0001669191-19-000346	3	Benjamin White	Principal Accounting Officer	2019-09-30
0001669191-19-000346	2	Benjamin White	Principal Financial Officer	2019-09-30
0001669191-19-000346	1	Benjamin White	Principal Executive Officer	2019-09-30
0001669191-19-000344	4	Christopher Lustrino	Board Member	2019-09-27
0001788853-19-000001	1	Nohra Murad	Owner	2019-09-27
0001669191-19-000344	3	Christopher Lustrino	Principal Accounting Officer	2019-09-27
0001669191-19-000344	2	Christopher Lustrino	Principal Financial Officer	2019-09-27
0001669191-19-000344	1	Christopher Lustrino	Principal Executive Officer	2019-09-27
0001669191-19-000342	3	Stev Stephens	Principal Accounting Officer	2019-09-27
0001785176-19-000001	1	Sumaya Lakis	CEO and Board Chair	2019-09-27
0001669191-19-000342	1	Christopher Darnell	Principal Executive Officer	2019-09-27
0001669191-19-000342	2	Stev Stephens	Principal Financial Officer	2019-09-27
0001785964-19-000002	1	Joshua Bareket	Principal executive officer, principal financial officer, principal accounting officer	2019-09-27
0001496634-19-000003	1	Leslie D. Michelson	Principal Executive Officer & Board Member	2019-09-26
0001496634-19-000003	2	Gregg S. Britt	President & Board Member	2019-09-26
0001496634-19-000003	3	Milton Rodriguez	Vice President, Finance and Administration	2019-09-26
0001783128-19-000001	2	Lance Mojaver	CTO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-27
0001783128-19-000001	1	Michael Mojaver	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-27
0001668287-19-000056	1	Dano Veal	Owner	2019-09-27
0001728664-19-000007	1	David Nikzad	CEO	2019-08-22
0001668287-19-000053	1	Neil Epstein	Owner	2019-09-27
0001774041-19-000004	1	Katherine Stillwell	CEO and Director	2019-09-27
0001789467-19-000001	1	Joshua Griggs	Managing Member	2019-09-26
0001670254-19-000550	1	Wayne H. Hanson	Co-Founder	2019-09-26
0001670254-19-000550	2	Ryota Yamada	CFO	2019-09-25
0001670254-19-000550	3	David Edward Calver	Chief Clinical Officer/ Co Founder	2019-09-25
0001670254-19-000550	4	Keoke King	CEO, President, Co-Founder	2019-09-25
0001665160-19-000960	1	Steve Grubbs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-26
0001765252-19-000005	1	Neil Biafore	CEO	2019-09-26
0001778950-19-000003	1	Michelle Thimesch	Attorney	2019-09-25
0001670254-19-000547	2	Ken Jarman	Co-Founder/ COO	2019-09-25
0001670254-19-000547	1	Jude Samson	Board Member CTO	2019-09-25
0001670254-19-000547	3	Michael Jarman	Co-Founder/CEO	2019-09-25
0001746059-19-000038	1	Claudia Strobing	Owner and Founder	2019-09-25
0001781842-19-000002	1	Mark Maurice Nasry	Principal executive officer, principal financial officer, controller	2019-09-25
0001781842-19-000002	2	John Hakim	Co-Founder and CTO	2019-09-25
0001746059-19-000037	3	Kwasi Ansu	CMO, Manager, and Co-Founder	2019-09-25
0001746059-19-000037	1	Franz Hochstrasser	CEO, Manager, and Co-Founder	2019-09-25
0001746059-19-000037	2	Matthew Maroney	COO, Manager, and Co-Founder	2019-09-25
0001785538-19-000002	1	Brian Giniewski	Owner	2019-09-25
0001781842-19-000001	1	Mark Maurice Nasry	Principal executive officer, principal financial officer, controller	2019-09-25
0001781842-19-000001	2	John Hakim	Co-Founder and CTO	2019-09-25
0001668287-19-000051	1	Dale Galbraith	Owner	2019-09-25
0001788935-19-000001	1	David Schacter	CEO / Founder	2019-09-25
0001746059-19-000036	1	Ian McGregor	Owner and Founder	2019-09-25
0001746059-19-000036	2	Jeffrey Wetzel	Owner and CoFounder	2019-09-25
0001736388-19-000009	1	Daniel Downs	Director	2019-09-25
0001736388-19-000009	2	Paul Sieradzki	Director	2019-09-25
0001669191-19-000337	4	Sam Malone	Board Member	2019-09-25
0001669191-19-000337	3	Sam Malone	Principal Accounting Officer	2019-09-25
0001669191-19-000337	2	Sam Malone	Principal Financial Officer	2019-09-25
0001669191-19-000337	1	Sam Malone	Principal Executive Officer	2019-09-25
0001660945-19-000003	1	Sam Polk	CEO and Director	2019-09-24
0001776217-19-000003	2	Jordan Zommick	CTO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-24
0001776217-19-000003	1	Michel Bayan	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-24
0001778006-19-000004	1	Michael Peterson	Managing Member	2019-09-24
0001665160-19-000958	1	Bruce Kania	Chief Executive Officer, Principal Executive Officer, Director	2019-09-24
0001665160-19-000958	3	Anne Kania	Executive Vice President, Director, Treasurer, Principal Accounting Officer, and Principal Financial Officer	2019-09-24
0001665160-19-000958	2	Alicia Pettys	Director	2019-09-24
0001670254-19-000543	1	Neil Epstein	CEO / President	2019-09-24
0001670254-19-000538	2	Christian Braun	CEO	2019-09-20
0001670254-19-000538	1	Frank Fuchs	Investor Director (non-executive)	2019-09-20
0001773714-19-000004	1	Oleg Cheine	President	2019-09-24
0001782075-19-000007	1	Andrew Christodoulides	Chief Executive Officer	2019-09-24
0001782075-19-000007	2	George Varvatsoulis	Director	2019-09-24
0001665160-19-000957	1	Daniel Eisenman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-23
0001669191-19-000335	2	Bradley Heimowitz	Principal Financial Officer	2019-09-23
0001669191-19-000335	3	Bradley Heimowitz	Principal Accounting Officer	2019-09-23
0001669191-19-000335	4	Bradley Heimowitz	Board Member	2019-09-23
0001669191-19-000335	1	Bradley Heimowitz	Principal Executive Officer	2019-09-23
0001733855-19-000002	1	James Jordan	Director, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-23
0001733855-19-000002	2	Nicholas Giancola	CEO, issuer, principal executive officer	2019-09-23
0001733855-19-000002	3	Ethan Joffe	CTO, issuer	2019-09-23
0001713167-19-000008	1	Emmanuel Saint-Martin	CEO	2019-09-23
0001746059-19-000035	1	Adam Pearson	Founder	2019-09-23
0001665160-19-000955	1	Adrian Ceron	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer	2019-09-23
0001702784-19-000007	1	John Mullin	CEO, President & Director	2019-09-23
0001702784-19-000007	2	Evan Madden-Peister	CFO	2019-09-23
0001712549-19-000002	1	Amy Jo Miller	COO	2019-09-22
0001712549-19-000002	2	Brian Potts	Board Member	2019-09-22
0001712549-19-000002	3	Abigail Wuest	CEO	2019-09-22
0001722152-19-000002	1	Thymaya Payne	Secretary	2019-09-18
0001665160-19-000954	2	Rita Kikoen	Director, Principal Financial Officer and Principal Accounting Officer	2019-09-20
0001665160-19-000954	1	Brian Freer	CEO, Principal Executive Officer and Director	2019-09-20
0001665160-19-000949	1	David Waldorf	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-20
0001670254-19-000534	1	Jennifer Piette	Founder/CEO	2019-09-20
0001665160-19-000951	1	Chris Thompson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-20
0001670254-19-000530	2	Javier Castro	CEO	2019-09-19
0001670254-19-000530	1	Javier Castro	CEO	2019-09-19
0001746059-19-000033	1	Alexis Jones	Founder & CEO	2019-09-20
0001665160-19-000948	1	Adnan Malik	CEO, Director, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2019-09-20
0001786494-19-000002	1	Keyla Cook	Owner	2019-09-20
0001786494-19-000001	1	Keyla Cook	Owner	2019-09-20
0001767272-19-000004	1	Michael Brown	Chief Executive Officer, Chief Financial Officer and sole Director	2019-09-19
0001670254-19-000527	3	Lori L. Hope	Controller, Director	2019-09-17
0001670254-19-000527	2	Rosemary ONeill	Co-CEO	2019-09-17
0001670254-19-000527	1	Edward O'Neill	Co-CEO	2019-09-17
0001670254-19-000527	4	Molly ONeill	Chief Operating Officer	2019-09-17
0001665160-19-000947	1	Ray Phillips	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-19
0001665160-19-000945	1	Duncan Parker	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-19
0001774858-19-000004	1	Anthony Livadas	COO	2019-09-19
0001746059-19-000032	2	Robert Curry	Owner and CoFounder	2019-09-19
0001746059-19-000032	1	Kyle Davis	Owner and Founder	2019-09-19
0001665160-19-000943	1	Ray Phillips	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-18
0001785115-19-000004	1	Serafina Palandech	CEO	2019-09-18
0001746059-19-000031	1	Paula Corbett	Owner and Founder	2019-09-18
0001785115-19-000003	1	Serafina Palandech	CEO	2019-09-18
0001787023-19-000002	1	Stephanie Bryan	CEO	2019-09-18
0001581437-19-000006	1	/s/ H. Jacob Hanchar	Chief Executive Officer, Managing Member	2019-09-17
0001665160-19-000940	1	Joshua Montgomery	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-09-18
0001788605-19-000001	1	Aaron Coats	CEO, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-18
0001788605-19-000001	2	Amber Venz Box	Chairman, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-18
0001788605-19-000001	3	Baxter Box	Board Member, issuer, principal executive officer, principal financial officer, controller, and principal accounting officer	2019-09-18
0001669191-19-000332	1	Andrew  Weinberger	Principal Executive Officer	2019-09-18
0001669191-19-000332	4	Andrew  Weinberger	Board Member	2019-09-18
0001669191-19-000332	3	Andrew  Weinberger	Principal Accounting Officer	2019-09-18
0001669191-19-000332	2	Andrew  Weinberger	Principal Financial Officer	2019-09-18
0001669191-19-000330	3	Sam Malone	Principal Accounting Officer	2019-09-18
0001669191-19-000330	1	Sam Malone	Principal Executive Officer	2019-09-18
0001669191-19-000330	2	Sam Malone	Principal Financial Officer	2019-09-18
0001669191-19-000330	4	Sam Malone	Board Member	2019-09-18
0001669191-19-000327	2	Lucy Valena	Principal Financial Officer	2019-09-18
0001669191-19-000327	5	Jaime  van Schyndel	Board Member	2019-09-18
0001669191-19-000327	3	Lucy Valena	Principal Accounting Officer	2019-09-18
0001669191-19-000327	1	Jaime  van Schyndel	Principal Executive Officer	2019-09-18
0001669191-19-000327	4	Lucy Valena	Board Member	2019-09-18
0001669191-19-000327	6	Evan Korzon	Board Member	2019-09-18
0001581437-19-000005	1	/s/ H. Jacob Hanchar	Chief Executive Officer, Managing Member	2019-09-17
0001665160-19-000938	2	Alex Nunez	Principal Financial Officer, Principal Accounting Officer, and Director	2019-09-17
0001665160-19-000938	1	Paul Van Kleef	CEO Principal Executive Officer and Chairman of the Board of Directors	2019-09-17
