ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001746059-19-000039	0	At the close of the offering, the issuer closed on $94,700.		Keegan Kreations LLC	Limited Liability Company		MA	2017-08-18	53 HIAWATHA AVENUE		WALTHAM	MA	02451	https://www.keegankreations.com/	MainVest, Inc.	0001746059	007-00162	
0001665160-19-000965	0			KEXY, LLC	Limited Liability Company		CA	2018-04-10	1707 Burgundy Road		Encinitas	CA	92024	www.getkexy.com	StartEngine Capital, LLC	0001665160	007-00007	
0001782650-19-000004	0		update to Use of Funds and financial status of issuer.	CE Communitas, LLC	Limited Liability Company		PA	2019-05-14	9999 KUMMER RD.		ALLISON PARK	PA	15101	https://probikerun.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001782111-19-000002	0	Total offering: $16,500		Glo Cleveland, Inc.	Corporation		OH	2019-01-09	2460 LAKESIDE AVENUE		CLEVELAND	OH	44114	https://glointhecity.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001669191-19-000346	0		issuer extended offering deadline.	Dome Audio Inc.	Corporation		DE	2017-04-03	2 Park Square	Suite 2212	Rahway	NJ	07065	https://www.domeaudioinc.com/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-19-000344	0		issuer added additional use of proceeds detail.	Kings Crowd LLC	Limited Liability Company		DE	2017-12-14	695 Atlantic Ave.	Floor 9	Boston	MA	02111	kingscrowd.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-19-000342	0		issuer added additional use of proceeds detail.	THB Holdco, LLC	Limited Liability Company		DE	2018-05-24	2214 Ripley Avenue		Redondo Beach	CA	90278	http://TheHumanBaton.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001788853-19-000001	0			Camino Kombucha Co.	Limited Liability Company		PA	2019-05-28	2825 I STREET	UNIT B06	PHILADELPHIA	PA	19134	https://caminokombucha.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001785176-19-000001	0			Layali LLC	Limited Liability Company		GA	2018-12-11	700 MITCHELL BRIDGE ROAD		ATHENS	GA	30606	https://layali.us/	OpenDeal Portal LLC	0001751525	007-00167	283874
0001785964-19-000002	0			BUSHL Inc	Corporation		NV	2017-06-09	151 S 2ND STREET		BROOKLYN	NY	11211	https://www.bushlcbd.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
