ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001668287-18-000092	0			TAPtical Design LLC	Limited Liability Company		VA	2018-02-27	4445 Corporation Ln STE 264		Virginia Beach	VA	23462	gettaptical.com	Razitall Inc	0001668287	007-00026	
0001752130-18-000002	0			CoverUS, Inc	Corporation		DE	2018-04-11	Brooklyn Navy Yard, Building 128		BROOKLYN	NY	11201	https://coverus.health/	OpenDeal Portal LLC	0001751525	007-00167	283874
0001666102-18-000005	0		Extend the offering deadline.	Fragrance of Heaven LLC	Limited Liability Company		TX	2018-06-14	3501 50TH STREET	SUITE 124	LUBBOCK	TX	79413	https://fragranceofheavencandles.com	Mr. Crowd	0001666102	007-00042	284278
0001666102-18-000004	1		The following amendment is made: 1) the use the proceeds of this offering 2) financial condition of the issuer and historical results of operations 3) extend the offering deadline 4) Updated financial statements	Success By Media LLC	Limited Liability Company		NV	2015-10-07	170 S GREEN VALLEY PKWY	SUITE 300	HENDERSON	NV	89013	https://successbymedia.com	Mr. Crowd	0001666102	007-00042	284278
0001743775-18-000006	0		Extend the offering deadline.	Organic Living Inc.	Corporation		FL	2010-05-01	1379 HIBISCUS STREET		CLEARWATER	FL	33755	http://OrganicLivingForAll.com	Mr. Crowd	0001666102	007-00042	284278
0001669191-18-000561	0		issuer extended offering deadline	Future Mobility Company Holdings, Inc.	Corporation		DE	2018-07-19	2620 North Wayne Avenue	Apt. 1S	Chicago	IL	60614	travelpriva.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001668287-18-000089	0			Zamii Clean USA Carpet & Upholstery Cleaning Corp.	Corporation		DE	2018-05-14	One South Church Avenue		Tucson	AZ	85701-1630	zamiiclean.com/	Razitall Inc	0001668287	007-00026	
0001669191-18-000559	0		Issuer extended offering deadline	Braidy Industries, Inc.	Corporation		DE	2016-08-26	Corporation Trust Center	1209 Orange Street	Wilmington	DE	19801	https://www.braidyindustries.com/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-001405	0			Proctor360 Inc.	Corporation		VA	2018-10-04	1311 High Point Ave.		Richmond	VA	23230	www.proctor360.com	StartEngine Capital, LLC	0001665160	007-00007	
0001747795-18-000001	0			Lavabit, LLC	Limited Liability Company		TX	2004-06-04	5930 ROYAL LANE, STE E. #382		DALLAS	TX	75230	https://lavabit.com/	OpenDeal Portal LLC	0001751525	007-00167	283874
0001743601-18-000003	0		Extend expiration date of the offering to March 31st, 2019 and removed Derek Fitzpatrick as COO.	Building Economic Advancement Network Corp	Corporation		LA	2018-05-29	101 OAK PARK CT.		BELLE CHASSE	LA	70037	www.iambean.us	truCrowd, Inc	0001667145	007-00015	283063
0001665160-18-001403	1		Issuer is extending the length of their campaign by 60 days.	Geopulse Exploration Inc.	Corporation		NV	2004-08-13	6600 SUNSET BLVD, 2ND FLOOR		LOS ANGELES	CA	90046	www.canncoin.io	StartEngine Capital, LLC	0001665160	007-00007	
0001757098-18-000001	0			ZenSpace Inc	Corporation		CA	2017-10-10	3103 LISMORE COURT		SAN JOSE	CA	95135	https://zenspace.io/	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001759348-18-000001	0			Mailtag Company, LLC.	Limited Liability Company		AZ	2017-09-19	3104 EAST CAMELBACK ROAD #2147		PHOENIX	AZ	85016	http://MailTag.io	OpenDeal Portal LLC	0001751525	007-00167	283874
0001665160-18-001401	0			URentMe LLC	Limited Liability Company		NV	2017-04-26	871 Coronado Center Drive, Suite 200		Henderson	NV	89052	www.urentme.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-001398	1		Issuer is extending the length of their campaign by 60 days.	Dashing Corp	Corporation		DE	2018-03-22	4742 LIBERTY ROAD SOUTH	SUITE NO. 104	SALEM	OR	97302	www.getdashing.com	StartEngine Capital, LLC	0001665160	007-00007	
0001702607-18-000006	0		Extend expiration date of the offering 12/31/2019	Streaming Television Inc	Corporation		GA	2016-06-08	260 PEACHTREE ST NW	SUITE 2200	ATLANTA	GA	30303	www.citystreamingtv.com	truCrowd, Inc	0001667145	007-00015	283063
0001756481-18-000003	1		Including Exhibit A: Business Description and Plan. This document was omitted by mistake. Adding additional jurisdictions for the offering. EDGAR omitted these during the filing process. Minor correction to the Form of Note Purchase Agreement.	Blue Heron Catering, Inc.	Corporation		CA	2005-03-01	3303 SAN PABLO AVENUE		OAKLAND	CA	94608	www.blueheroncatering.com	MiTec, PBC	0001690300	007-00133	292759
0001665160-18-001397	1		Issuer is extending the length of their campaign by 60 days.	CEN INC	Corporation		DE	2018-02-09	8070 LA JOLLA SHORES DRIVE	434	LA JOLLA	CA	92037	www.cen.ai	StartEngine Capital, LLC	0001665160	007-00007	
