ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001668287-18-000092	1	TAPtical Design LLC	Emil Reynolds	Owner
0001752130-18-000002	1	CoverUS, Inc	Andrew Hoppin	CEO & Director
0001666102-18-000005	1	Fragrance of Heaven LLC	Terri Arthur	Owner & CEO
0001666102-18-000004	1	Success By Media LLC	Jay Noland	Chief Executive Officer
0001743775-18-000006	1	Organic Living Inc.	jai mcfall	Chief Executive Officer
0001669191-18-000561	1	Future Mobility Company Holdings, Inc.	Dagan Mishoulam	Principal Executive Officer
0001668287-18-000089	1	Zamii Clean USA Carpet & Upholstery Cleaning Corp.	Dale Galbraith	Owner
0001669191-18-000559	1	Braidy Industries, Inc.	Craig Bouchard	Principal Executive Officer
0001747795-18-000001	1	Lavabit, LLC	Ladar Levison	CEO
0001665160-18-001405	1	Proctor360 Inc.	Ganga Bathula	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001743601-18-000003	1	Building Economic Advancement Network Corp	Darren V. Walker	CEO
0001665160-18-001403	1	Geopulse Exploration Inc.	Marcus Laun	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001757098-18-000001	1	ZenSpace Inc	Mayank Agrawal	CEO
0001759348-18-000001	1	Mailtag Company, LLC.	Alex Edson	Chief Executive Officer
0001665160-18-001401	1	URentMe LLC	Anthony Horovitz	CEO, Principal Executive Officer and Manager
0001665160-18-001398	1	Dashing Corp	Alaxander Villmann	CEO, Principal Executive Officer and Director
0001702607-18-000006	1	Streaming Television Inc	Simon Bray Jr	CEO
0001756481-18-000003	1	Blue Heron Catering, Inc.	Debbie Pfisterer	President and CEO
0001665160-18-001397	1	CEN INC	James Tagg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001756481-18-000002	1	Blue Heron Catering, Inc.	Debbie Pfisterer	President and CEO
0001665160-18-001396	1	Rhode Islands Dressings LLC	Carder Starr	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-18-001395	1	Wise Power Inc	Kevin J. Williams	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001745081-18-000003	1	Little Bear LLC	/s/ Christopher Greer	CEO
