ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001668287-18-000092	1	Emil Reynolds	Owner	2018-12-31
0001752130-18-000002	2	Christopher Sealey	President & Director	2018-12-31
0001752130-18-000002	1	Andrew Hoppin	CEO & Director	2018-12-31
0001666102-18-000005	1	Terri Arthur	Owner & CEO	2018-12-31
0001666102-18-000004	1	Jay Noland	Chief Executive Officer	2018-12-31
0001743775-18-000006	1	jai mcfall	Chief Executive Officer	2018-12-31
0001669191-18-000561	3	Ryan Meduna-Gee	Principal Accounting Officer	2018-10-09
0001669191-18-000561	5	Dagan Mishoulam	Board Member	2018-10-09
0001669191-18-000561	4	Ryan Meduna-Gee	Board Member	2018-10-09
0001669191-18-000561	2	Ryan Meduna-Gee	Principal Financial Officer	2018-10-09
0001669191-18-000561	1	Dagan Mishoulam	Principal Executive Officer	2018-10-09
0001668287-18-000089	1	Dale Galbraith	Owner	2018-12-31
0001669191-18-000559	2	Julio Ramirez	Principal Financial Officer	2018-09-13
0001669191-18-000559	1	Craig Bouchard	Principal Executive Officer	2018-09-13
0001669191-18-000559	6	John  Preston	Board Member	2018-09-14
0001669191-18-000559	7	Christopher Schuh	Board Member	2018-09-18
0001669191-18-000559	3	Johanne Medina	Principal Accounting Officer	2018-09-13
0001669191-18-000559	4	Norton Schwartz	Board Member	2018-09-14
0001665160-18-001405	1	Ganga Bathula	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-12-28
0001747795-18-000001	1	Ladar Levison	CEO	2018-12-28
0001669191-18-000559	5	Craig Bouchard	Board Member	2018-09-13
0001743601-18-000003	1	Darren V. Walker	CEO	2018-12-28
0001665160-18-001403	1	Marcus Laun	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-12-28
0001757098-18-000001	1	Mayank Agrawal	CEO	2018-12-27
0001759348-18-000001	1	Alex Edson	Managing Member	2018-12-27
0001665160-18-001401	2	Christopher Bantoft	Principal Financial Officer, Principal Accounting Officer and Manager	2018-12-27
0001665160-18-001401	1	Anthony Horovitz	CEO, Principal Executive Officer and Manager	2018-12-27
0001665160-18-001398	1	Alaxander Villmann	CEO, Principal Executive Officer and Director	2018-12-27
0001665160-18-001398	2	Richard Sherman	COO, Principal Financial Officer, Principal Accounting Officer, and Director	2018-12-27
0001702607-18-000006	1	Smion Bray Jr	CEO	2018-12-27
0001756481-18-000003	1	Debbie Pfisterer	Director, Treasurer, and CFO	2018-12-26
0001665160-18-001397	1	James Tagg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-12-26
0001665160-18-001397	2	Dr. Edward Guy III	Director and Secretary	2018-12-26
0001665160-18-001397	3	Dr. Erik Viirr MD PHD	Director	2018-12-26
0001665160-18-001397	4	Manju Kesani	Director	2018-12-26
0001756481-18-000002	1	Debbie Pfisterer	Director, Treasurer, and CFO	2018-12-26
0001665160-18-001396	1	Carder Starr	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-12-26
0001665160-18-001395	1	Kevin J. Williams	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-12-26
0001745081-18-000003	1	/s/ Christopher Greer	CEO /  Principal Financial Officer / Principal Accounting Officer	2018-06-25
0001665160-18-001394	1	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-12-26
0001665160-18-001393	1	Chris La Cross	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-12-26
