ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001700351-17-000001	7.0% and $0.00	The intermediary will receive a warrant to purchase a number of SAFE Securities that is equal to 2% of the total number of SAFE Securities that are issued in this Offering.	Other	SAFE (Simple Agreement for Future Equity)	50000	1.0		50000.0	Y	First-come, first-served basis		400000.0	2017-05-15	3	616143	235797	337963	67266	0	0	0	0	0	0	0	0	0	0	0	0	-60940	-4445
0001669191-17-000039	4.9% of amount raised for a successful offering.	None.	Common Stock		80645	0.62	On September 21, 2016, the Company secured a term sheet for a preferred stock financing with a pre-financing valuation of $3M, with the assumption that such pre-financ... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	49999.9	Y	First-come, first-served basis		499194.86	2017-03-13	7	202262	113356	93773	45617	87343	64971	58718	44525	0	0	992826	306370	12831	0	27471	17885	74713	68831
0001702419-17-000001	7.5%	SI Securities will receive equity compensation equal to 5.00% of the number of securities sold.	Debt				To be determined	100000.0	Y	Other	At the Company's discretion	1000000.0	2017-06-02	3	55986	9514	55986	9514	0	0	151000	10000	0	0	64518	25938	33923	4152	0	0	-94528	-12836
0001699630-17-000005																																
0001699630-17-000002	6.0%	None	Debt			100.0		367500.0	Y	Other	At the Company's discretion	490000.0	2017-06-01	1	25000	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001699630-17-000001	6.0%	None	Debt			100.0		367500.0	Y	Other	At the Company's discretion	490000.0	2017-06-01	1	25000	0	4500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-17-000049	3.0% of the offering amount upon a successful fundraise.	No	Debt			1.0	Pro-rated portion of the total principal value of $25,000; interests will be sold in increments of $1.	25000.0	Y	Other	As determined by the issuer	100000.0	2017-04-30	1	4551918.97	3651353.81	-3286	1838.28	375	-850	15211.2	-91.34	3496391.37	2735860.0300000003	578652.66	310799.8	106790.93000000001	1505	29082.46	0	124522.43000000001	-33698.97
0001669191-17-000037	4.9% of amount raised for a successful offering.	None.	Common Stock		531914	0.9400000000000001	In December 2016, the Company secured a term sheet for a preferred stock financing with a pre-financing valuation of $16000000. At that point in time, the convertibl... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	499999.16000000003	Y	First-come, first-served basis		999999.26	2017-05-15	11	392847	1054856	239141	998088	33974	0	4379000	2524051	0	0	323724	0	288744	0	0	0	-2965863	-1710846
0001665160-17-000102	5 percent	N/A	Common Stock		7143	7.0	N/A	50001.0	Y	Other	At issuer's discretion	999950.0	2017-04-28	6	1725000	0	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-17-000048	3.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Simple Agreement for Future Equity (SAFE)	25000	1.0	Pro-rated portion of the total principal value of $25,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	25000.0	Y	Other	As determined by the issuer	200000.0	2017-04-07	5	41696	17958	9297	7767	846	0	24323	14934	0	0	89107	32147	51724	20392	1633	8	-21131	22
