ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001700351-17-000001	1	Plant Power Encinitas, LLC	Mitch Wallis	President
0001669191-17-000039	1	Court Innovations Incorporated	MJ Cartwright	Principal Executive Officer
0001702419-17-000001	1	Tier5International, Inc.	Jamasen Rodriguez	Chief Executive Officer
0001699630-17-000005	1	Angelei, llc	Marcie McGovern	Manager
0001699630-17-000002	1	Angelei, LLC	Marcie McGovern	Manager
0001699630-17-000001	1	Angelei, LLC	Marcie McGovern	Manager
0001670254-17-000049	1	Urban Juncture, Inc.	Bernard Loyd	President
0001669191-17-000037	1	VirZOOM, Inc.	Eric  Janszen	Principal Executive Officer
0001665160-17-000102	1	Gotham Ballers Inc	Mark Aguirre	President & Director
0001670254-17-000048	1	Vera Roasting Company, Inc.	Mark Galvin	President and CEO
0001670254-17-000047	1	LiquidPiston, Inc.	Alexander Shkolnik	President and CEO
0001665160-17-000099	1	MAGNABID	Dr. Anita Sabeti	President
0001664957-17-000006	1	Pearachute Inc.	Desiree Vargas Wrigley	Chief Executive Officer and President
0001684321-17-000001	1	Italian Cafe, LLC	Christy J Jepson	Manager
0001665160-17-000096	1	Alkane Truck Company	Robert Smith, III	CEO, CFO, Secretary
0001665160-17-000097	1	Alkane Truck Company	Robert Smith, III	CEO, CFO, Secretary
0001670254-17-000045	1	FAFCO, INC.	Robert Leckinger	President & CEO
0001694334-17-000003	1	RatHaus Tempe, LLC	Donald Hulke	Manager of the Manager of RatHaus Tempe, LLC
0001644600-17-000035	1	Traveling Spoon	Stephanie Lawrence	Co-Chief Executive Officer and Director
0001665160-17-000083	1	Game Loot Network	Douglas A Kinney	Chief Executive Officer
0001665160-17-000092	1	Bargible, Inc.	Emett Stone	CEO/Founder
0001665160-17-000090	1	The Hyper-Sub	Reynolds Marion	Founder / Inventor
0001665160-17-000088	1	Vios Nutrition Inc.	Brock & Lanae Agee	Co-Founders
0001695244-17-000004	1	EverMem, Inc	Thomas Reese	Chief Executive Officer; President
0001670254-17-000043	1	GlobeChat, Inc.	Kevin Strom	CEO
0001665160-17-000080	1	Chores R Us LLC	TARIK KHRIBECH	CEO
0001644600-17-000032	1	Lendsnap, Inc.	Orion Parrott	CEO
0001695437-17-000006	1	CF0005, LLC	Manfred Sternberg	President of Manager
0001701418-17-000001	1	BlueHollar, LLC	/s/ Kalen Barker	CEO
0001670254-17-000042	1	Beachmonkey Inc.	Michael Lawrence Luczaj	CEO
0001665160-17-000079	1	From Fat to Finish Line	Angela Lee	CEO / Co-Founder
0001665160-17-000073	1	Baqua Inc.	Sandra Marlowe	CEO
0001665160-17-000076	1	Zoi, Inc.	Bryan Lorden	CEO
0001670254-17-000038	1	Vera Roasting Company, Inc.	Mark Galvin	President
0001665160-17-000070	1	ChoreRelief	TARIK KHRIBECH	Founder/CEO
0001700529-17-000003	1	BudLodge Inc	Justine Baker, T.C.	CEO
0001691189-17-000004	1	MB Fantasy Football League, Inc	Charles Taylor	President
0001700529-17-000001	1	BudLodge Inc	Justine Baker, T.C.	CEO
0001670254-17-000036	1	PlantSnap Inc.	Eric Ralls	CEO
0001697047-17-000003	1	Tasty Minstrel Games, LLC	/s/ Michael Mindes	CEO, Co-Founder
0001608695-17-000002	1	G. Randall & Sons, Inc.	Brendon Strause	Vice-President and Secretary
0001697047-17-000001	1	Tasty Minstrel Games, LLC	Michael Mindes	CEO, Co-Founder, Managing Member
0001445866-17-000228	1	Daplie, Inc.	Bryson Hill	Chief Executive Officer
0001698596-17-000001	1	JRC Enterprises LLC. DBA Dental Fix RX	Ryan Clark	Manager
0001669191-17-000029	1	chronability, inc	Nizar Taki MD	Principal Executive Officer
0001665160-17-000064	1	Game Loot Network	Douglas A Kinney	Chief Executive Officer
0001674421-17-000001	1	Bloomery Investment Holdings, LLC	Linda Losey	Member and COO
0001644600-17-000030	1	SEPARATE.US	Sandro Tuzzo	CEO
0001669191-17-000028	1	nFlate, Inc.	Joseph Monastiero	Principal Executive Officer
0001644600-17-000028	1	Juhi LLC	Juhi Singh	CEO
0001667014-17-000001	1	Big Brother Holding Company, LLC	John Lustina	President
0001644600-17-000025	1	GoFish Cam, Inc.	Brandon Jason Austin	Chief Executive Officer
0001693084-17-000002	1	UpCurrent, Inc.	Sankar Patel	CEO
0001670254-17-000035	1	South Austin Beer Partners, LLC dba South Austin Brewery	Martyn Buffler	manager
0001695370-17-000001	1	Intero Restaurant LLC	Ian Thurwachter	Manager
0001644600-17-000023	1	FenSens, Inc	Andrew Karuza	CEO
0001644600-17-000021	1	Barber Surgeons Inc.	Justin Rome	Principal Executive Officer
0001669191-17-000027	1	New Slobbr, LLC	Michelle Fournier	Principal Executive Officer
