ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001700351-17-000001	0			Plant Power Encinitas, LLC	Limited Liability Company		CA	2015-07-06	411 Santa Fe Drive		Encinitas	CA	92024	www.plantpowerfastfood.com	First Democracy VC	0001683054	007-00076	285360
0001669191-17-000039	0	End of offering		Court Innovations Incorporated	Corporation		DE	2014-01-27	213 S. Ashley St.	Suite 200	Ann Arbor	MI	48104	getmatterhorn.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001702419-17-000001	0			Tier5International, Inc.	Corporation		DE	2014-02-12	995 Market Street	Floor 2	San Francisco	CA	94103	http://www.kylie.ai	SI Securities, LLC	0001603038	008-69440	170937
0001699630-17-000005	0			Angelei, llc														
0001699630-17-000002	0			Angelei, LLC	Limited Liability Company		CA	2016-10-08	905 Viewpoint Drive		San Marcos	CA	92078	www.angeleishoes.com	Marcie McGovern	0001680047	007-00070	285012
0001699630-17-000001	0			Angelei, LLC	Limited Liability Company		CA	2016-10-08	905 Viewpoint Drive		San Marcos	CA	92078	www.angeleishoes.com	Marcie McGovern	0001680047	007-00070	285012
0001670254-17-000049	0		Extend deadline date to April 30, 2017	Urban Juncture, Inc.	Corporation		IL	2003-11-12	4245 S. King Dr.		Chicago	IL	60653	http://www.urbanjuncture.com/	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-17-000037	0			VirZOOM, Inc.	Corporation		DE	2015-02-13	56 JFK St.	Third Floor	Cambridge	MA	02138	www.virzoom.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-17-000102	1		Issuer is extending the deadline of their offering and correcting incorrectly populated intermediary name.	Gotham Ballers, Inc.	Corporation		NY	2016-02-26	225 West 34th Street 9th floor		New York	NY	10122	www.gothamballers.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000048	0		Extend deadline date to April 7th, and include updated business plan.	Vera Roasting Company, Inc.	Corporation		DE	2015-09-17	99 Bow Street	Suite 100E	Portsmouth	NH	03801	https://www.veraroasting.com/	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-17-000047	0		Move deadline date to April 7th, and include updated business plan.	LiquidPiston, Inc.	Corporation		DE	2004-06-21	1292a Blue Hills Ave.		Bloomfield	CT	06002	http://liquidpiston.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000099	0			MAGNABID INC.	Corporation		DE	2015-11-19	9735 Wilshire Blvd #123		Beverly Hills	CA	90212	www.magnabid.com	StartEngine Capital, LLC	0001665160	007-00007	
0001664957-17-000006	1		In connection with the increase in maximum offering amount provided in the Issuer's previous Form C/A filing, the Issuer is filing an updated Form C and financial statements reviewed by a public accountant.	Pearachute Inc.	Corporation		DE	2015-11-23	320 WEST OHIO STREET	SUITE 3W	CHICAGO	NY	60654	https://www.pearachutekids.com/	OpenDeal Inc.	0001672732	007-00046	283874
0001684321-17-000001	1		Extend Offering Deadline to 03/31/2017 and amend use of proceeds	Italian Cafe, LLC	Limited Liability Company		IL	2014-07-14	21020 N. RAND RD., STE. C-4		LAKE ZURICH	IL	60047	www.goitaliancafe.com	crowdsourcefunded.com	0001667727	007-00027	
0001665160-17-000096	1		The issuer has decided to extend the offering and correct the intermediary name	Alkane Truck Company, Inc.	Corporation		SC	2011-02-07	1053 London Street		Myrtle Beach	SC	29577	www.alkanetruckcompany.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000097	1		Corrected the End-Date of the campaign	Alkane Truck Company, Inc.	Corporation		SC	2011-02-07	1053 London Street		Myrtle Beach	SC	29577	www.alkanetruckcompany.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-17-000045	0			FAFCO, INC.	Corporation		CA	1972-03-17	435 Otterson Drive		Chico	CA	95928	http://www.fafco.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001694334-17-000003	0			RatHaus Tempe, LLC														
0001644600-17-000035	0	$270,000 is our best estimate for the total amount of securities that will be sold.		Traveling Spoon	Corporation		DE	2013-07-24	PO BOX 40758		SAN FRANCISCO	CA	94140	www.travelingspoon.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001665160-17-000090	0		Corrected the incorrectly populated intermediary name	Hyper-Sub Platform Technologies, Inc.	Corporation		FL	2016-10-26	4661 West SR 238		Lake Butler	FL	32054	www.hypersub.com	StartEngine Capital LLC	0001665160	007-00007	
0001665160-17-000092	0		Corrected the incorrectly populated intermediary name	Bargible Inc.	Corporation		CA	2015-11-01	10144 Culver Blvd.	unit 4	Culver City	CA	90232	http://bargible.com/	StartEngine Capital LLC	0001665160	007-00007	
0001665160-17-000083	0		Corrected the incorrectly populated intermediary name	GLN Holdings, Inc.	Corporation		NV	2017-01-25	9613 South Lake Shore Drive		Lake Lotawana	MO	64086	https://www.gamelootnetwork.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000088	0		Corrected the incorrectly populated intermediary name	Vios Nutrition, Inc.	Corporation		NC	2015-12-29	751 West Fourth Street	Suite 120	Winston-Salem	NC	27040	vioslife.com	StartEngine Capital LLC	0001665160	007-00007	
0001695244-17-000004	0		Extend the deadline to reach the target offering amount to April 30, 2017.	EverMem, Inc	Corporation		DE	2015-07-17	1053 STANFORD AVE		PALO ALTO	CA	94306	https://flipword.co	OpenDeal Inc.	0001672732	007-00046	
0001670254-17-000043	0			GlobeChat, Inc.	Corporation		DE	2016-03-28	29200 Paseo Carmona		San Juan Capistrano	CA	92675	http://info.GlobeChat.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-17-000080	0		Adjusted the use of proceeds and the incorrectly populated CIK and CCC code.	Chores R Us LLC	Limited Liability Company		DE	2016-05-25	222 W MERCHANDISE MART PLAZA	SUITE1212	CHICAGO	IL	60654	https://chorerelief.com/	StartEngine Capital LLC	0001665160	007-00007	
0001644600-17-000032	0			Lendsnap, Inc.	Corporation		DE	2014-08-04	2880 HELEN ST		OAKLAND	CA	94608	www.lendsnap.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001695437-17-000006	0		Extending the Application Period for subscribing to the offering from March 31, 2017 to April 17, 2017.	CF0005, LLC	Limited Liability Company		TX	2016-12-21	4550 POST OAK PL	STE 119	HOUSTON	TX	77027	cf0005.crudefunders.com	NORTH CAPITAL PRIVATE SECURITIES CORPORATION	0001496269	008-68648	000154559
0001701418-17-000001	0			BlueHollar, LLC	Limited Partnership		MO	2014-12-18	6901 W. 135TH ST		GRANDVIEW	MO	64030	bluehollar.com	GrowthFountain Capital LLC	0001668506	007-00028	
0001670254-17-000042	0			Beachmonkey Inc.	Corporation		DE	2017-01-31	504 30th Ave N	#15	Myrtle Beach	SC	29577	http://www.beachmonkey.com	Wefunder Portal LLC	0001670254	007-00033	283503
