ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001700351-17-000001	1	Mitch Wallis	President	2017-03-17
0001669191-17-000039	4	James Prescott	Board Member	2016-12-13
0001669191-17-000039	5	MJ Cartwright	Board Member	2016-12-13
0001669191-17-000039	1	MJ Cartwright	Principal Executive Officer	2016-12-13
0001669191-17-000039	2	MJ Cartwright	Principal Financial Officer	2016-12-13
0001669191-17-000039	3	MJ Cartwright	Principal Accounting Officer	2016-12-13
0001702419-17-000001	1	Jamasen Rodriguez	Chief Executive Officer	2017-03-31
0001699630-17-000005	1	Marcie McGovern	Manager	2017-03-31
0001699630-17-000002	1	Marcie McGovern	Manager	2017-03-31
0001699630-17-000001	1	Marcie McGovern	Manager	2017-03-31
0001670254-17-000049	1	Bernard Loyd	President	2017-03-31
0001669191-17-000037	6	Sonny Tahiliani	Board Member	2017-03-30
0001669191-17-000037	5	Eric Malafeew	Board Member	2017-03-30
0001669191-17-000037	4	Eric  Janszen	Board Member	2017-03-30
0001669191-17-000037	2	Eric  Janszen	Principal Financial Officer	2017-03-30
0001669191-17-000037	1	Eric  Janszen	Principal Executive Officer	2017-03-30
0001669191-17-000037	3	Eric  Janszen	Principal Accounting Officer	2017-03-30
0001665160-17-000102	1	Brian Kelly	EVP & Director	2017-03-31
0001665160-17-000102	2	Carl George	Chairman & CEO	2017-03-31
0001670254-17-000048	2	Glen P. Miller	Founder & CTO	2017-03-31
0001670254-17-000048	1	Evan Young	Director of Finance	2017-03-31
0001670254-17-000047	1	Per Suneby	Director	2017-03-30
0001670254-17-000047	2	Nikolay Shkolnik	VP R&D, CTO	2017-03-30
0001670254-17-000047	3	Anthony Tether	Director	2017-03-31
0001665160-17-000099	1	Ben Mansouri	CTO	2017-03-31
0001665160-17-000099	2	Pez Zarifian	CEO	2017-03-31
0001665160-17-000099	3	Ben Mansouri	CTO	2017-03-31
0001665160-17-000099	4	Pez Zarifian	CEO	2017-03-31
0001664957-17-000006	1	Desiree Vargas Wrigley	Director, Chief Executive Officer, President and Chief Financial Officer	2017-03-31
0001664957-17-000006	2	Sam Yagan	Director and Chairman of the Board	2017-03-31
0001684321-17-000001	1	Christy J Jepson	Manager	2017-03-31
0001665160-17-000097	1	Robert Smith, III	CEO, CFO, Secretary	2017-03-30
0001665160-17-000096	1	Robert Smith, III	CEO, CFO, Secretary	2017-03-30
0001670254-17-000045	1	Freeman Ford	Founder & Chairman	2017-03-29
0001670254-17-000045	2	Robert Leckinger	President & CEO	2017-03-29
0001670254-17-000045	6	David Ford	Director	2017-03-29
0001670254-17-000045	3	Phil DelNegro	VP of Sales and Marketing	2017-03-29
0001670254-17-000045	4	Terra Ayers	Vice President of Operations	2017-03-29
0001670254-17-000045	5	Bruce McCaul	Director	2017-03-29
0001694334-17-000003	1	Donald Hulke	Manager of the Manager of RatHaus Tempe, LLC	2017-03-30
0001644600-17-000035	1	Stephanie Lawrence	Co-Chief Executive Officer and Director	2017-03-30
0001644600-17-000035	2	Aashi Vel	Co-Chief Executive Officer and Director	2017-03-30
0001665160-17-000092	2	Chad Palsulich	Co-Founder	2017-03-29
0001665160-17-000092	3	Steven Lai	Lead Designer/Co-Founder	2017-03-29
0001665160-17-000088	1	Joseph Land	Co-Founder	2017-03-29
0001665160-17-000088	2	Gordon Tessler, PhD	Vios Product Formulator	2017-03-29
0001665160-17-000083	7	Christopher Hussey	Chief Marketing Officer	2017-03-29
0001665160-17-000088	4	Lori B. Patterson	Vice President of Marketing	2017-03-29
0001665160-17-000083	1	S. Patrick Baggette II	CFO/ General Counsel	2017-03-29
0001665160-17-000083	2	Christopher Hussey	Chief Marketing Officer	2017-03-29
0001665160-17-000083	3	Lance Baker	President & Founder	2017-03-29
0001665160-17-000083	4	Lance Baker	President	2017-03-29
