ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-16-000129	1	Abbey Konowitch	Founder, Executive Producer	2016-09-30
0001684715-16-000001	1	Amrita Karnani	Manager	2016-09-29
0001679413-16-000001	1	/s/ Dave Girgenti	CEO	2016-09-27
0001685706-16-000003	3	Adam Snyder	Manager	2016-09-27
0001685706-16-000003	2	Andre Wasserman	Manager	2016-09-27
0001685706-16-000003	1	Hugo Gamboa	Manager	2016-09-27
0001685706-16-000001	3	Adam Snyder	Manager	2016-09-27
0001685706-16-000001	1	Hugo Gamboa	Manager	2016-09-27
0001685706-16-000001	2	Andre Wasserman	Manager	2016-09-27
0001683142-16-000001	1	OKAN EROL	PRESIDENT / CEO	2016-09-27
0001680454-16-000004	4	Mokyi Chow	Secretary/Chief Creative Director, Director	2016-09-26
0001680454-16-000004	2	/s/ Martin Sherene	CFO/CTO, Director	2016-09-26
0001680454-16-000004	1	/s/ Yue Niu	CEO, Director	2016-09-26
0001665160-16-000128	2	Gary Fenton	Founder and Managing Partner	2016-09-26
0001665160-16-000128	1	William Koch	Founder and Managing Partner	2016-09-26
0001680454-16-000004	3	/s/ Michael Ashe	Chief Product Officer, Director	2016-09-26
0001670254-16-000139	1	Kori Chen	COO	2016-09-26
0001682864-16-000006	1	Dexter Dixon	President	2016-09-16
0001685446-16-000001	1	Alan Fine	Manager, Crudefunders LLC	2016-09-26
0001684570-16-000002	1	Kencle Windross	President	2016-09-23
0001665160-16-000126	1	Abbey Konowitch	Founder, Executive Producer	2016-09-26
0001681772-16-000003	1	Ricardo Barbaran	CEO	2016-09-26
0001669191-16-000046	4	Andy Fox	Board Member	2016-09-20
0001669191-16-000046	3	Andy Fox	Principal Accounting Officer	2016-09-20
0001669191-16-000046	1	Andy Fox	Principal Executive Officer	2016-09-20
0001669191-16-000046	2	Andy Fox	Principal Financial Officer	2016-09-20
0001685501-16-000001	1	Shenghua Hong	President/CEO	2016-09-23
0001670254-16-000138	1	Mikael Dren	President & COO	2016-09-23
0001670254-16-000137	1	Kimberly Coupounas	Member, Board of Directors	2016-09-23
0001670254-16-000137	2	Geoffrey M. O'Keeffe	Director	2016-09-23
0001684972-16-000001	1	Jessica Hughes	Manager	2016-09-21
0001670254-16-000135	1	Solomon Engel	CEO	2016-09-21
0001670254-16-000133	1	Keith Sherrill	Founder | CEO	2016-09-21
0001669191-16-000035	4	Andy Fox	Board Member	2016-09-20
0001669191-16-000035	2	Andy Fox	Principal Financial Officer	2016-09-20
0001669191-16-000035	1	Andy Fox	Principal Executive Officer	2016-09-20
0001669191-16-000035	3	Andy Fox	Principal Accounting Officer	2016-09-20
0001665160-16-000092	1	Ron Chernesky	CEO	2016-09-21
0001665160-16-000092	2	Andrew Freedman	CTO	2016-09-21
0001685112-16-000006	1	Eric Johnson	President	2016-09-20
0001685112-16-000004	1	Eric Johnson	President	2016-09-20
0001685112-16-000005	1	Eric Johnson	President	2016-09-20
0001685112-16-000003	1	Eric Johnson	President	2016-09-20
0001685112-16-000001	1	Eric Johnson	President	2016-09-20
0001670254-16-000132	1	Jacob Muhleman	President and CEO	2016-09-19
0001665160-16-000091	1	Storm Sondors	Founder	2016-09-19
0001670254-16-000130	1	Michael Macadaan	President / CEO	2016-09-16
0001665160-16-000089	1	Storm Sondors	Founder	2016-09-16
0001670254-16-000128	1	Todd O'Halloran	Secretary Treasurer	2016-09-14
0001670254-16-000128	2	Raymond D. Moss	V.P. - Lead Trainer	2016-09-15
0001670254-16-000127	1	David Nelson	Director of Business Development	2016-09-14
0001670254-16-000126	2	Geoffrey McDonnell O'Keeffe	Board of Directors	2016-09-13
0001670254-16-000126	1	Anne Maleady	Board of Directors	2016-09-13
0001670254-16-000124	1	Kavitha Gopalan	Co-founder and CMO	2016-09-13
0001670254-16-000122	1	Blake Squires	Partner Hatch Services LLC	2016-09-06
0001670254-16-000122	4	Jon Stahl	Director	2016-09-08
0001670254-16-000122	2	Rebecca Lynn White	Director	2016-09-06
0001670254-16-000122	5	Kevin L. Cash	Chief Financial Officer - Baker & Hostetler LLP	2016-09-09
0001670254-16-000122	3	David Haynes	Director	2016-09-07
0001625242-16-000171	1	/s/ Ryan Huss	COO	2016-07-28
0001670254-16-000121	1	Kori Chen	COO	2016-09-07
0001670254-16-000118	3	Serafina Raskin	General Counsel, Corporate Secretary	2016-09-08
0001670254-16-000119	1	Soren Berg	Co-Founder	2016-09-08
0001670254-16-000118	4	Edward Raskin	VP Public Benefit Development and Corporate Strategy	2016-09-08
0001670254-16-000119	2	Joe Waltman	CEO	2016-09-08
0001670254-16-000118	1	Jeff Hitchcock	Benefit Director	2016-09-08
0001670254-16-000118	2	Gilbert Clarke	CFO	2016-09-08
0001670254-16-000116	1	William Stern	Co Director	2016-09-07
0001670254-16-000116	2	Mark McLeod	Secretary, Treasurer	2016-09-07
0001670254-16-000116	3	Jennifer Kassan	President	2016-09-07
0001682697-16-000003	1	Dexroy Donaldson	President	2016-09-02
