ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-16-000129	For the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 5% (five percent) commission based on the amount of investments raised in the Offering	Up to $50,000 for the marketing and promotion of this campaign has been advanced to the Issuer by StartEngine as part of its Marketing Fund Advance Program, to be recouped by the Issuer regardless of campaign success.	Common Stock		250000	1.0		250000.0	Y	First-come, first-served basis		1000000.0	2016-11-26	1	0	0	0	0	0	0	33749	0	170325	0	0	0	0	0	0	0	-204074	0
0001684715-16-000001	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	125000.0	Y	First-come, first-served basis		360000.0	2016-11-28	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001679413-16-000001	FlashFunders shall be entitled to compensation for services equal to five percent (5%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.		Preferred Stock		50000	1.0	The price of securities being offered by the issuer has been established by the marketplace of similar technology platforms at the current early state of growth of the company.	50000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-10-28	4	39302	32769	857	2769	0	0	0	0	29020	20300	107	0	0	0	500	0	-10256	-2531
0001685706-16-000003	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	100000.0	Y	First-come, first-served basis		150000.0	2016-11-15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001685706-16-000001	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	100000.0	Y	First-come, first-served basis		150000.0	2016-11-15	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001683142-16-000001	The intermediary will charge 4.5% from the funds raised from the investors brought in by Wordego, and 9.5% from anything else. We expect to have an overall success fee of 7%.	None.	Common Stock		75758	1.32	Equidam.com	100000.0	Y	First-come, first-served basis		800000.0	2017-01-24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001680454-16-000004	FlashFunders shall be entitled to compensation for services equal to five (5%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.		Other	Convertible Security.	50000	1.0	The security is not being sold in individual units. Investors will purchase a pro-rata portion of the total principal value of $50,000. Each investment is convertible into stock as described in Appendix C to the Issuer Disclosure Questionnaire.	50000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-12-31	4	307.29	100	307.29	100	0	0	0	0	0	0	0	0	0	0	0	0	-2992.71	0
0001665160-16-000128	As compensation for the services provided hereunder by StartEngine Capital, Issuer shall pay to StartEngine Capital at the conclusion of the offering a fee consisting of a 5% (five percent) commission based on the amount of investments raised in the Offeri		Common Stock		600	500.0		100000.0	Y	First-come, first-served basis		1000000.0	2016-11-30	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-16-000139	3.0% of the offering amount upon a successful fundraise.	No	Debt			1.0	Pro-rated portion of the total principal value of $40,000; interests will be sold in increments of $1.	40000.0	Y	Other	As determined by the issuer	100000.0	2016-12-01	28	429781.39	9177.23	356627.42	1931.73	16694.69	0	49687.450000000004	2272.77	623666.72	0	478305.25	87876.74	236248.39	32908.98	0	0	-145125.84	5321.2
0001682864-16-000006	5% of funds raised	None	Common Stock		2000000	0.05	Based on target number of securities and target offering amount	100000.0	Y	First-come, first-served basis		1000000.0	2016-12-16	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
