ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-16-000129	1	RockmaniaLive, INC	Abbey Konowitch	Founder, Executive Producer
0001684715-16-000001	1	Sugar Refinery, LLC	Amrita Karnani	Manager
0001679413-16-000001	1	Lifeblink Inc	/s/ Dave Girgenti	CEO
0001685706-16-000003	1	Two A&H Entertainment, LLC	Hugo Gamboa	Manager
0001685706-16-000001	1	Two A&H Entertainment, LLC	Hugo Gamboa	Manager
0001683142-16-000001	1	WORDEGO INC	OKAN EROL	PRESIDENT / CEO
0001680454-16-000004	1	Swaggle Inc.	/s/ Yue Niu	CEO, Director
0001665160-16-000128	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001670254-16-000139	1	Red Bay Coffee Company	keba konte	ceo founder
0001682864-16-000006	1	Lion International Consulting, Inc.	Dexter Dixon	President
0001685446-16-000001	1	Aquinas-TL Smith #25, LLC	Manfred Sternberg	President, Affiliated Commercial Services, Inc. (Issuer Manager)
0001684570-16-000002	1	MIZAYA INC.	Kencle Windross	President
0001665160-16-000126	1	RockmaniaLive, INC	Abbey Konowitch	Founder, Executive Producer
0001681772-16-000003	1	GLOBAL ELECTRIC TRANSPORT INC	Ricardo Barbaran	CEO
0001669191-16-000046	1	Kindred Brands Inc.	Andy Fox	Principal Executive Officer
0001685501-16-000001	1	New Media, Inc.	Shenghua Hong	President/CEO
0001670254-16-000138	1	N1CE USA, LLC	Thomas C. Van Hare	Director of Investor Relations
0001670254-16-000137	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001684972-16-000001	1	Flying Nun Collective, LLC	Jessica Hughes	Manager
0001670254-16-000135	1	Boxes Inc.	Solomon Engel	CEO
0001670254-16-000133	1	Haint Blue Brewing Company LLC	Keith Sherrill	Founder | CEO
0001669191-16-000035	1	Kindred Brands Inc.	Andy Fox	Principal Executive Officer
0001665160-16-000092	1	investFeed Inc.	Ron Chernesky	CEO
0001685112-16-000003	1	Florida Equity Fund Inc	Eric Johnson	President
0001685112-16-000006	1	Florida Equity Fund Inc	Eric Johnson	President
0001685112-16-000004	1	Florida Equity Fund Inc	Eric Johnson	President
0001685112-16-000005	1	Florida Equity Fund Inc	Eric Johnson	President
0001685112-16-000001	1	Florida Equity Fund Inc	Eric Johnson	President
0001670254-16-000132	1	VooDoo Spirits, Inc.	Jacob Muhleman	President and CEO
0001665160-16-000091	1	Sondors Electric Car Co	Storm Sondors	Founder
0001665160-16-000089	1	Sondors Electric Car Co	Storm Sondors	Founder
0001670254-16-000130	1	Thisisground Holdings, Inc.	Michael Macadaan	President / CEO
0001670254-16-000128	1	MobileSpike Inc.	Michael Moormeier	CEO
0001670254-16-000127	1	EveryFit, Inc.	Sombit Mishra	CEO
0001670254-16-000126	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001670254-16-000124	1	MOBODEXTER INC	Chandramouli Srinivasan	CoFounder, CEO & President
0001670254-16-000122	1	Cleveland Whiskey LLC	Tom Lix	CEO
0001625242-16-000171	1	BYS Daily	/s/ Ryan Huss	COO
0001670254-16-000121	1	Red Bay Coffee Company	keba konte	ceo
0001670254-16-000119	1	VetPronto - Mobile Veterinarians Inc.	Joe Waltman	CEO
0001670254-16-000118	1	Beta Bionics, Inc.	Ed Damiano	CEO
0001670254-16-000116	1	Community Ventures	Jennifer Kassan	President
0001682697-16-000003	1	Alive Global Water, Inc.	Dexroy Donaldson	President
0001670254-16-000115	1	Exemplars Inc.	Timothy M. O'Connor	CEO
0001670254-16-000114	1	Hawaiian Ola Brewing Corporation	Brett Jacobson	CEO
0001670254-16-000113	1	N1CE USA, LLC	Thomas Van Hare	Director of Investor Relationship
0001683638-16-000001	1	B3 MEDIA GROUP INC	LaVonne Idlette	President
0001679373-16-000005	1	Farm From a Box Inc.	Scott Stewart Thompson	President
0001445095-16-000006	1	ATMOCEAN INC	Philip Kithil	CEO
0001682240-16-000001	1	Collective HTX, LLC	Thuy-My Luong	Chief Executive Officer
0001683513-16-000004	1	AAA HOME INVESTMENTS INC.	Noe Perrin Fontana	President
0001670254-16-000112	1	WePower App, Inc.	Adam Tucker	Founder / CEO
0001675554-16-000005	1	Vigilante Gaming Bar, LLC	Preston Swincher	CEO
0001676480-16-000003	1	Brewer's Table - East Austin, LLC	Ali Sabzevari	Manager
0001682915-16-000011	1	RealtyReturns, Inc.	Rexford R. Hibbs	CEO
0001683264-16-000001	1	Kayak Concepts LLC	Buddy Doyle	President
0001644600-16-000185	1	MF Fire	Paul LaPorte	CEO and Voting Member
0001670254-16-000111	1	Sam Lee Laundry LLC	David Gluck	Managing Member
0001674180-16-000007	1	Native Hostel Austin LLC	Michael Dickson	President
0001682915-16-000009	1	RealtyReturns, Inc.	Rexford R. Hibbs	CEO
0001670254-16-000110	1	Beta Bionics, Inc.	Ed Damiano	CEO
0001683099-16-000001	1	CHARLES HOLDINGS, CORP	Carl H. Charles	President
0001679373-16-000004	1	Farm From a Box Inc.	Scott Stewart Thompson	President
0001670254-16-000107	1	Ohos, Inc.	David A Needham	CEO/CO-founder
0001682495-16-000009	1	Online Portal, Inc.	Patrick Noel	President
0001682664-16-000002	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001682664-16-000001	1	TASEAH DEVELOPMENT CORP	James E. Ward Jr	President/CEO
0001682883-16-000001	1	NAMA-J Farms Inc	Henry N Johnson	President
0001670254-16-000105	1	N1CE USA, LLC	Thomas Van Hare	Director of Investor Relations
0001670254-16-000106	1	N1CE USA, LLC	Thomas Van Hare	Director of Investor Relations
0001445095-16-000005	1	ATMOCEAN INC	Philip Kithil	CEO
0001670254-16-000104	1	Beta Bionics, Inc.	Ed Damiano	CEO
0001670254-16-000103	1	Rocket Innovations, Inc.	Joseph Lemay	CEO
0001625242-16-000169	1	BYS Daily	Ryan Huss	COO
0001647869-16-000003	1	RaceYa, Inc.	Abigail Edgecliff-Johnson	Chief Executive Officer
0001670254-16-000102	1	Vive! Restaurant Group LLC	William Bonhorst	co-founder
0001670254-16-000101	1	Red Bay Coffee Company	Keba Konte	CEO
0001682495-16-000004	1	Red Empire Real Estate Investments, Inc	Uriel Ortiz	President
0001680454-16-000003	1	Swaggle Inc.	/s/ Yue Niu	CEO, Director
0001665160-16-000088	1	Green Sense Farms, LLC	Robert Colangelo	CEO
0001670254-16-000100	1	Hops and Grain Production, LLC	Josh Hare	Founder & CEO
0001682495-16-000002	1	Online Portal, Inc.	Patrick Noel	President
0001670254-16-000099	1	TAXA Biotechnologies Inc	Antony Evans	CEO
0001680634-16-000017	1	OneGlobe Citizen	Brenden Dougherty	CEO
0001670254-16-000098	1	Legion M Entertainment, Inc.	Jeff Annison	President
0001644600-16-000180	1	SwitchPitch, LLC	Michael Goldstein	Principal Executive Officer
0001665160-16-000087	1	TurtleWise, Inc.	Kevin Walker	Founder and Chief Executive Officer
0001670254-16-000090	1	Sam Lee Laundry LLC	David Gluck	Managing Member
0001625242-16-000160	1	SecurShade INC	Gordon Clements	Presidnet
0001681772-16-000001	1	GLOBAL ELECTRIC TRANSPORT INC	Ricardo Barbaran	President/CEO
0001644600-16-000175	1	Primo Connect, Inc.	David Glickman	CEO
0001670254-16-000087	1	Discotech, Inc.	Jeffrey Ian Chen	CEO & Co-Founder
0001670254-16-000086	1	Hops and Grain Production, LLC	Josh Hare	Founder & CEO
0001644600-16-000174	1	SwitchPitch, LLC	Michael Goldstein	Principal Executive Officer
0001679372-16-000008	1	Youngry, LLC	Ash Kumra	President
0001670254-16-000084	1	One Technologies, Inc.	William Bonhorst	Co-Founder, CEO
0001670254-16-000082	1	WePower App, Inc.	Adam Tucker	CEO / Founder
0001680454-16-000001	1	Swaggle Inc.	/s/ Yue Niu	CEO, Director
0001665160-16-000086	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001680634-16-000015	1	OneGlobe Citizen	Brenden Dougherty	CEO
0001674319-16-000010	1	MobileSpike, Inc.	/s/ Michael P. Moormeier	CEO, Director
0001674319-16-000009	1	MobileSpike, Inc.	/s/ Michael P. Moormeier	CEO, Director
0001665160-16-000085	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001677351-16-000001	1	Salon de Lingerie, LLC	/s/ Alfonso J. Cervantes	CEO
0001665160-16-000084	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001677351-16-000003	1	Content Launch Solutions, Inc.	/s/ Jon Wuebben	CEO/CFO
0001670254-16-000081	1	TAXA Biotechnologies Inc	Antony Evans	CEO
0001681345-16-000001	1	Colin Holdings, Corp	Paul U Desiir	President
0001665160-16-000083	1	LRF Thoroughbred Fund LLC	William Koch	Founder and Managing Partner
0001670254-16-000079	1	Vive! Restaurant Group LLC	William Bonhorst	Co-Founder
