ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-17-000723	1	Tarik Khribech	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-29
0001665160-17-000720	1	Joachim Sandgaard	CEO, Director, Principal Executive Officer, Principal Financial Officer, and Principal Accounting Officer	2017-12-28
0001638829-17-000004	1	Graham Veysey	CEO	2017-12-20
0001638829-17-000004	2	Fisk Biggar	Head of Finance	2017-12-20
0001704837-17-000003	1	PEter B Gustis	CEO	2017-12-29
0001718385-17-000003	1	Nicholas Bouck	Co-founder, CEO	2017-10-19
0001719326-17-000006	1	Kevin Davis	CEO/President/Secretary/Director	2017-10-05
0001665160-17-000718	1	TARIK KHRIBECH	CEO	2017-12-28
0001665160-17-000718	2	ADAM CISEK	Director of Finance	2017-12-28
0001669191-17-000201	4	Olivier Grinda	Board Member	2017-10-03
0001669191-17-000201	3	Olivier Grinda	Principal Accounting Officer	2017-10-05
0001669191-17-000201	1	Olivier Grinda	Principal Executive Officer	2017-10-03
0001669191-17-000201	2	Olivier Grinda	Principal Financial Officer	2017-10-05
0001726190-17-000001	1	/s/ Justin Thibualt	Principal Financial Officer / Principal Accounting Officer	2017-10-30
0001726190-17-000001	2	/s/ Cathrine Thibault	Board Member	2017-10-31
0001723477-17-000002	1	Isabel Berney	COO	2017-12-27
0001724862-17-000001	1	Han Hu	Director	2017-12-26
0001665160-17-000716	1	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-26
0001665160-17-000714	1	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-26
0001665160-17-000713	1	Eric Ralls	Founder, CEO, Treasurer, Secretary, Director, Principal accounting officer, Principal financial officer	2017-12-26
0001670254-17-000392	1	Anne L Maleady	Director	2017-12-21
0001670254-17-000392	2	Demetri Coupounas	CEO	2017-12-21
0001705954-17-000008	2	Austen Weinhart	Manager	2017-12-22
0001705954-17-000008	1	Oliver Thornton	Manager	2017-12-22
0001705954-17-000006	1	Martha Hernandez	Director	2017-12-22
0001705954-17-000005	1	Ankur Garga	Manager	2017-12-22
0001705954-17-000005	2	Ash Kumra	Manager	2017-12-22
0001705954-17-000003	1	Martha Hernandez	CEO, President, CFO and Director	2017-12-22
0001705954-17-000002	1	Martha Hernandez	CEO, President, CFO and Director	2017-12-22
0001722152-17-000003	1	Patricia Hertling	Director, Chief Executive Officer, and President	2017-12-22
0001722152-17-000003	2	Robert Abraham Stevens	Director, VP, and Chief Technology Officer	2017-12-22
0001722152-17-000003	3	Nikolas Gambaroff Moeller	Director and Chief Financial Officer	2017-12-22
0001722152-17-000003	4	Thymaya Paine	Director, Secretary and VP of Operations	2017-12-22
0001665160-17-000712	1	Peter F Travers	CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer	2017-09-28
0001724467-17-000001	1	Crystal Etienne	CEO	2017-12-22
0001719970-17-000004	1	Robert Cefail	President	2017-12-22
0001670254-17-000389	2	Gregory Shohat	Founder and CEO	2017-12-21
0001670254-17-000388	1	Dustin Windham	CEO	2017-12-21
0001670254-17-000387	1	Michael Rosenberg	President	2017-12-21
0001670254-17-000387	2	Marta Mendizabal	VP & COO	2017-12-21
0001670254-17-000390	1	Timothy Taylor	CEO	2017-12-20
0001670254-17-000389	1	Eloy Lopez	COO and President	2017-12-21
0001670254-17-000386	2	Karlene Hunter	Cofounder and CEO	2017-12-21
0001724453-17-000004	1	Sohrob Farudi	Founder & CEO	2017-12-11
0001665160-17-000710	1	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-21
0001665160-17-000708	1	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-19
0001670254-17-000386	1	MARK TILSEN	PRESIDENT	2017-12-21
0001726073-17-000001	1	Scott Bachman	Manager of Crudefunders	2017-12-21
0001670254-17-000385	6	Amy Everhart	Director	2017-12-20
0001670254-17-000385	5	Clifton Olle	Director	2017-12-20
0001670254-17-000385	4	Jonathon Gins	Co-founder	2017-12-20
0001670254-17-000385	3	Char Hu	Director	2017-12-20
0001670254-17-000385	2	Frank (Dick) Moeller	Board Chair	2017-12-20
0001670254-17-000385	1	Elena White	Director	2017-12-20
0001670254-17-000385	7	Ian Davis	Co-Founder and CEO	2017-12-20
0001679373-17-000003	2	Scott Stewart Thompson	Director	2017-12-21
0001679373-17-000003	1	Brandi LeAnn DeCarli	Director	2017-12-21
0001670254-17-000384	2	Theodore Muftic	CFO	2017-12-20
0001670254-17-000384	1	Marcus Slater	VP of Marketing	2017-12-20
0001670254-17-000384	3	Mario Costanz	CEO	2017-12-20
0001670254-17-000383	1	Jared Heyman	CEO	2017-12-19
0001670254-17-000381	2	Joseph Hyman	Co-Founder and CEO	2017-12-20
0001670254-17-000381	1	Alexandr Wing	Co-Founder and COO	2017-12-20
0001593780-17-000005	1	Bill Gross	CEO and Director	2017-12-20
0001593780-17-000005	4	Carl Sheldon	Director	2017-12-20
0001593780-17-000005	3	Steven Dietz	Director	2017-12-20
0001593780-17-000005	2	Tom McGovern	Director	2017-12-20
0001718528-17-000004	1	Robert Steele	Chairman and Member	2017-12-20
0001718528-17-000004	2	Kevin Chow	CEO, Comptroller, Chief Financial Officer, and Member	2017-12-20
0001670254-17-000379	1	Hideaki Yoshimura	Mr	2017-12-03
0001665160-17-000701	1	Tabyna Khan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-19
0001665160-17-000706	1	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2017-12-19
0001670254-17-000377	1	Bernard Loyd	President	2017-12-19
0001665160-17-000698	1	Cory Faulkner	CEO, Principal Executive Officer and Director, Principal Financial Officer, and Principal Accounting Officer	2017-12-19
0001670254-17-000379	2	Iker Ibanez Banor	Mr	2017-12-03
0001670254-17-000379	3	Sean Gunasekera	Mr	2017-12-03
0001670254-17-000379	4	Adam Neat	Founder	2017-11-29
0001665160-17-000707	1	Christopher D. White	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-10-03
0001665160-17-000704	1	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-19
0001665160-17-000695	1	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2017-12-19
0001669191-17-000193	4	Nick DeGeorge	Board Member	2017-09-12
0001669191-17-000193	3	Scott Hansbury	Principal Accounting Officer	2017-09-12
0001669191-17-000193	2	Scott Hansbury	Principal Financial Officer	2017-09-12
0001669191-17-000193	1	Frank DeGeorge	Principal Executive Officer	2017-09-12
0001669191-17-000193	5	Frank DeGeorge	Board Member	2017-09-12
0001669191-17-000193	6	Scott Hansbury	Board Member	2017-09-12
0001669191-17-000192	6	Eric Forman	Board Member	2017-10-06
0001669191-17-000192	5	Jon Spencer	Board Member	2017-10-09
0001669191-17-000192	4	Jen Forman	Board Member	2017-10-06
0001669191-17-000192	3	Jen Forman	Principal Accounting Officer	2017-10-06
0001669191-17-000192	2	Jen Forman	Principal Financial Officer	2017-10-06
0001669191-17-000192	1	Jen Forman	Principal Executive Officer	2017-10-06
0001665160-17-000693	1	David Fennema	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, Manager	2017-12-18
0001719977-17-000002	2	Dustin Hemesath	President	2017-12-18
0001719977-17-000002	1	Will Anderson	Chief Operating Officer	2017-12-18
0001719977-17-000002	3	Carson Goodale	Chief Executive Officer	2017-12-18
0001670254-17-000376	1	Albert Dahan	CEO	2017-06-22
0001665160-17-000692	1	Mark Lyle	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-18
0001665160-17-000691	1	Lisa Machat	Director	2017-12-18
0001665160-17-000691	2	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-18
0001708151-17-000007	1	Wai Lun Pun	COO	2017-12-18
0001708151-17-000006	1	Wai Lun Pun	COO	2017-12-18
0001708151-17-000005	1	Wai Lun Pun	COO	2017-12-18
0001723348-17-000001	1	Melissa Horst	Owner	2017-12-15
0001665160-17-000690	1	Marlin Miller	CFO and Principal Accounting Officer	2017-09-26
0001665160-17-000690	4	Frank Kocsis	Board Director	2017-09-26
0001665160-17-000690	3	Gerald Marxman	Board Director	2017-09-26
0001665160-17-000690	2	Randy Paynter	CEO and Board Director	2017-09-26
0001718518-17-000005	1	Mychal Simka	Director	2017-10-10
0001665160-17-000689	1	Channing Porter	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2017-12-15
0001724833-17-000001	3	/s/ Tom Rogers	Board Member	2017-12-06
0001724833-17-000001	2	/s/ Deborah Wallister	Board Member	2017-12-06
0001724833-17-000001	1	/s/ Deborah Wallister	CEO/financial officer/accounting officer	2017-12-06
0001669654-17-000001	1	Gabe Zichermann	CEO	2017-11-27
0001669654-17-000001	2	Adam Singer	CTO	2017-11-27
