ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-17-000723	0			Chores R Us LLC	Limited Liability Company		DE	2016-05-23	222 W Merchandise Mart Plaza	Suite1212	Chicago	IL	60654	www.chorerelief.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-17-000720	0			MedChain, Inc.	Corporation		DE	2017-10-16	1175 Castle Pointe Drive		Castle Rock	CO	80104	https://med-chain.co	StartEngine Capital, LLC	0001665160	007-00007	
0001638829-17-000004	0	The issuer raised approximately $139,421.67 during the offering period. Payments are still being processed; the exact amount has yet to be determined.		MANCAN Wine, LLC	Limited Liability Company		OH	2014-11-07	1455 W. 29th Street		Cleveland	OH	44113	https://www.mancanwine.com	SI Securities, LLC	0001603038	008-69440	170937
0001704837-17-000003	0		Extend expiration date of offering to 4/20/2018	500 N3rd St., LLC	Limited Liability Company		PA	2016-12-07	313 CHESSTNUT ST		WEST READING	PA	19611	www.allorganicmedicalmarijuana.com	truCrowd, Inc	0001667145	007-00015	
0001718385-17-000003	0	The issuer raised approximately $111,455 during the offering period.  Payments are still being processed; the exact amount has yet to be determined.		Bouck Brothers Distilling, Inc.	Corporation		CO	2017-09-29	2731 Colorado Blvd		Idaho Springs	CO	80452	www.bouckbros.com	First Democracy VC	0001683054	007-00076	285360
0001719326-17-000006	0	The issuer raised approximately $49,888 during the offering period.  Payments are still being processed; the exact amount has yet to be determined.		Best Food Trucks, Inc.	Corporation		DE	2016-10-06	13488 Maxella Ave #320		Marina Del Rey	CA	90292	https://www.bestfoodtrucks.com/	First Democracy VC	0001683054	007-00076	285360
0001665160-17-000718	0	The total amount of securities sold in the Chores R Us offering is 39,700 and $39,700.		Chores R Us LLC	Limited Liability Company		DE	2016-05-25	222 W MERCHANDISE MART PLAZA	SUITE1212	CHICAGO	IL	60654	https://chorerelief.com/	StartEngine Capital LLC	0001665160	007-00007	
0001669191-17-000201	0		Issuer extended offering deadline	Home61, Inc.	Corporation		DE	2014-04-07	3401 N Miami Ave	Suite 210	Miami	FL	33127	www.home61.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001726190-17-000001	0			Compassion Massage Therapeutic Clinic LLC	Limited Liability Company		MA	2014-04-14	1137 MAIN STREET		LEOMINSTER	MA	01453	http://www.compassionmassage.com/	GrowthFountain Capital LLC	0001668506	007-00028	
0001723477-17-000002	0			Vacayo, Inc.	Corporation		DE	2017-03-06	444 CASTRO STREET		MOUNTAIN VIEW	CA	94041	https://vacayo.com/	OpenDeal Inc.	0001672732	007-00046	283874
