ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-17-000723	1	Chores R Us LLC	Tarik Khribech	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000720	1	MedChain Inc	Joachim Sandgaard	CEO, Director, Principal Executive Officer, Principal Financial Officer, and Principal Accounting Officer
0001638829-17-000004	1	MANCAN Wine, LLC	Graham Veysey	CEO
0001704837-17-000003	1	500 N3rd St., LLC	Peter B Gustis	CEO
0001718385-17-000003	1	Bouck Brothers Distilling, Inc.	Nicholas Bouck	Co-Founder
0001719326-17-000006	1	Best Food Trucks, Inc.	Kevin Davis	CEO, Secretary, President, and Director
0001665160-17-000718	1	Chores R Us LLC	TARIK KHRIBECH	CEO
0001669191-17-000201	1	Home61, Inc.	Olivier Grinda	Principal Executive Officer
0001726190-17-000001	1	Compassion Massage Therapeutic Clinic LLC	/s/ Cathrine Thibault	CEO
0001723477-17-000002	1	Vacayo, Inc.	Truth Oladapo	CEO
0001724862-17-000001	1	PST Evergreen Investment, Inc.	Han Hu	Director
0001665160-17-000716	1	TOTALSOURCE SOLUTIONS INCORPORATED	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000714	1	Space Division Inc.	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000713	1	PlantSnap, Inc.	Eric Ralls	Founder, CEO, Treasurer, Secretary, Director, Principal accounting officer, Principal financial officer
0001670254-17-000392	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001705954-17-000008	1	Coding Autism, LLC	Oliver Thornton	Chief Executive Officer
0001705954-17-000006	1	madeBOS, Inc	Martha Hernandez	Chief Executive Officer
0001705954-17-000005	1	Youngry, LLC	Ash Kumra	President
0001705954-17-000003	1	madeBOS, Inc	Martha Hernandez	CEO
0001705954-17-000002	1	madeBOS, Inc	Martha Hernandez	CEO
0001722152-17-000003	1	NPTA Spirits	Patricia Hertling	President
0001665160-17-000712	1	LifeBridge 10000, LLC	Peter F Travers	CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer
0001724467-17-000001	1	Panty Prop Inc.	Crystal Etienne	CEO
0001719970-17-000004	1	Digital Currency Growth LLC	Robert Cefail	President
0001670254-17-000388	1	Grit Grocery, LLC	Dustin Windham	CEO
0001670254-17-000389	1	Digitally Imported, Inc.	Gregory Shohat	Founder and CEO
0001670254-17-000386	1	Native American Natural Foods LLC	Karlene Hunter	Cofounder and CEO
0001670254-17-000390	1	Ipsento Coffee Co.	Timothy Taylor	CEO
0001665160-17-000710	1	Space Division Inc.	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000708	1	121C Inc	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-17-000387	1	PAYROLL4FREE.COM, LLC	Marta Mendizabal	VP & COO
0001724453-17-000004	1	Fanchise League Company LLC	Sohrob Farudi	Founder & CEO
0001726073-17-000001	1	Woodland Rockwell No. 1 GP	Manfred Sternberg	President of ACSI, General Partner
0001670254-17-000385	1	Texas Beer Company LLC	Ian Davis	Co-Founder and CEO
0001679373-17-000003	1	Farm From a Box, Inc.	Scott Stewart Thompson	President
0001670254-17-000384	1	Happy Tax Holding Corp	Mario Costanz	CEO
0001670254-17-000383	1	CrowdMed, Inc.	Jared Heyman	CEO
0001670254-17-000381	1	MoJoe Brewing Company, LLC	Joseph Hyman	Co-Founder and CEO
0001593780-17-000005	1	Edisun Microgrids, Inc.	Bill Gross	CEO
0001718528-17-000004	1	World's Best Enterprises LLC	Kevin Chow	CEO, Comptroller, Chief Financial Officer, and Member
0001665160-17-000698	1	PerFIcT Inc.	Cory Faulkner	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000706	1	Solar Direct LLC	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000704	1	Space Division Inc.	Ryan Oliges	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000707	1	Wetboard, Inc.	Christopher D. White	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000701	1	GlobaLiquids Inc. DBA eLYQD.com	Tabyna Khan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-17-000377	1	Urban Juncture, Inc.	Bernard Loyd	President
0001670254-17-000379	1	Jupiter Media & Entertainment Management LLC	Adam Neat	Founder
0001665160-17-000695	1	Solar Direct LLC	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001669191-17-000193	1	YouStake, Inc.	Frank DeGeorge	Principal Executive Officer
0001669191-17-000192	1	Charlotte's Closet, LLC	Jen Forman	Principal Executive Officer
0001665160-17-000693	1	Biotech Restorations Holdings, LLC	David Fennema	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, Manager
0001719977-17-000002	1	FanFood, Inc.	Carson Goodale	CEO / Cofounder
0001670254-17-000376	1	Chateau Marcel, Inc.	Albert Dahan	CEO
0001665160-17-000692	1	Atmos Home Inc.	Mark Lyle	CEO, CTO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000691	1	Real Bloody Mary Co., LLC	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001708151-17-000007	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001708151-17-000006	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001708151-17-000005	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001723348-17-000001	1	Millie's Ice Cream Truck, LLC	Melissa Horst	Owner
0001665160-17-000690	1	Care2.com, Inc.	Randy Paynter	CEO and Board Director
0001718518-17-000005	1	SuperdopeTV, Inc.	Mychal Simka	CEO and President
0001665160-17-000689	1	Ovanova, Inc.	Channing Porter	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001724833-17-000001	1	Got Produce Franchising USA Inc	/s/Deborah Wallister	CEO
0001669654-17-000001	1	Onward Method, Inc.	Gabe Zichermann	CEO
0001724091-17-000003	1	Bravery Chef Hall, LP	Lian Pham	Partner of the general partner
0001724091-17-000001	1	Bravery Chef Hall, LP	Lian Pham	Partner of the general partner
0001665160-17-000688	1	GeoOrbital Inc.	Michael Burtov	Chief Executive Officer and Director
0001670254-17-000375	1	Epec Holdings, Inc. (f/k/a Epec Biofuels Holdings, Inc.)	Steve Vanechanos	Executive Chairman of the Board
0001718518-17-000004	1	SuperdopeTV, Inc.	Mychal Simka	CEO and President
0001722007-17-000001	1	Pittsburgh Juice Co	Naomi Homison	Managing Director
0001139685-17-000004	1	20/20 GeneSystems, Inc.	Jonathan Cohen	President and CEO
0001723949-17-000001	1	609 Fairfield LLC	Kent Hardman	CEO
0001710013-17-000003	1	Distributed Security, Inc.	Michael Smock	President
0001665160-17-000687	1	Small Batch Beauty, LLC	John Cascarano	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000684	1	ARO Holdings LLC	Leslie Hernandez	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001724453-17-000003	1	Fanchise League Company LLC	Sohrob Farudi	Founder & CEO
0001708151-17-000004	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001669191-17-000189	1	ContentOro Inc.	Robert Chunn	Principal Executive Officer
0001665160-17-000678	1	StayblGear LLC	Eskil Nordhaug	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000676	1	Buying Collective Holdings Incorporated	Rod Smith	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000675	1	Buying Collective Holdings Incorporated	Rod Smith	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000674	1	DIY Tee Shirts Screen Printing Supply, INC	Gary Jurman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001724453-17-000001	1	Fanchise League Company LLC	Sohrob Farudi	Founder & CEO
0001665160-17-000672	1	DIY TEE SHIRTS SCREEN PRINTING SUPPLY, INC	Gary Jurman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000670	1	Bringpro, Inc.	Jamie Garelli	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000669	1	EZ-Coco, LLC	David Goodman	Principal Executive Officer and Director, Principal Accounting Officer, Principal Financial Officer
0001724740-17-000003	1	YouNow Services LLC	Adi Sideman	Chief Executive Officer
0001724740-17-000001	1	YouNow Services LLC	Adi Sideman	Chief Executive Officer
0001670254-17-000374	1	Avua Corporation	Nathan Whitehouse	CEO
0001722152-17-000001	1	NPTA Spirits	Patricia Hertling	President
0001720905-17-000001	1	Nude, Inc.	Yung-Chih Chen	President
0001723843-17-000001	1	Bistro Planet, Inc.	Roie Edery	CEO
0001665160-17-000666	1	PlantSnap, Inc.	Eric Ralls	Founder, CEO, Treasurer, Secretary, Director, Principal accounting officer, Principal financial officer
0001670254-17-000372	1	Dog Parker, Inc.	Chelsea Brownridge	CEO and Founder
0001665160-17-000665	1	Samsara Luggage Inc.	Atara Dzikowski	CEO and Director
0001724637-17-000001	1	BuffBrew Taproom, LLC	Rassul Zarinfar	President/CEO of sole member
0001720880-17-000003	1	MJ Hybrid Solutions, Inc.	Melissa Jane Stapley	Founder and CEO
0001665160-17-000663	1	Indeco, LLC	David Levine	Chief Executive Officer
0001717257-17-000003	1	Kobeyaki Newport LLC	/s/ Brian Kelly	CEO
0001716818-17-000004	1	Copdate USA Inc.	Andrew Raisman	CEO, Comptroller, and Chief Financial Officer
0001708151-17-000003	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001665160-17-000662	1	Bright Locker, Inc.	Ruben Cortez	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001722182-17-000001	1	Pawprint, Inc.	Emily Dong	President
0001670254-17-000365	1	Hiero 2, Inc.	Klaus Moeller	Founder
0001720033-17-000001	1	Vico Neve LLC	David S. Noto	Member
0001670254-17-000368	1	Ridgemont Outfitters, Inc.	Alex Hall	CEO
0001665160-17-000661	1	Indeco, LLC	David Levine	CEO
0001670254-17-000369	1	Eliot's Adult Nut Butters LLC	Michael Kanter	CEO
0001620525-17-000002	1	Sickweather, Inc	Graham Dodge	CEO
0001670254-17-000366	1	Hiero 2, Inc.	Klaus Moeller	Founder
0001670254-17-000370	1	Black Momma Tea and Cafe, Inc	Vanessa Braxton	CEO & President
0001670254-17-000363	1	Hiero 2, Inc.	Klaus Moeller	Founder
0001670254-17-000362	1	Neurohacker Collective, LLC	Jordan Greenhall	CEO
0001669191-17-000188	1	Photog LLC	Brad Ziajor	Principal Executive Officer
0001669191-17-000185	1	JustHuynh Inc.	Francis Huynh	Principal Executive Officer
0001669191-17-000183	1	Subba Media Inc	Mark Jennings	Principal Executive Officer
0001718354-17-000003	1	Green Pinata LLC	Shiva Kashalkar	CEO
0001669191-17-000180	1	HandStack P.B.C.	Jessica Hyejin Lee	Principal Executive Officer
0001723487-17-000001	1	Lynwood Financial Group	Charles Feltman	President/CEO
0001665160-17-000660	1	GeoOrbital Inc.	Michael Burtov	Chief Executive Officer and Director
0001670254-17-000361	1	BioClonetics Immunotherapeutics, Inc.	Charles Cotropia	CEO
0001664526-17-000009	1	PLAY IMPOSSIBLE CORP	Brian Monnin	CEO
0001664526-17-000008	1	Play Impossible Corporation	Brian Monnin	CEO and Director
0001718971-17-000003	1	PopDocs Media LLC	Jason Connell	Co-Founder, President
0001665160-17-000658	1	The Green Retrofit	Steve Nauert	CEO, Principle Executive Officer and Director, Principle Financial Officer and Principle Accounting Officer
0001708151-17-000002	1	Uni-Boil MP Inc.	Wai Lun Pun	COO
0001665160-17-000656	1	VitaPerk LLC	Brad Kifferstein	CEO
0001644600-17-000172	1	Stemless Co.	Koushalah Sunder	CEO
0001723677-17-000001	1	YogaTrail, Inc.	Alexander Klein	CEO
0001670254-17-000360	1	GlobeChat, Inc.	Kevin Strom	CEO
0001715007-17-000003	1	FreshMynd Inc.	Seema Lindskog	Founder & CEO
0001665160-17-000655	1	Vibrant TV, LLC	Jon Bottorff	CFO
0001715813-17-000004	1	PieShell, LLC	/s/ Cheryl Clements	Chief Executive Officer
0001670254-17-000359	1	Happy Tax Holding Corp	Mario Costanz	CEO
0001718414-17-000005	1	Spikes Beverage Co	Brian Gettelfinger	Managing Partner
0001649856-17-000004	1	Greensbury Market Corp.	Edward B. Hopper, III	CEO
0001670254-17-000358	1	BLAZnTECH, Inc.	Benjamin Bondar	CEO & Founder
0001665160-17-000653	1	Jinglz, Inc.	Aaron Itzkowitz	CEO, President, Chairman, Director, Principal Executive Officer
0001665160-17-000649	1	General Presence Inc.	Frank Erik Banks	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000645	1	Cryptid LLC	Brad Rego	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001716174-17-000003	1	Tall Idea Labs, Inc.	Anand (Andy) Pandharikar	Founder and CEO
0001670254-17-000357	1	Meow Wolf, Inc.	Vince Kadlubek	CEO
0001670254-17-000355	1	Fireman's Brew, Inc.	David Johnson	COO/CFO
0001715704-17-000003	1	CrediBLL Inc.	Neeraj Sharma	CEO
0001665160-17-000641	1	Bikekini (North America) LLC	Robert Taylor Hughes	CEO, Principal Executive Officer, and Director
0001705496-17-000008	1	Stanley Grove LLC	Lu Yang	Managing Member
0001665160-17-000638	1	Phoenix Settlements LLC DBA Emergent Solar Solutions	Kanwar Singh	CEO, Principal Executive Officer
0001723146-17-000002	1	Success By Media LLC	Jay Noland	CEO
0001718414-17-000004	1	Spikes Beverage Co	Brian Gettelfinger	Managing Partner
0001665160-17-000636	1	Keezel, Inc.	Aike Muller	Principal Executive Officer and President
0001669191-17-000174	1	Charlotte's Closet, LLC	Jen Forman	Principal Executive Officer
0001690909-17-000005	1	Ellison Eyewear, Inc	Aristotle Loumis	Chief Executive Officer
0001716818-17-000003	1	Copdate USA Inc.	Andrew Raisman	CEO, Comptroller, and Chief Financial Officer
0001665160-17-000634	1	Vernuco Inc. dba Kordas Co.	Michael Kolb	President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000632	1	Biotech Restorations Holdings, LLC	David Fennema	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, Manager
0001665160-17-000631	1	Biotech Restorations Holdings, LLC	David Fennema	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, Manager
0001665160-17-000621	1	SlideBelts Inc.	Brig Taylor	Founder and CEO
0001674439-17-000010	1	NextRX Inc.	Ralf-Rainer von Albedyhll	CEO
0001665160-17-000622	1	GarageSkins, Inc.	Rick Medlen	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000629	1	LRF Thoroughbred Fund II, LLC	Gary Fenton	Principal Executive Officer and Managing Partner, Principal Financial Officer and Principal Accounting Officer
0001665160-17-000623	1	Waverly Labs Inc	Andrew Ochoa	CEO, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer
0001665160-17-000627	1	Biotech Restorations Holdings, LLC.	David Fennema	CEO, Principal Executive Officer, Principal Financial Officer, Principal Accounting Officer, Manager
0001690909-17-000004	1	Ellison Eyewear, Inc	Aristotle Loumis	Chief Executive Officer
