ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001676570-16-000004	FlashFunders shall be entitled to compensation for services equal to four percent (4%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the issuer in connection with the offering.		Preferred Stock		140000	0.5		70000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-10-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19304	-3919
0001676480-16-000001	NextSeed charges the Issuer 10% of the total offering amount as compensation for its services provided in connection with the offering, provided that NextSeed will only charge 5% for funds raised from investors referred by the Issuer.	None	Debt				The value of the security is the face value of the note purchased by the investor.	250000.0	Y	First-come, first-served basis		300000.0	2016-08-23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001676570-16-000001	FlashFunders shall be entitled to compensation for services equal to four percent (4%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the issuer in connection with the offering.		Preferred Stock		140000	0.5		70000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-10-02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-19304	-3919
0001670254-16-000066	3.0% of the offering amount upon a successful fundraise.	No	Preferred Stock		5000	5.0	N/A	25000.0	Y	Other	As determined by the issuer	100000.0	2016-12-20	4	21311.56	6016.4800000000005	13410.56	6016.4800000000005	5401	0	4536.64	716.86	75000	0	338851.01	201947.7	105850.43000000001	77744.2	0	0	-18439.29	76309.8
0001677405-16-000002	FlashFunders shall be entitled to compensation for services equal to four percent (4%) of gross proceeds, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the issuer in connection with the offering.		Preferred Stock		238834	0.4187		50000.0	Y	Other	At the Issuer's discretion.	100000.0	2016-08-26	3	28298	19536	28298	19536	0	0	336345	340237	0	0	0	0	12734	649901	800	800	0	0
0001670254-16-000065																																
0001670254-16-000062	3.0% of the offering amount upon a successful fundraise.	No	Preferred Stock		5000	5.0	N/A	25000.0	Y	Other	As determined by the issuer	100000.0	2016-12-20	4	21311.56	6016.4800000000005	13410.56	6016.4800000000005	5401	0	4536.64	716.86	75000	0	338851.01	201947.7	105850.43000000001	77744.2	0	0	-18439.29	76309.8
0001670254-16-000059	3.0% of the offering amount upon a successful fundraise.	No	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	100000.0	N				2016-12-19	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001676918-16-000001	5% of total funds raised	None	Debt			50000.0	Principle plus 5% Interest for one year	50000.0	Y	First-come, first-served basis		100000.0	2016-07-22	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71.88	0	0	0
0001625242-16-000115	9% of Funds raised	None	Common Stock		617284	1.62	NA	250000.0	Y	Other	At the descretion of company management	1000000.0	2016-07-21	2	906372	236471	160997	78264	0	0	774535	76542	2575000	965000	278610	0	260046	0	0	0	-1518634	-805512
