ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001676570-16-000004	1	/s/ Brian Wynne	CEO	2016-06-28
0001676570-16-000004	2	/s/ Matthew Kurke	CFO	2016-06-28
0001676480-16-000001	2	Jacob Maddux	Manager	2016-06-27
0001676480-16-000001	1	Ali Sabzevari	Manager	2016-06-27
0001676570-16-000001	2	/s/ Matthew Kurke	CFO	2016-06-27
0001676570-16-000001	1	/s/ Brian Wynne	CEO	2016-06-27
0001670254-16-000066	2	Lynn Johnson	CEO	2016-06-23
0001670254-16-000066	1	Allison Kenny	Director	2016-06-23
0001677405-16-000002	1	/s/ Carl Dunlap	Board Member	2016-06-23
0001670254-16-000065	1	Andy Fox	CEO	2016-06-23
0001670254-16-000062	1	Allison Kenny	Director	2016-06-22
0001670254-16-000062	2	Lynn Johnson	CEO	2016-06-22
0001670254-16-000059	3	Brett Jacobson	Founder/CEO	2016-06-22
0001670254-16-000059	2	J. Naehalani Breeland	Director of Marketing	2016-06-22
0001670254-16-000059	1	Chris Whidden	Brand Manager	2016-06-22
0001676918-16-000001	1	Charles E. Campbell	Founder & CEO	2016-06-21
0001625242-16-000115	2	/s/ Greg Moon	CMO	2016-06-20
0001625242-16-000115	1	/s/ Yashar Behzadi	CEO	2015-06-20
0001625242-16-000114	3	/s/ Seth Bayles	Director	2016-06-20
0001625242-16-000114	1	/s/ Ryan Huss	COO	2016-06-20
0001625242-16-000114	2	/s/ Rishi Nagia	CEO	2016-06-20
0001677405-16-000001	2	/s/ Jon Wuebben	CEO	2016-06-17
0001677405-16-000001	1	/s/ Karen Wuebben	Accounting	2016-06-17
0001677405-16-000001	3	/s/ Carl Dunlap	Director	2016-06-17
0001674421-16-000010	2	Thomas J. Kiefer	Member	2016-06-17
0001674421-16-000010	3	Robert H. Losey	Member	2016-06-17
0001674421-16-000010	1	Linda S. Losey	Member	2016-06-17
0001674421-16-000008	1	Linda S. Losey	Member	2016-06-17
0001674421-16-000008	3	Robert H. Losey	Member	2016-06-17
0001674421-16-000008	2	Thomas J. Kiefer	Member	2016-06-17
0001674180-16-000006	3	William Steakley	Member	2016-06-16
0001674180-16-000006	2	Antonio Madrid	Member	2016-06-16
0001674180-16-000006	1	Michael Dickson	Member	2016-06-16
0001670254-16-000058	1	Joshua E Morton	President	2016-06-16
0001665160-16-000078	1	Briggs Porter	Head of Business Development	2016-06-13
0001665160-16-000078	2	Bart Porter	COO	2016-06-13
0001670254-16-000056	1	Josh Hare	Founder/CEO	2016-06-03
