ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-17-000251	1	Saiful Khandaker	Principal Executive Officer, Financial Controller, Principal Financial Officer, Director	2017-06-30
0001665160-17-000246	2	Michelle Taylor	President & Creative Director	2017-06-30
0001665160-17-000246	1	Brig Taylor	Founder & CEO	2017-06-30
0001665160-17-000246	5	Cameron Diegle	Financial Controller	2017-06-30
0001665160-17-000246	3	Rick Lilley	Chief Operations Officer	2017-06-30
0001665160-17-000246	4	Navi Singh	Chief Financial Officer	2017-06-30
0001708142-17-000002	1	Stephen King	President	2017-06-30
0001665160-17-000245	2	James Betesh	SVP - Operations	2017-06-29
0001665160-17-000245	5	Tim Larson	SVP - Distribution	2017-06-29
0001665160-17-000245	1	Jon Bottorff	CFO	2017-06-29
0001665160-17-000245	4	Dan Zifkin	President and CEO	2017-06-29
0001665160-17-000245	3	Jessica Hoyt	VP Program Acquisitions	2017-06-29
0001665160-17-000244	1	Sean Patrick Fahey	CEO	2017-06-29
0001665160-17-000244	2	Chris Kerzich	Board of Directors	2017-06-29
0001665160-17-000244	3	Joseph Marcello	Board of Directors	2017-06-29
0001665160-17-000243	2	Charles Manning	Co-Founder, Director	2017-06-29
0001665160-17-000243	3	Kevin Nichols	CFO	2017-06-29
0001665160-17-000243	1	JD Claridge	CEO and Co-Founder	2017-06-29
0001665160-17-000242	1	Deanna Hodges	President	2017-06-29
0001665160-17-000241	1	Bryan Lorden	CEO	2017-06-29
0001665160-17-000241	2	Christian Broce	CTO	2017-06-29
0001665160-17-000240	2	John Askew	Executive Vice President	2017-06-29
0001665160-17-000240	1	Mark Scoggins	Chairman and CEO	2017-06-29
0001665160-17-000239	1	Ramzi Hajj	President, CEO	2017-06-29
0001665160-17-000238	2	Emmanuele Spera	CEO	2017-06-29
0001665160-17-000238	1	Tommaso Gecchelin	CTO	2017-06-29
0001665160-17-000237	1	Helena Fogarty	CEO and Founder	2017-06-29
0001665160-17-000236	1	Aviv Hillo	CEO	2017-06-29
0001665160-17-000235	2	Houshang Jalili	Secretary, CFO and Director	2017-06-29
0001665160-17-000235	1	Eemaan Jalili	CEO and Director	2017-06-29
0001665160-17-000235	3	Monir Jalili	Director	2017-06-29
0001665160-17-000234	3	Ralene Cavataio	CFO	2017-06-29
0001665160-17-000234	1	Kimberly Caccavo	Founder and CEO	2017-06-29
0001665160-17-000234	2	Kate Nowlan	Founder and COO	2017-06-29
0001665160-17-000233	10	Kevin Hertz	Chief Technology Consultant	2017-06-29
0001665160-17-000233	9	Chris J. Davis	Chief Technology Officer	2017-06-29
0001665160-17-000233	7	Don Richmond	Chief Creative Officer	2017-06-29
0001665160-17-000233	6	Corey Hertz	Chief Product Officer	2017-06-29
0001665160-17-000233	5	Peter Bowers	Chief Content Officer	2017-06-29
0001665160-17-000233	4	Patrick Read Johnson	EVP Development	2017-06-29
0001665160-17-000233	3	Bob Giargiari	Chief Financial Officer	2017-06-29
0001665160-17-000233	2	Bryan Hertz	Executive Chairman	2017-06-29
0001665160-17-000233	1	Ian LeWinter	President	2017-06-29
0001665160-17-000233	8	Elvis Williams	VP, Sound	2017-06-29
0001665160-17-000232	3	Parvathy Sreekumar	Operations Associate	2017-06-29
0001665160-17-000232	2	Imad Samhat	V.P. Operations	2017-06-29
0001665160-17-000232	1	Sunil Vallath	CEO	2017-06-29
0001665160-17-000231	1	John Rooney	CEO	2017-06-29
0001665160-17-000231	2	Anthony Grega	CFO	2017-06-29
0001665160-17-000230	2	Diane Ashbee	Director of Marketing/Merchandising	2017-06-29
0001665160-17-000230	1	Richard Ashbee	President, Secretary, Treasurer and Director	2017-06-29
0001665160-17-000229	2	Elliott Johnson	CEO	2017-06-29
0001665160-17-000229	1	Marielle Wardell	Vice President	2017-06-29
0001708179-17-000001	2	Daniel Acuna	Managing Member of Hoke Poke, LLC, the majority member of the Issuer	2017-06-28
0001708179-17-000001	1	Darin Barton	Managing Member of Hoke Poke, LLC, the majority member of the Issuer	2017-06-28
0001708189-17-000001	1	Yu Lun Kao	Co-Founder and Chief Creative Officer	2017-06-28
0001708189-17-000001	2	Matt Davis	Co-Founder and Chief Executive Officer	2017-06-28
0001710284-17-000001	3	Danny Ghosn	CMO	2017-06-07
0001710284-17-000001	4	Warren A. Blom	CEO	2017-06-07
0001710284-17-000001	1	Orlando Vallue	COO	2017-06-07
0001710284-17-000001	2	Salim J. Moussallem	CTO	2017-06-07
0001683052-17-000001	1	Alexandra D.F. Cripps	Director	2017-06-27
0001669191-17-000080	1	Charles Zwebner	Principal Executive Officer	2017-06-28
0001669191-17-000080	2	Charles Zwebner	Principal Financial Officer	2017-06-28
0001669191-17-000080	3	Charles Zwebner	Principal Accounting Officer	2017-06-28
0001669191-17-000080	4	Charles Zwebner	Board Member	2017-06-28
0001669191-17-000077	5	Monte Snyder	Board Member	2017-06-28
0001669191-17-000077	4	Mark Snyder	Board Member	2017-06-28
0001669191-17-000077	3	Mark Snyder	Principal Accounting Officer	2017-06-28
0001669191-17-000077	2	Mark Snyder	Principal Financial Officer	2017-06-28
0001669191-17-000077	1	Mark Snyder	Principal Executive Officer	2017-06-28
0001670254-17-000185	1	Thomas H Vogl Jr	Director	2017-06-28
0001670254-17-000185	4	Geoffrey McDonnell O'Keeffe	Director	2017-06-27
0001670254-17-000185	3	Anne Maleady	Trustee	2017-06-27
0001670254-17-000185	2	Kimberly Anne Riether Coupounas	Director, B Lab	2017-06-28
0001644600-17-000140	1	Lisa Tamayo	Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer and Director	2017-06-28
0001644600-17-000140	2	John Kennedy	Director	2017-06-28
0001644600-17-000140	4	Carol Frank	Director	2017-06-28
0001644600-17-000140	3	Lance Cottrell	Director	2017-06-28
0001644600-17-000138	1	Orion Parrott	Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer and Director	2017-06-28
0001674439-17-000007	1	Ralf-Rainer von Albedyhll	CEO	2017-06-27
0001670254-17-000182	1	Matthew James Hyder	Founder	2017-06-27
0001670254-17-000180	2	Nathan C. Jarvinen	Chairman of the Board	2017-06-24
0001605652-17-000001	1	Marlon Evans	Chief Executive Officer	2017-06-27
0001670254-17-000180	1	Mark Paulson	CFO	2017-06-26
0001670254-17-000178	3	andrew tulchin	CFO	2017-06-27
0001670254-17-000178	2	Stewart Alsop II	Director	2017-06-27
0001670254-17-000178	1	Peter Zandan	Director	2017-06-27
0001670254-17-000178	4	Vince Kadlubek	CEO	2017-06-27
0001669191-17-000075	1	John Fanning Jr	Principal Executive Officer	2017-04-27
0001670254-17-000176	3	Jason Bowne	Director	2017-06-26
0001670254-17-000176	2	Kim schademan	Board of directors	2017-06-26
0001670254-17-000176	1	Daniel Rubano	CEO	2017-06-26
0001670254-17-000174	1	Mark A TIlsen	President	2017-06-23
0001675896-17-000005	1	Donald McSwain	President	2017-06-26
0001665160-17-000228	2	Perry Christensen	Principal Financial Officer and Principal Accounting Officer	2017-06-23
0001665160-17-000228	3	Yuri Pikover	Director	2017-06-23
0001665160-17-000227	3	Kimberly Caccavo	Founder/CEO	2017-06-23
0001665160-17-000227	1	Kate Nowlan	Founder/COO	2017-06-23
0001665160-17-000227	2	Ralene Cavataio	CFO	2017-06-23
0001665160-17-000228	1	Claire Roberts	Principal Executive Officer and Director	2017-06-23
0001665160-17-000228	4	Jeff Davis	Director	2017-06-23
0001644600-17-000135	1	Robert Steinberg	Principal Executive Officer and Director	2017-06-23
0001644600-17-000135	2	Douglas Todd	Principal Accounting Officer, Principal Financial Officer and Director	2017-06-23
0001608695-17-000004	1	Brendon Strause	Managing Director	2017-06-23
0001683872-17-000005	1	/Storm Sondors/	CEO	2017-06-23
0001670254-17-000172	1	Albert Dahan	CEO	2017-06-22
0001691935-17-000001	1	/s/Michael Pelland	CEO / Founder	2017-06-22
0001644600-17-000133	1	Christopher K Sopher	Principal Executive Officer and Director	2017-06-22
0001644600-17-000133	2	Rebekah Monson	Principal Financial Officer, Principal Accounting Officer and Director	2017-06-22
0001644600-17-000131	1	Oliver Ryan	CEO, Principal Accounting Officer, Principal Financial Officer and Director	2017-06-22
0001695029-17-000005	1	Manny Fernandez	CEO	2017-06-21
0001695082-17-000006	1	Manny Fernandez	DreamFunded CEO	2017-06-21
0001665160-17-000225	1	Claire Roberts	Chief Executive Officer	2017-06-21
0001665160-17-000225	2	Scott Wilson	President	2017-06-21
0001665160-17-000225	3	Kelly Brodbeck	Chief Strategy Officer	2017-06-21
0001665160-17-000225	4	Terri Simpson	Chief Marketing and Sales Officer	2017-06-21
0001665160-17-000225	5	Adam Ward	Chief Operating Officer	2017-06-21
0001665160-17-000225	6	Perry Christensen	Chief Financial Officer	2017-06-21
0001665160-17-000225	7	Jennifer Jackenthal	VP of Strategic Clinic Operations	2017-06-21
0001665160-17-000225	8	Dr. Krista Lauer	Medical Director	2017-06-21
0001688220-17-000004	1	Manny Fernandez	DreamFunded CEO	2017-06-21
0001692818-17-000002	1	Manny Fernandez	CEO	2017-06-21
0001696377-17-000003	1	Manny Fernandez	DreamFunded CEO	2017-06-21
0001695333-17-000006	1	Manny Fernandez	CEO	2017-06-21
0001644600-17-000129	1	Oliver Ryan	CEO, Principal Accounting Officer, Principal Financial Officer and Director	2017-06-21
0001669191-17-000073	1	Jean Borno	Principal Executive Officer	2017-05-12
0001669191-17-000073	4	Jean Borno	Board Member	2017-05-12
0001669191-17-000073	3	Jean Borno	Principal Accounting Officer	2017-05-12
0001669191-17-000073	2	Jean Borno	Principal Financial Officer	2017-05-12
0001670254-17-000170	2	James Schmachtenberger	President	2017-06-20
