ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-17-000251	1	Fama Cash	Saiful Khandaker	Principal Executive Officer, Financial Controller, Principal Financial Officer, Director
0001665160-17-000246	1	SlideBelts Inc.	Brig Taylor	Founder & CEO
0001708142-17-000002	1	Ironclad Distillery, Inc.	Stephen King	President
0001665160-17-000245	1	Vibrant TV, LLC	Jon Bottorff	CFO
0001665160-17-000244	1	WindowMirror	Sean Patrick Fahey	CEO
0001665160-17-000243	1	Xcraft Enterprises, LLC	JD Claridge	CEO and Co-Founder
0001665160-17-000242	1	Yonduur	Deanna Hodges	President
0001665160-17-000241	1	Zoi, Inc.	Bryan Lorden	CEO
0001665160-17-000240	1	Los Angeles SuperStars, Inc.	Mark Scoggins	Chairman and CEO
0001665160-17-000239	1	Storiad, Inc.	Ramzi Hajj	President, CEO
0001665160-17-000238	1	Next Future Transportation Inc.	Tommaso Gecchelin	CTO
0001665160-17-000237	1	Mi Ola, Inc	Helena Fogarty	CEO and Founder
0001665160-17-000236	1	K-LAWYERS, INC.	Aviv Hillo	CEO
0001665160-17-000235	1	Buy Insta Slim, Inc	Eemaan Jalili	CEO and Director
0001665160-17-000234	1	GRACEDBYGRIT	Kimberly Caccavo	Founder and CEO
0001665160-17-000233	1	Filmio, Inc.	Ian LeWinter	President
0001665160-17-000232	1	Exploride, Inc.	Sunil Vallath	CEO
0001665160-17-000231	1	DNX7 Foods LLC	John Rooney	CEO
0001665160-17-000230	1	Caleigh & Clover, Inc.	Richard Ashbee	President, Secretary, Treasurer and Director
0001665160-17-000229	1	Niveau Brands, Inc.	Elliott Johnson	CEO
0001708179-17-000001	1	Hoke Poke 5077 Lankershim, LLC	Darin Barton	President of Great One Eight Management, Inc., the manager of the issuer
0001708189-17-000001	1	IgnitedStudios Hollywood, LLC	Yu Lun Kao	Co-Founder and Chief Creative Officer
0001710284-17-000001	1	Fyxme Inc.	Orlando Valle	COO
0001683052-17-000001	1	Alchemy Mining Group, Inc.	Bruce A. Cosgrove	President/CFO
0001669191-17-000080	1	VolAero UAV & Drones Holdings Corp.	Charles Zwebner	Principal Executive Officer
0001669191-17-000077	1	LafayetteRaceway.com, LLC	Mark Snyder	Principal Executive Officer
0001670254-17-000185	1	My Trail Company, PBC	Demetri Coupounas	CEO
0001644600-17-000140	1	SCOLLAR, INC.	Lisa Tamayo	Principal Executive Officer
0001644600-17-000138	1	Lendsnap, Inc.	Orion Parrott	CEO
0001670254-17-000180	1	VL ENGAGE INC.	J. Miguez	CEO
0001670254-17-000182	1	Recoup Fitness LLC	Matt Hyder	CEO
0001605652-17-000001	1	NestGSV, Inc.	Marlon Evans	Chief Executive Officer
0001674439-17-000007	1	NextRX Inc.	Ralf-Rainer von Albedyhll	CEO
0001670254-17-000178	1	Meow Wolf, Inc.	Vince Kadlubek	CEO
0001669191-17-000075	1	Zelgor Inc	John Fanning Jr	Principal Executive Officer
0001670254-17-000176	1	GroundSwell SPC	Daniel Rubano	CEO
0001670254-17-000174	1	Native American Natural Foods LLC	Karlene Hunter	Cofounder and CEO
0001675896-17-000005	1	Treycent, Inc	Donald McSwain	President
0001665160-17-000227	1	GRACEDBYGRIT	Kimberly Caccavo	Founder/CEO
0001665160-17-000228	1	LARADA SCIENCES INC	Claire Roberts	Principal Executive Officer and Director
0001644600-17-000135	1	Puptimize Inc.	Robert Steinberg	Chief Executive Officer
0001608695-17-000004	1	G. Randall & Sons, Inc.	Brendon Strause	Managing Director
0001683872-17-000005	1	Sondors Electric Car Co	/Storm Sondors/	CEO
0001670254-17-000172	1	Chateau Marcel, Inc.	Albert Dahan	CEO
0001691935-17-000001	1	Princeton Audio, LLC	/s/Michael Pelland	CEO
0001644600-17-000133	1	WhereBy.Us Enterprises, Inc	Christopher K Sopher	Principal Executive Officer
0001644600-17-000131	1	Count It Labs Inc.	Oliver Ryan	CEO
0001695333-17-000006	1	Live Esq, LLC	Manny Fernandez	CEO
0001696377-17-000003	1	SLICK TECHNOLOGIES, CORP.	Manny Fernandez	DreamFunded CEO
0001692818-17-000002	1	Safety First Arms, Inc.	Manny Fernandez	CEO
0001695029-17-000005	1	WorkCar, Inc.	Manny Fernandez	CEO
0001695082-17-000006	1	DUO, LLC	Manny Fernandez	DreamFunded CEO
0001665160-17-000225	1	LARADA SCIENCES INC	Claire Roberts	Chief Executive Officer
0001688220-17-000004	1	KBlock Tools, LLC	Manny Fernandez	DreamFunded CEO
0001644600-17-000129	1	Count It Labs Inc.	Oliver Ryan	CEO
0001669191-17-000073	1	1787 Financial Corporation, Inc.	Jean Borno	Principal Executive Officer
0001706024-17-000004	1	GoSun Inc.	Patrick Sherwin	Chief Executive Officer
