ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001781049-19-000001	1	Peter Tolman	Owner	2019-06-28
0001665160-19-000737	1	Christoper R. Lawrence	CEO, Manager, Head of Business Development and Marketing	2019-06-28
0001665160-19-000737	2	Christopher M. Carsten	Principal Financial Officer, Principal Accounting Officer, Manager, Head of Operations and Strategy	2019-06-28
0001669191-19-000208	1	Bradley Heimowitz	Principal Executive Officer	2019-06-21
0001669191-19-000208	4	Bradley Heimowitz	Board Member	2019-06-21
0001669191-19-000208	3	Bradley Heimowitz	Principal Accounting Officer	2019-06-21
0001669191-19-000208	2	Bradley Heimowitz	Principal Financial Officer	2019-06-21
0001665160-19-000736	1	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-06-28
0001775186-19-000004	1	Stephen Stayer	Member	2019-06-28
0001775186-19-000004	2	Martin Stayer	Member	2019-06-28
0001775186-19-000004	3	Sara Stayer	Member	2019-06-28
0001774156-19-000007	1	/s/ Peter Ghiorse	Co-Founder & CEO	2019-06-28
0001779032-19-000001	1	Erik D. Mayans	CEO, Managing Member	2019-06-27
0001770281-19-000004	1	Christopher VanBerg	CEO	2019-06-27
0001746059-19-000001	1	Kelly Partridge	Founderr	2019-06-27
0001778755-19-000001	4	Ronen Melnik	Board Member	2019-06-27
0001778755-19-000001	5	Gali Beh	Board Member	2019-06-27
0001778755-19-000001	2	Sharona Miron	CFO	2019-06-27
0001778755-19-000001	1	Gal Rozov	Principal executive officer, controller	2019-06-27
0001778755-19-000001	3	Don Norman	Board Member	2019-06-27
0001779569-19-000002	1	SRINI KATTA	CEO	2019-06-26
0001778006-19-000002	1	Michael Peterson	Managing Member	2019-06-26
0001665160-19-000735	1	Don Bielak	CEO, Principal Executive Officer and Manager,Principal Financial Officer and Principal Accounting Officer	2019-06-26
0001771760-19-000004	1	Stephanie Cohen	Owner	2019-06-26
0001771760-19-000003	1	Viki Allin	Owner	2019-06-26
0001665160-19-000734	2	Prasad Kothapalli	Director	2019-06-26
0001665160-19-000734	1	Steve Y. Chung	CEO, Manager, Principal Financial Officer, Principal Accounting Officer	2019-06-26
0001765330-19-000003	3	JP Yorro	Director	2019-06-25
0001765330-19-000003	2	Anita Sengupta	Director	2019-06-25
0001765330-19-000003	1	Jon Rimanelli	Principal executive officer, principal financial officer, principal accounting officer, and director	2019-06-25
0001666102-19-000018	1	Aaron K Gilbert	President & CEO	2019-06-25
0001665160-19-000733	1	Josef Wojtkow	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-06-25
0001780597-19-000001	1	EMMETT SOLDATI	FOUNDER	2019-06-25
0001779579-19-000001	2	Lalit Goel	Chairman	2019-06-25
0001779579-19-000001	1	Kelly Helmuth	Chief Executive Officer	2019-06-25
0001780452-19-000001	1	Tobias R Maldonado	Manager	2019-06-25
0001778006-19-000001	1	Michael Peterson	Managing Member	2019-06-25
0001665160-19-000732	2	Ekrem Buyukkaya	Director	2019-06-25
0001665160-19-000732	1	Andrew Torba	Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2019-06-25
