ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001781049-19-000001	0			Iron Born Pizza, LLC	Limited Liability Company		PA	2017-04-18	104 EADE AVE		GLENSHAW	PA	15116	https://ironbornpizza.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001665160-19-000737	1		Issuer is extending the length of their campaign by 30 days.	BluCollr, LLC	Limited Liability Company		NY	2018-01-10	29 HARKIN LN.		HICKSVILLE	NY	11801	http://blucollr.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-19-000208	0			FANview Sports Inc.	Corporation		CA	2017-10-04	412 N Oakhurst Drive	#100	Beverly Hills	CA	90210	www.playfanview.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-19-000736	1		Issuer is extending the length of their campaign by 60 days.	Boku International Inc	Corporation		DE	2014-09-29	987 WEST OJAI AVENUE	987 WEST OJAI AVE.	OJAI	CA	93023	www.bokusuperfood.com	StartEngine Capital, LLC	0001665160	007-00007	
0001775186-19-000004	0	Issuer raised $250,000. The actual processing time to confirm the commitments may take longer than the filing deadline, and the total amount is our best estimate at this time. The actual amount may be lower.		Sama Sama LLC	Limited Liability Company		TX	2018-06-11	1617 RICHMOND AVENUE		HOUSTON	TX	77006	https://www.gettoastedhtx.com/	NextSeed US LLC	0001667892	007-00023	283225
0001774156-19-000007	0		Amendment is filed to add 06/25/19 webinar transcript as Exhibit G.	GiveXist, Inc.	Corporation		DE	2016-11-30	517 Normandy Drive		Mantoloking	NJ	08738	www.givetide.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001779032-19-000001	0			Salsa God LLC	Limited Liability Company		DE	2014-11-05	802 9TH AVENUE	3D	NEW YORK	NY	10019	www.salsagod.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001770281-19-000004	1		This amendment is filed to extend the raise deadline and to disclose an investment by a board member of the Company.	CVBM Interests LLC	Limited Liability Company		TX	2017-01-26	7204 Wardman Dr		Del Valle	TX	78617	heartratesocial.com	MicroVenture Marketplace Inc.	0001478147	008-68458	152513
0001746059-19-000001	0			CONTRIBUTION CLOTHING LLC	Limited Liability Company		MA	2019-06-13	60 OLD BROOK RD		SPRINGFIELD	MA	01118	https://contributionclothing.com/	MainVest, Inc.	0001746059	007-00162	
0001778755-19-000001	0			FoldiMate, Inc.	Corporation		DE	2012-09-06	879 WHITE PINE CT.		OAK PARK	CA	91377	https://www.foldimate.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001779569-19-000002	0			Social Chains, Inc	Corporation		TX	2018-02-15	12808 W. AIRPORT BLVD	SUITE 270J	SUGAR LAND	TX	77478	www.socialchains.io	Pitch Venture Group LLC	0001736729	007-00153	
0001778006-19-000002	0		Accidentally uploaded an earlier, incomplete draft of offering statement. This amendment is to upload the correct, finished version.	Weeds Never Sleep LLC	Limited Liability Company		OR	2015-08-20	238 SE 63RD AVE		PORTLAND	OR	97215	www.hotzot.biz	truCrowd, Inc	0001667145	007-00015	283063
0001665160-19-000735	1		Issuer is extending the length of their campaign by 60 days.	Monetran, LLC	Limited Liability Company		DE	2018-03-26	501 PERSHING CT.		HOCKESSIN	DE	19707	monetran.com	StartEngine Capital, LLC	0001665160	007-00007	
0001771760-19-000004	0	Offering raised $24,450		Mompops, Inc.	Corporation		PA	2003-08-21	216 BIRCH ST.		KENNETT SQUARE	PA	19348	https://www.mompops.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001771760-19-000003	0	Offering raised $21,650		Bakery on the Square	General Partnership		OH	2019-01-01	34 PUBLIC SQ		ANDOVER	OH	44003	http://www.bakeryonthesquare.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001665160-19-000734	0			Healthereum LLC														
0001765330-19-000003	0	The issuer raised approximately $491,773 during the offering period. Payments are still being processed; the exact amount has yet to be determined.		Airspace Experience Technologies, Inc.	Corporation		NY	2017-03-28	11499 CONNER STREET		DETROIT	NY	48213	https://asx.us	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001666102-19-000018	0		Extend the offering deadline.	Armored Citizen, LLC.	Limited Liability Company		UT	2017-05-19	150 N DRAPER LN		PROVO	UT	84601	https://www.citizenarmor.com	Mr. Crowd	0001666102	007-00042	284278
0001665160-19-000733	0			Your Car, Our Driver, Inc.														
0001780597-19-000001	0			CHAI CURIOUS LLC	Limited Liability Company		NH	2019-06-10	P.O. BOX 294		SOMERSWORTH	NH	03878	https://teatotallerteahouse.com/	MainVest, Inc.	0001746059	007-00162	
0001779579-19-000001	0			Bestest, LLC	Limited Liability Company		DE	2015-10-06	21 Bridge  Square		Westport	CT	06880	www.bestestpolls.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001780452-19-000001	0			Globocoin 1, LLC	Limited Liability Company		DE	2018-02-12	8 THE GREEN STREET	STE A	DOVER	DE	19901	www.joinbiticar.com	crowdsourcefunded.com	0001667727	007-00027	
0001778006-19-000001	0			Weeds Never Sleep LLC	Limited Liability Company		OR	2015-08-20	238 SE 63RD AVE		PORTLAND	OR	97215	www.hotzot.biz	truCrowd, Inc	0001667145	007-00015	283063
0001665160-19-000732	0	At the close of the offering, the issuer closed on $1,060,525.18 and 265,604 number of securities.		Gab AI Inc	Corporation		DE	2016-09-08	700 N STATE STREET		CLARK SUMMIT	PA	18411	https://gab.ai/	StartEngine Capital, LLC	0001665160	007-00007	
