ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001781049-19-000001	1	Iron Born Pizza, LLC	Peter Tolman	Owner
0001665160-19-000737	1	BluCollr, LLC	Christoper R. Lawrence	CEO, Manager, Head of Business Development and Marketing
0001669191-19-000208	1	FANview Sports Inc.	Bradley Heimowitz	Principal Executive Officer
0001665160-19-000736	1	Boku International Inc	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001775186-19-000004	1	Sama Sama LLC	Stephen Stayer	Member
0001774156-19-000007	1	GiveXist, Inc.	Peter Ghiorse	Co-Founder & CEO
0001779032-19-000001	1	Salsa God LLC	Erik D. Mayans	CEO, Managing Member
0001770281-19-000004	1	CVBM Interests LLC	Christopher VanBerg	CEO
0001746059-19-000001	1	CONTRIBUTION CLOTHING LLC	Kelly Partridge	Founder
0001778755-19-000001	1	FoldiMate, Inc.	Gal Rozov	Principal executive officer, controller
0001779569-19-000002	1	Social Chains, Inc	SRINI KATTA	CEO
0001778006-19-000002	1	Weeds Never Sleep LLC	Michael Peterson	Managing Memeber
0001665160-19-000735	1	Monetran, LLC	Don Bielak	CEO, Principal Executive Officer and Manager,Principal Financial Officer and Principal Accounting Officer
0001771760-19-000004	1	Mompops, Inc.	Stephanie Cohen	Owner
0001771760-19-000003	1	Bakery on the Square	Viki Allin	Owner
0001665160-19-000734	1	Healthereum LLC	Steve Y. Chung	CEO, Manager, Principal Financial Officer, Principal Accounting Officer
0001765330-19-000003	1	Airspace Experience Technologies, Inc.	Jon Rimanelli	Principal executive officer, principal financial officer, principal accounting officer, and director
0001666102-19-000018	1	Armored Citizen, LLC.	Aaron K Gilbert	President & CEO
0001780597-19-000001	1	CHAI CURIOUS LLC	EMMETT SOLDATI	FOUNDER
0001665160-19-000733	1	Your Car, Our Driver, Inc.	Josef Wojtkow	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001779579-19-000001	1	Bestest, LLC	Kelly Helmuth	Chief Executive Officer
0001780452-19-000001	1	Globocoin 1, LLC	Tobias R Maldonado	Manager
0001778006-19-000001	1	Weeds Never Sleep LLC	Michael Peterson	Managing Member
0001665160-19-000732	1	Gab AI Inc	Andrew Torba	Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer
