ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001734991-19-000001	1	Local X Change, LLC	Zebulon Bartels	Owner
0001743601-19-000001	1	Building Economic Advancement Network Corp	Darren V. Walker	CEO
0001666102-19-000008	1	Success By Media LLC	Jay Noland	Chief Executive Officer
0001665160-19-000315	1	Proctor360, Inc	Ganga Bathula	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-19-000314	1	Ginjan Bros, Inc	Mohammed Diallo	CEO, Principal Executive Officer, and Director
0001665160-19-000313	1	URentMe LLC	Anthony Horovitz	CEO, Principal Executive Officer and Manager
0001765252-19-000002	1	QWIKLEAF LLC	Neil Biafore	CEO
0001670254-19-000157	1	Bee Consultants dba HiveMind LLC	Joseph Kelly	Director
0001665160-19-000311	1	Healthereum LLC	Steve Y. Chung	CEO, Manager, Principal Financial Officer, Principal Accounting Officer
0001669191-19-000107	1	God's Garden Treasures LLC	Karin Crawford	Principal Executive Officer
0001669191-19-000105	1	Braidy Industries, Inc.	Craig Bouchard	Principal Executive Officer
0001666102-19-000007	1	Vibravision, LLC.	Nathan S Zeleznick	Chief Executive Officer
0001670254-19-000151	1	Crooked City Cider LLC	Dana Bushouse	Cider Boss
0001670254-19-000154	1	70Million Resources, Inc.	Richard Bronson	CEO
0001665160-19-000306	1	ToGoBOX Inc.	Taegon Lee	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-19-000308	1	Alta Zero Emissions Solutions Inc.	Paul Hobbs	CEO, Principal Executive Officer and Director
0001670254-19-000147	1	Industry Water Filtration, Inc.	Richard Yanda	President
0001670254-19-000144	1	Kwame Palace LLC	George Baah	Founder & President
0001665160-19-000304	1	HUDWAY, CORPORATION	Aleksei Ostanin	CEO, Director, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer
0001670254-19-000140	1	Hops and Grain Production, LLC	Josh Hare	Founder & President
0001755490-19-000002	1	Benmelos, LLC	Benjamin Berg	President
0001742010-19-000001	1	Absinthia's Bottled Spirits, LLC	Jennifer Absinthia Vermut	Manager and Sole Member
0001670254-19-000139	1	Hospitality Innovated, LLC	Yannis Moati	CEO and Co-Founder
0001670254-19-000135	1	Inhabit.io, Inc	Chai Mishra	CEO
0001752130-19-000002	1	CoverUS, Inc	Andrew Hoppin	CEO & Director
0001665160-19-000299	1	Generation Genius, Inc.	Dr. Jeffrey Vinokur	Founder, CEO, Principal Financial Officer, Principal Accounting Officer, Director
0001665160-19-000296	1	Rentah Inc	Anup Desai	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer
0001731872-19-000001	1	Wellbeing Brewing Company LLC	Jeff Stevens	Founder
0001665160-19-000295	1	Cheap Plate Inc.	Richard J. Temple	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
