ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001734991-19-000001	0			Local X Change, LLC	Limited Liability Company		PA	2008-05-08	824 WHITMER ROAD		SLIGO	PA	16255	https://www.clarionriverorganics.com/p/csa.html				
0001743601-19-000001	0		Extend expiration date of the offering to July 1st, 2019.	Building Economic Advancement Network Corp	Corporation		LA	2018-05-29	101 OAK PARK CT.		BELLE CHASSE	LA	70037	www.iambean.us	truCrowd, Inc	0001667145	007-00015	283063
0001666102-19-000008	0		Extend the offering deadline	Success By Media LLC	Limited Liability Company		NV	2015-10-07	170 S GREEN VALLEY PKWY	SUITE 300	HENDERSON	NV	89013	https://successbymedia.com	Mr. Crowd	0001666102	007-00042	284278
0001665160-19-000315	1		Issuer is extending the length of their campaign by 32 days.	Proctor360, Inc	Corporation		VA	2018-10-04	1311 HIGH POINT AVE.		RICHMOND	VA	23230	www.proctor360.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-19-000314	1		Issuer is extending the length of their campaign by 32 days.	Ginjan Bros, Inc	Corporation		DE	2018-06-12	800 GRAND CONCOURSE	1 JS	BRONX	NY	10451	https://www.drinkginjan.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-19-000313	0	At the close of the offering, the issuer closed on $30,234.65 and 132,960 number of securities.		URentMe LLC	Limited Liability Company		NV	2017-04-26	871 CORONADO CENTER DRIVE, SUITE 200	SUITE 200	HENDERSON	NV	89052	www.urentme.com	StartEngine Capital, LLC	0001665160	007-00007	
0001765252-19-000002	0		Extended the closing date of the offering to May 31st, 2019	QWIKLEAF LLC	Limited Liability Company		MI	2018-03-16	3320 SPINNAKER LN	5B	DETROIT	MI	48207	www.qwikleaf.com	truCrowd, Inc	0001667145	007-00015	283063
0001670254-19-000157	0			Bee Consultants dba HiveMind LLC	Limited Liability Company		CO	2016-07-27	925 B Peachtree Street, Suite 138		Atlanta	GA	30309	http://ww.techhivemind.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-19-000311	0			Healthereum LLC	Limited Liability Company		WY	2018-06-26	106 E Lincolnway Ste 307		Cheyenne	WY	82001	https://healthereum.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-19-000107	0		issuer extended offering deadline.	God's Garden Treasures LLC	Limited Liability Company		AZ	2012-01-01	2219 S 48th Street	Suite G	Tempe	AZ	85282	www.godsgardentreasures.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-19-000105	0		issuer extending offering to june 15, 2019.	Braidy Industries, Inc.	Corporation		DE	2016-08-26	1544 Winchester Avenue	Third Floor	Ashland	KY	41101	https://www.braidyindustries.com/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001666102-19-000007	0		Extend the offering deadline	Vibravision, LLC.	Limited Liability Company		UT	2016-10-26	1710 WALL AVE		OGDEN	UT	84404	https://VibravisionUSA.com	Mr. Crowd	0001666102	007-00042	284278
0001665160-19-000306	0	At the close of the offering, the issuer closed on $48,565 and 243,455 number of securities.		ToGoBOX Inc.	Corporation		RI	2017-07-31	10 DORRANCE ST	SUITE 700	PROVIDENCE	RI	02903	www.letstogobox.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-19-000308	0			Alta Zero Emissions Solutions Inc.	Corporation		NV	2018-05-06	3960 Howard Hughes Parkway	Suite 500	Las Vegas	NV	89169	www.altazeroemissionstransportation.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-19-000151	0			Crooked City Cider LLC	Limited Liability Company		CA	2015-09-03	206 Broadway		Oakland	CA	94607	http://www.crookedcitycider.taphousecom				
0001670254-19-000154	0			70Million Resources, Inc.	Corporation		DE	2016-08-10	c/o WeWorks 12130 Millenium Drive		Playa Vista	CA	90094	http://www.70MillionJobs.com				
0001670254-19-000147	0			Industry Water Filtration, Inc.	Corporation		WY	2017-01-27	2780 South Jones Blvd.		Las Vegas	NV	89146	http://www.iwfsaveswater.com				
0001670254-19-000144	0			Kwame Palace LLC	Limited Liability Company		TX	2008-01-07	3515 Sycamore School Rd		Fort Worth	TX	76133	http://www.kwamebaah.com				
0001665160-19-000304	0		Correcting a typo in the offering memorandum related to oversubscription amount	HUDWAY, CORPORATION	Corporation		DE	2017-12-29	3221 carter ave 484		Marina Del Rey	CA	90292	hudway.co	StartEngine Capital, LLC	0001665160	007-00007	
0001755490-19-000002	0		Issuer updated its website address in its disclosure statement; Issuer added its new brand name to its online offering content to accurately reflect its rebranding.	Benmelos, LLC	Limited Liability Company		TX	2017-12-20	14795 MEMORIAL DR.		HOUSTON	TX	77079	https://www.carmelosrestaurant.com/	NextSeed US LLC	0001667892	007-00023	283225
0001670254-19-000140	0			Hops and Grain Production, LLC	Limited Liability Company		TX	2016-05-03	507 Calles St.	Suite 101	Austin	TX	78702	http://www.hopsandgrain.com/				
0001742010-19-000001	0			Absinthia's Bottled Spirits, LLC	Limited Liability Company		CA	2013-07-29	1962 Leimert Blvd		OAKLAND	CA	94602	www.absinthia.com	MiTec, PBC	0001690300	007-00133	292759
0001670254-19-000139	0			Hospitality Innovated, LLC	Limited Liability Company		NY	2014-07-07	545 fifth avenue		New York	NY	10017	http://www.hotelsbyday.com				
0001670254-19-000135	0		Add early bird terms	Inhabit.io, Inc	Corporation		DE	2016-06-10	2711 Centerville Road		Wilminton	DE	19808	https://shopmove.co/	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-19-000299	0			Generation Genius, Inc.	Corporation		DE	2017-06-09	14622 Ventura Blvd #2026		Sherman Oaks	CA	91403	https://www.GenerationGenius.com	StartEngine Capital, LLC	0001665160	007-00007	
0001752130-19-000002	0	The Offering successfully raised $114,936 on March 23, 2019.		CoverUS, Inc	Corporation		DE	2018-04-11	BROOKLYN NAVY YARD, BUILDING 128		BROOKLYN	NY	11201	https://coverus.health/	OpenDeal Portal LLC	0001751525	007-00167	283874
0001665160-19-000296	0			Rentah Inc														
0001731872-19-000001	0			Wellbeing Brewing Company LLC	Limited Liability Company		MO	2017-01-18	45  PROGRESS PARKWAY		MARYLAND HEIGHTS	MO	63043	https://wellbeingbrewing.com/				
0001665160-19-000295	0			Cheap Plate Inc.														
0001665160-19-000294	0	At the close of the offering, the issuer closed on $213,892.50 and 160 number of securities.		STARTENGINE CROWDFUNDING, INC.	Corporation		DE	2014-03-19	750 N SAN VICENTE BLVD.	STE 800 WEST	WEST HOLLYWOOD	CA	90069	www.startengine.com	truCrowd, Inc	0001667145	007-00015	283063
0001665160-19-000293	1		Issuer is extending the length of their campaign by 30 days.	Rhino Hide LLC	Limited Liability Company		ID	2018-06-13	273 BIRCH BANKS		SAGLE	ID	83860	www.rhino-hide.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-19-000292	0			Seat Amigo Inc.	Corporation		NV	2018-08-15	2641 Spearpoint Dr.		Reno	NV	89509	www.seatamigo.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-19-000133	0			Neurohacker Collective, LLC	Limited Liability Company		WY	2015-12-11	179 Calle Magdalena		Encinitas	CA	92024	http://neurohacker.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-19-000127	0	The final number is $259,714.00 in investments.		Neurohacker Collective, LLC	Limited Liability Company		WY	2015-12-11	179 Calle Magdalena	Suite 100	Encinitas	CA	92024	http://neurohacker.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001421744-19-000001	0			Cytonics Corp	Corporation		FL	2006-07-26	555 HERITAGE DRIVE	SUITE 115	JUPITER	FL	33458	https://cytonics.com/	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001765300-19-000003	0		Add webinar transcript (attached to Form C as Exhibit G).	FanBeat, Inc.	Corporation		DE	2014-08-14	309 East Paces Ferry Road NE	Suite 400	Atlanta	GA	30305	www.fanbeat.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001739450-19-000003	1		Extending raise deadline to April 8, 2019 and raising maximum offering amount to $1.07 million. Financial statements were reviewed by an independent CPA and are included as Exhibit A. The Company Summary has also been updated (Exhibit B).	Fluent Forever Inc.	Corporation		DE	2018-04-12	1645 W Ogden Ave	Unit 404	Chicago	IL	60612	http://fluent-forever.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001728559-19-000002	0		Update to jurisdictions list and website spelling due to scrivener's error.	Totle Inc.	Corporation		DE	2017-09-12	260 E BROWN STREET	SUITE 200	BIRMINGHAM	MI	48009	https://www.totle.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001665160-19-000290	1		Issuer is extending the length of their campaign by 39 days.	HEAL Diabetes Clinics Inc	Corporation		NV	2014-07-16	15332 ANTIOCH STREET PMB438		PACIFIC PALISADES	CA	90272	https://healclinics.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-19-000123	0			Como Audio, Inc	Corporation		DE	2019-03-01	21  Drydock Avenue		Boston	MA	02210	http://www.comoaudio.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-19-000289	1		Issuer is extending the length of their campaign by 39 days.	Your Car, Our Driver, Inc.	Corporation		CA	2007-04-27	2901 W COAST HIGHWAY, STE 200	STE 200	NEWPORT BEACH	CA	92663	www.yourcarourdriver.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-19-000120	0			Unity Vibration Living Kombucha Tea LLC	Limited Liability Company		MI	2009-08-28	UVK Beer		Ypsilanti	MI	48198	http://www.unityvibrationkombucha.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001731189-19-000003	0			3451 Benning LLC	Limited Liability Company		DC	2017-11-28	3232 GEORGIA AVE NW	SUITE 100	WASHINGTON DC	DC	20010	www.neighborhooddevelopment.com				
0001731189-19-000002	0			3451 Benning LLC	Limited Liability Company		DC	2017-11-28	3232 GEORGIA AVE NW	SUITE 100	WASHINGTON DC	DC	20010	www.neighborhooddevelopment.com				
0001669191-19-000103	0		issuer updated key people.	Ocean Renewable Power Company, Inc.	Corporation		DE	2017-04-05	254 Commercial St	Suite 119B	Portland	ME	04101	www.ORPC.co	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-19-000288	0	The amount raised at the time of closing is $107,000.		Ella & Oak LLC	Limited Liability Company		OR	2018-01-12	2124 NW HIGH LAKES LOOP		BEND	OR	97703	www.ellaandoak.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-19-000287	0	At the close of the offering, the issuer closed on $1,069,759.57 and 683,828 number of securities.		Mycroft AI Inc.	Corporation		DE	2016-12-29	300 E 39TH STREET	SUITE 4I	KANSAS CITY	MO	64111	www.mycroft.ai	StartEngine Capital, LLC	0001665160	007-00007	
0001763661-19-000005	0	Investments did not reach offering minimum; funds being returned to investors.		Coursapp Inc.	Corporation		DE	2016-03-01	1111 EUCLID ST #301	#301	SANTA MONICA	CA	90403	www.kudu.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001761087-19-000002	0	Investments did not meet offering minimum; funds being returned to investors.		ROW ViGOR	Limited Liability Company		DE	2016-02-03	157 S. WASHINGTON AVE		LOUISVILLE	CO	80027	www.rowvigor.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001665160-19-000286	0			Red Lilly Management, LLC	Limited Liability Company		CA	2018-09-28	25913 Blascos		Mission Viejo	CA	92691	https://www.instagram.com/atmland/	StartEngine Capital, LLC	0001665160	007-00007	
0001767504-19-000001	0			Brooklyn Heights Farm Residences LLC	Limited Liability Company		DE	2019-01-22	525 W. 52ND STREET	#18FN	NEW YORK	NY	10019	http://s3arc.com/	NSSC Funding Portal, LLC	0001665614	007-00012	
0001725124-19-000001	0			Rhymella, Inc	Corporation		DE	2016-06-15	PO BOX 600511, 897 WASHINGTON STREET		NEWTONVILLE	MA	02460	www.rhymella.com				
0001665160-19-000283	1		Issuer is extending their campaign and has updated the development stage.	Vizrom Inc.	Corporation		DE	2018-08-14	1848 TRAILRIDGE DRIVE		PELHAM	AL	35124	www.vizrom.com	StartEngine Capital, LLC	0001665160	007-00007	
0001593780-19-000001	0			Edisun Microgrids, Inc.	Corporation		DE	2013-04-09	130 W. UNION ST.		PASADENA	CA	91103	www.edisun.com				
0001735243-19-000002	0			Platform at 930, LLC	Limited Liability Company		DE	2018-03-02	456 S GRAHAM ST.		PITTSBURGH	PA	15232	www.plattformpgh.com				
0001735243-19-000001	0			Platform at 930, LLC	Limited Liability Company		DE	2018-03-02	456 S GRAHAM ST.		PITTSBURGH	PA	15232	www.plattformpgh.com				
0001769270-19-000005	0		Update to compensation to intermediary disclosure	Good Chroma LLC	Limited Liability Company		PA	2017-03-27	3799 LOGAN FERRY RD., APT H		PITTSBURGH	PA	15239	https://www.goodchroma.com	Honeycomb Portal LLC	0001705726	007-00119	289015
