ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001734991-19-000001	1	Zebulon Bartels	Owner	2019-03-29
0001743601-19-000001	1	Darren V. Walker	CEO	2019-03-29
0001666102-19-000008	1	Jay Noland	Chief Executive Officer	2019-03-29
0001665160-19-000315	1	Ganga Bathula	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-29
0001665160-19-000314	2	Ibrahima Diallo	COO, Principal Financial Officer, and Principal Accounting Officer	2019-03-29
0001665160-19-000314	1	Mohammed Diallo	CEO, Principal Executive Officer, and Director	2019-03-29
0001665160-19-000314	3	Mohammed Diallo	CEO, Principal Executive Officer, and Director	2019-03-29
0001665160-19-000313	2	Christopher Bantoft	Principal Financial Officer, Principal Accounting Officer and Manager	2019-03-29
0001665160-19-000313	1	Anthony Horovitz	CEO, Principal Executive Officer and Manager	2019-03-29
0001765252-19-000002	1	Neil Biafore	CEO	2019-03-29
0001665160-19-000311	1	Steve Y. Chung	CEO, Manager, Principal Financial Officer, Principal Accounting Officer	2019-03-28
0001665160-19-000311	2	Prasad Kothapalli	Director	2019-03-28
0001670254-19-000157	1	Joseph Kelly	Director	2019-03-27
0001669191-19-000107	1	Karin Crawford	Principal Executive Officer	2018-09-21
0001669191-19-000107	4	Karin Crawford	Board Member	2018-09-21
0001669191-19-000107	2	Karin Crawford	Principal Financial Officer	2018-09-21
0001669191-19-000107	3	Karin Crawford	Principal Accounting Officer	2018-09-21
0001669191-19-000105	5	Craig Bouchard	Board Member	2019-01-23
0001669191-19-000105	7	Christopher Schuh	Board Member	2019-01-23
0001669191-19-000105	4	Norton Schwartz	Board Member	2019-01-23
0001669191-19-000105	3	Johanne Medina	Principal Accounting Officer	2019-01-23
0001669191-19-000105	2	Julio Ramirez	Principal Financial Officer	2019-01-23
0001669191-19-000105	1	Craig Bouchard	Principal Executive Officer	2019-01-23
0001669191-19-000105	6	John  Preston	Board Member	2019-01-23
0001666102-19-000007	1	Nathan S Zeleznick	Chief Executive Officer	2019-03-28
0001665160-19-000308	1	Paul Hobbs	CEO, Principal Executive Officer and Director	2019-03-27
0001665160-19-000308	2	Vernon Turner	Principal Financial Officer and Principal Accounting Officer and Director	2019-03-27
0001670254-19-000151	1	Dana Bushouse	Cider Boss	2019-03-27
0001670254-19-000154	1	Richard Bronson	CEO	2019-03-18
0001665160-19-000306	1	Taegon Lee	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-27
0001670254-19-000147	2	Richard Yanda	President	2019-03-16
0001670254-19-000147	1	Mark J Stephenson	Director	2019-03-21
0001670254-19-000144	2	Richard Samuel	Adviser	2019-03-15
0001670254-19-000144	3	George Baah	Founder & President	2019-03-15
0001670254-19-000144	1	Heidi	Baah	2019-03-15
0001665160-19-000304	1	Aleksei Ostanin	CEO, Director, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2019-03-27
0001755490-19-000002	1	Benjamin Berg	President	2019-03-26
0001670254-19-000140	1	Josh Hare	Founder & President	2018-04-28
0001742010-19-000001	1	Jennifer Absinthia Vermut	Manager and Sole Member	2019-03-26
0001670254-19-000139	3	Yannis Moati	CEO and Co-Founder	2019-03-21
0001670254-19-000139	2	Tony	CFO	2019-03-21
0001670254-19-000139	1	Eddy Kaljic	COO	2019-03-21
0001670254-19-000135	1	Chai Mishra	CEO	2019-03-14
0001665160-19-000299	1	Dr. Jeffrey Vinokur	Founder, CEO, Principal Financial Officer, Principal Accounting Officer, Director	2019-03-25
0001752130-19-000002	2	Christopher Sealey	President & Director	2019-03-25
0001752130-19-000002	1	Andrew Hoppin	CEO & Director	2019-03-25
0001665160-19-000299	2	Eric S. Rollman	Co-Founder, President, CCO, Director	2019-03-25
0001665160-19-000296	1	Anup Desai	CEO, Principal Executive Officer, Director, Principal Financial Officer and Principal Accounting Officer	2019-03-25
0001731872-19-000001	1	Jeff Stevens	Founder	2018-04-05
0001731872-19-000001	2	Genevieve Barlow	Co-Founder	2018-04-05
0001665160-19-000295	1	Richard J. Temple	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-25
0001665160-19-000294	2	Ronald Miller	Director and Chairman	2019-03-25
0001665160-19-000294	1	Howards Marks	Chief Executive Officer, Chief Financial Officer, Chief Accounting Officer and Director	2019-03-25
0001665160-19-000293	1	Jason Giddon	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2019-03-25
0001665160-19-000292	2	Lora Shaffer	Director	2019-03-25
0001665160-19-000292	1	Rusty Shaffer	CEO, Director, Principal Executive Officer, Principal Financial Officer and Principal Accounting Officer	2019-03-25
0001670254-19-000133	4	Shawn Ramer	Senior Vice President	2019-03-21
0001670254-19-000133	5	James Schmachtenberger	CEO	2019-03-21
0001670254-19-000133	2	Daniel Schmachtenberger	Chief Strategy Officer	2019-03-22
0001670254-19-000133	1	R. Jordan Hall	Executive Chairman	2019-03-22
0001670254-19-000133	6	Hakan Lindskog	Chief Operating Officer	2019-03-21
0001670254-19-000133	3	Mark How	CRO	2019-03-21
0001670254-19-000127	1	Daniel Schmachtenberger	Chief Strategy Officer	2018-10-12
0001670254-19-000127	2	Jordan Hall	Executive Chairman	2018-10-12
0001670254-19-000127	6	James Schmachtenberger	CEO	2018-10-12
0001670254-19-000127	5	Shawn Ramer	SVP Product Development	2018-10-12
0001670254-19-000127	3	Mark How	Chief Revenue Officer	2018-10-12
0001670254-19-000127	4	Hakan Lindskog	COO	2018-10-12
0001421744-19-000001	2	Antonio Carvalho	Director, CEO & CFO	2019-03-22
0001421744-19-000001	1	Anjun K. Bose	President	2019-03-22
0001421744-19-000001	3	Gordon Ramseier	Director	2019-03-22
0001765300-19-000003	1	Edward Trimble	Chief Executive Officer	2019-03-22
0001739450-19-000003	1	Gabriel Wyner	CEO/Founder	2019-03-22
0001728559-19-000002	1	/s/David Bleznak	Chief Executive Officer, Director	2019-03-22
0001728559-19-000002	2	/s/Adam Bleznak	Director	2019-03-22
0001665160-19-000290	3	Bruce Rossiter	Director	2019-03-22
0001665160-19-000290	8	David Roderick	Director	2019-03-22
0001665160-19-000290	7	Jeffry Gerber, MD	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-22
0001665160-19-000290	6	Gary L. German	Director	2019-03-22
0001665160-19-000290	5	Michael Roth	Director, Chairman, and Secretary	2019-03-22
0001665160-19-000290	1	Richard Koffler	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-22
0001665160-19-000290	2	Sherron Kittle	Director	2019-03-22
0001665160-19-000290	4	Eric Westman	Director, Chief Medical Officer	2019-03-22
0001670254-19-000123	1	Thomas DeVesto	Como Audio Founder/Designer	2019-03-20
0001665160-19-000289	1	Josef Wojtkow	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-22
0001670254-19-000120	3	Rachel Kanaan	Co-founder	2019-03-19
0001670254-19-000120	2	Tarek Kanaan	Co-Founder	2019-03-19
0001670254-19-000120	1	Ikebal S. Gill	Chief Executive Officer	2019-03-19
0001731189-19-000003	1	Adrian Washington	CEO of Manager, Neighborhood Development Co., LLC	2019-03-21
0001731189-19-000002	1	Adrian Washington	CEO of Manager, The Neighborhood Development Company, LLC	2019-03-21
0001669191-19-000103	3	Sebastian Scripps	Board Member	2019-03-05
0001669191-19-000103	4	Daniel Googel	Board Member	2019-03-05
0001669191-19-000103	2	Christopher Sauer	Board Member	2019-03-05
0001669191-19-000103	1	Christopher Sauer	Principal Executive Officer	2019-03-05
0001669191-19-000103	5	Barbara Gollan	Board Member	2019-03-05
0001665160-19-000288	1	Christine H. Callahan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-21
0001665160-19-000287	1	Joshua Montgomery	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-03-21
0001763661-19-000005	1	Warren Essey	CEO	2019-03-21
0001761087-19-000002	1	Moses McCall	Co Founder and Sr. Architect	2019-03-21
0001761087-19-000002	2	Fola Awosika	Co Founder and Head of Fitness	2019-03-21
0001665160-19-000286	1	Crystal Knight	CEO, Principal Executive Officer and Manager, Controller and Principal Accounting Officer	2019-03-20
0001767504-19-000001	1	Doug Maxwell	Doug Maxwell, Manager of the Managing Member, S3RD LLC	2019-03-20
0001725124-19-000001	1	Megan Rzezutko	President, CEO	2019-03-20
0001665160-19-000283	1	Emmanuel Umoh	CEO, Principal Executive Officer and Director,Principal Financial Officer and Principal Accounting Officer	2019-03-20
0001593780-19-000001	1	Bill Gross	CE)	2019-03-20
