ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-16-000183	5 percent	N/A	Common Stock		5000	10.0	N/A	50000.0	Y	First-come, first-served basis		1000000.0	2017-05-30	5	0	0	0	0	0	0	103780	97453	0	0	0	0	0	0	0	0	-6327	-33793
0001693084-16-000001	5% of the amount raised	2% of the Securities issued in this offering	Other	Crowd SAFE	50000	1.0		50000.0	Y	First-come, first-served basis		100000.0	2017-03-31	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-16-000180	5 percent	N/A	Common Stock		7143	7.0	N/A	50001.0	Y	First-come, first-served basis		999950.0	2017-05-30	6	1725000	0	7000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001685751-16-000001																																
0001684321-16-000003	7% of actual funds raised and closed	None	Debt			2000.0	Per per Bond	500000.0	Y	First-come, first-served basis		1000000.0	2017-03-31	2	263795	181423	0	202000	200635	181423	79711	188917	0	0	25410	1556	0	0	0	0	16507	-8424
0001684321-16-000001	7% of actual funds raised and closed	None	Debt			2000.0	Per per Bond	500000.0	Y	First-come, first-served basis		1000000.0	2016-12-31	2	263795	181423	0	202000	200635	188917	79711	188917	0	0	25010	1556	0	0	0	0	-16507	-8424
0001692818-16-000003	5% of the amount raised	2% of the Securities being issued in this offering	Other	SAFE	500000	1.0		500000.0	Y	First-come, first-served basis		1000000.0	2017-03-31	0	48883	0	0	0	0	0	3231	0	0	0	0	0	0	0	0	0	-3231	0
0001669191-16-000083	4.9% of amount raised for a successful offering.	None.	Common Stock		500	40.0	In trying to disrupt the jewelry industry, driving it to self-service design, Troupe has made a significant investment in software development.  Specifically, we've in... [Truncated: see complete discussion in attachment QuestionsAnswers.pdf, question 21.]	20000.0	Y	First-come, first-served basis		40000.0	2016-12-19	6	127803	0	0	0	0	0	127562	0	7065	0	0	0	0	0	0	0	129663	0
0001213900-16-019667	4% of the offering amount upon a successful fundraise	N/A	Common Stock		62500	0.4	N/A	25000.0	Y	First-come, first-served basis		750000.0	2017-04-30	3	135709	226987	4101	216987	128438	0	2150103	1330305	100000	255000	125022	58468	73945	52635	800	800	-764698	-883461
0001690794-16-000001	5% of the amount raised	2% of the Securities being issued in this offering	Debt			1.0		10000.0	Y	First-come, first-served basis		200000.0	2017-10-14	2	0	0	0	0	0	0	45751	0	0	0	0	0	0	0	0	0	-17077	0
