ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-16-000183	1	Amel Hill	Contract Patent Engineer	2016-12-29
0001665160-16-000183	5	John Hondros	Advisor	2016-12-29
0001665160-16-000183	4	Tom Steding	Advisor	2016-12-29
0001665160-16-000183	3	Cindy Godley	Corporate Secretary	2016-12-29
0001665160-16-000183	2	Walt Maclay	Interim CTO	2016-12-29
0001693084-16-000001	1	Victor A. Montoya	Manager	2016-12-28
0001665160-16-000180	1	Brian Kelly	EVP & Director	2016-12-27
0001665160-16-000180	2	Carl George	Chairman & CEO	2016-12-27
0001685751-16-000001	1	Timmu Toke	Principal Executive Officer	2016-12-27
0001685751-16-000001	2	Haver Jarveoja	Principal Accounting Officer and Principal Financial Officer	2016-12-27
0001684321-16-000003	1	Christy J. Jepson	Manager	2016-12-27
0001684321-16-000001	1	Chris Jepson	Manager	2016-12-23
0001692818-16-000003	1	Victor A. Montoya	Manager	2016-12-23
0001669191-16-000083	4	Andy Fox	Board Member	2016-09-20
0001669191-16-000083	3	Andy Fox	Principal Accounting Officer	2016-09-20
0001669191-16-000083	1	Andy Fox	Principal Executive Officer	2016-09-20
0001669191-16-000083	2	Andy Fox	Principal Financial Officer	2016-09-20
0001213900-16-019667	1	Chad Newell	CEO	2016-12-21
0001690794-16-000001	1	Victor A. Montoya	Manager	2016-12-22
0001611945-16-000005	1	/s/ J. TODD COLEMAN	CEO	2016-12-22
0001670254-16-000236	1	Stacy Lowery	President	2016-12-20
0001680041-16-000004	1	Margaret E. Wirth	Director	2016-12-20
0001670254-16-000235	1	Julian Martinez	Director of Marketing / Board Member	2016-12-19
0001679373-16-000008	1	Brandi LeAnn DeCarli	Director	2016-12-16
0001682697-16-000005	1	dexroy donaldson	president	2016-12-16
0001679373-16-000008	2	Scott Stewart Thompson	Director	2016-12-16
0001677843-16-000003	1	Mike Stacey	CEO	2016-12-15
0001670254-16-000232	1	Mark Liebman	CTO	2016-12-12
0001670254-16-000234	1	Jamison Wiggins	Owner	2016-12-08
0001664526-16-000009	1	/s/Brian Monnin	CEO	2016-12-14
0001665160-16-000175	1	Arshad Hisham	Founder, CEO	2016-12-14
0001669191-16-000080	1	MJ Cartwright	Principal Executive Officer	2016-12-13
0001669191-16-000080	4	James Prescott	Board Member	2016-12-13
0001669191-16-000080	3	MJ Cartwright	Principal Accounting Officer	2016-12-13
0001669191-16-000080	2	MJ Cartwright	Principal Financial Officer	2016-12-13
0001669191-16-000080	5	MJ Cartwright	Board Member	2016-12-13
0001691774-16-000001	1	Kris Hardy	Managing Partner	2016-12-14
0001691774-16-000001	2	John Long	Managing Partner	2016-12-14
0001670254-16-000229	1	Christopher P. Somogyi	Founder	2016-12-12
0001682864-16-000008	1	dexter dixon	president	2016-12-13
0001665160-16-000172	1	Wade Keech	THE PHILANTHROPIC SPIRIT	2016-12-12
0001670254-16-000225	1	Rashaan Everett	CEO	2016-12-09
0001670254-16-000223	1	Alfred Fung	CEO	2016-12-09
0001669191-16-000074	5	David  Pinkney	Board Member	2016-10-01
0001669191-16-000074	1	Jeffrey Schattner	Principal Executive Officer	2016-10-01
0001669191-16-000074	2	Jeffrey Schattner	Principal Financial Officer	2016-10-01
0001669191-16-000074	3	Jeffrey Schattner	Principal Accounting Officer	2016-10-01
0001669191-16-000074	4	Jeffrey Schattner	Board Member	2016-10-01
0001691341-16-000008	1	/s/ Megan Summers	Manager	2016-12-08
0001691341-16-000008	2	/s/ Anthony Wood	Owner/Creative Director	2016-12-08
0001691341-16-000006	1	/s/ Megan Summers	Manager	2016-12-08
0001691341-16-000006	2	/s/ Anthony Wood	Owner/Creative Director	2016-12-08
0001670254-16-000218	1	Keith Sherrill	CEO	2016-12-06
0001688437-16-000007	1	Gregory Parker	CEO / Managing Member	2016-12-06
0001690909-16-000003	1	Aristotle Loumis	Director	2016-12-06
0001690909-16-000003	2	Ravi Patel	Director	2016-12-06
0001690909-16-000001	3	John Roa	Board Member	2016-12-06
0001690909-16-000001	2	Ravi Patel	Co-Founder	2016-12-06
0001690909-16-000001	1	Aristotle Loumis	Founder & CEO	2016-12-06
0001680454-16-000006	2	/s/ Martin Sherene	CFO/CTO, Director	2016-12-06
0001680454-16-000006	4	/s/ Mokyi Chow	Secretary/Chief Creative Director, Director	2016-12-06
0001680454-16-000006	3	/s/ Michael Ashe	Chief Product Officer, Director	2016-12-06
0001680454-16-000006	1	/s/ Yue Niu	CEO, Director	2016-12-06
0001665160-16-000170	1	Edward Jacobs	CTO	2016-12-05
0001144204-16-137950	3	/s/ Gene Massey	CFO	2016-12-05
0001144204-16-137950	2	/s/ Jeffery Mundy	COO	2016-12-05
0001144204-16-137950	1	/s/ Barry Fasman	CEO	2016-12-05
0001670254-16-000217	2	William Swanson	Core Developer	2016-12-05
0001670254-16-000217	1	Tim Horton	CTO	2016-12-05
0001670254-16-000217	3	Kevin Sullivan	Founder	2016-12-05
0001684715-16-000003	1	Amrita Karnani	Manager	2016-12-05
0001686564-16-000003	1	Kimberly Vaughan	President & CEO	2016-12-05
0001670254-16-000216	2	Travis Moore	CTO, Founder	2016-12-02
0001670254-16-000216	1	Sam Kazemian	CEO, Founder	2016-12-02
0001665160-16-000167	1	Chad Newell	CEO	2016-12-02
0001665160-16-000168	1	William Koch	Founder and Managing Partner	2016-12-02
0001691448-16-000001	2	Ari Goldberg	Director	2016-12-02
0001665160-16-000168	2	Gary Fenton	Founder and Managing Partner	2016-12-02
0001691448-16-000001	1	Dr. Justin Rome	Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer, Director	2016-12-02
0001670254-16-000214	1	Elliott Johnson	CEO	2016-11-21
0001670254-16-000214	2	Marielle Wardell	Vice President	2016-11-21
0001670254-16-000213	1	Kavitha Gopalan	CoFounder and CMO	2016-12-02
0001686564-16-000001	1	Kimberly Vaughan	President & CEO	2016-12-02
0001670254-16-000211	1	Steven E. Bushnell	President, ClimateStore Inc.	2016-11-21
0001670254-16-000209	1	Justin D Crouse	Vice President	2016-11-30
0001670254-16-000208	1	Martin Kessler	COO	2016-11-29
0001690216-16-000001	1	Alan Levin	Managing Partner	2016-11-29
0001597895-16-000003	1	Stephanie Lawrence	Co-Chief Executive Officer and Director	2016-11-28
0001670254-16-000207	1	Joshua E Morton	President	2016-11-28
0001665160-16-000165	1	David M. Rich	Founder & CEO	2016-11-28
0001597895-16-000003	2	Aashi Vel	Co-Chief Executive Officer and Director	2016-11-28
0001670254-16-000206	1	Martin Kessler	COO	2016-11-25
0001689502-16-000002	1	Rolv E. Heggenhougen	CEO	2016-10-25
0001670254-16-000205	1	Antony Evans	CEO	2016-11-21
0001665160-16-000160	2	Jeff Dowell	President	2016-11-22
0001665160-16-000160	5	James Williams	Chief Strategy Officer	2016-11-22
0001665160-16-000160	4	Ali Fakhari	CFO	2016-11-22
0001665160-16-000160	3	Star Faraon	Director	2016-11-22
0001665160-16-000160	1	John Wildman	Chairman & CEO	2016-11-22
0001688545-16-000003	1	Andre Morissette	Chief Executive Officer and Director	2016-11-22
0001685706-16-000005	1	Hugo Gamboa	Manager	2016-11-22
0001685706-16-000005	2	Andre Wasserman	Manager	2016-11-22
0001685706-16-000005	3	Adam Snyder	Manager	2016-11-22
0001670254-16-000203	1	Packy McFarland	VP Direct Response TV and Advertising	2016-11-15
0001670254-16-000203	2	Rod Jones	VP Marketing	2016-11-15
0001670254-16-000201	1	Karen Cooper	Owner/Founder	2016-11-18
0001665160-16-000152	1	Robert Colangelo	CEO and Founding Farmer	2016-11-18
0001665160-16-000152	2	Carl Wenz	Co-Founder and CFO	2016-11-18
0001684570-16-000008	1	kencle windross	PRESIDENT	2016-11-18
0001684570-16-000007	1	kencle windross	PRESIDENT	2016-11-18
0001684570-16-000006	1	kencle windross	PRESIDENT	2016-11-18
0001144204-16-135022	1	/s/ William Seippel	Chief Executive Officer	2016-11-15
0001144204-16-135022	2	/s/ John Hale	Senior Vice President of Finance, principal accounting officer	2016-11-15
0001144204-16-135022	3	/s/ William N. McAtee	Director	2016-11-15
0001144204-16-135022	4	/s/ Roger Ogden	Director	2016-11-15
0001144204-16-135022	5	/s/ Peter Schleider	Director	2016-11-15
0001144204-16-135022	6	/s/ James Sturgill	Director	2016-11-15
0001144204-16-135022	7	/s/ Michael Wharton	Director	2016-11-15
0001674421-16-000012	3	Robert Losey	Class A Member	2016-11-16
0001674421-16-000012	2	Thomas Kiefer	Class A Member	2016-11-16
0001674421-16-000012	1	Linda Losey	Class A Member	2016-11-16
0001688545-16-000002	1	Andre Morissette	Chief Executive Officer and Director	2016-11-16
0001597895-16-000001	1	Stephanie Lawrence	Co-Chief Executive Officer and Director	2016-11-16
0001597895-16-000001	2	Aashi Vel	Co-Chief Executive Officer and Director	2016-11-16
0001665160-16-000150	6	Daniel Schwarzbaum	Director of Marketing	2016-11-15
0001665160-16-000150	5	Yuriy Fuks	Electrical and Computer Engineering Advisor	2016-11-15
0001665160-16-000150	4	Bruce Tulloch	New Media and Technologies	2016-11-15
0001665160-16-000150	3	Sergey Samchyk	Head of Computer Engineering	2016-11-15
0001665160-16-000150	2	Stefano Paris	Chief Technical Officer	2016-11-15
0001665160-16-000150	1	Nelson Tyler	Chief Designer	2016-11-15
0001665160-16-000150	7	Boris Jarry	Operations Manager	2016-11-15
