ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-18-001013	1	Russell Thomas	CEO, Principal Executive Officer, Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-28
0001750513-18-000002	2	Krista Kanter	Manager	2018-09-28
0001750513-18-000002	1	Sean Kanter	Manager	2018-09-28
0001665160-18-001008	1	Alan Bailey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-28
0001644600-18-000033	1	Michael Burtov	Chief Executive Officer	2018-09-28
0001740883-18-000001	2	Adam Ewing	Head Brewer/CTO	2018-09-28
0001740883-18-000001	1	Richard Ewing	CEO/Founder	2018-09-28
0001670254-18-000462	4	Eric Eugene Lowe	Operations Director	2018-09-26
0001670254-18-000462	5	Cayce Rivers	Chief Executive Officer	2018-09-26
0001670254-18-000462	3	Cayce Rivers	Chief Executive Officer	2018-09-26
0001670254-18-000462	2	Michael Simmons	Dir of Product Innovation	2018-09-26
0001670254-18-000462	1	David Eric Rivers	Management & Bookkeeping	2018-09-26
0001670254-18-000464	2	George Favvas	CEO and Co-founder	2018-09-27
0001670254-18-000464	1	Jean-Sebastien Boulanger	CTO and Co-founder	2018-09-27
0001737477-18-000006	1	Joseph Toney Rogers	CEO	2018-09-27
0001665160-18-000999	1	Carder Starr	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-27
0001722197-18-000007	1	David Levine	Chief Executive Officer	2018-09-27
0001749548-18-000003	1	Jenn Diesi	Chief Executive Officer, President, Secretary, Chief Financial Officer, Director	2018-09-12
0001665160-18-000996	1	Chris La Cross	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-26
0001726542-18-000004	2	Leah Nussbaum	Chief Operating Officer and Secretary	2018-09-26
0001726542-18-000004	1	Esther Bernstein	Chief Executive Officer and President	2018-09-26
0001670254-18-000461	1	Elena Krasnoperova	Co-founder, CEO	2018-09-21
0001754202-18-000001	2	Alan Johnson	CEO	2018-09-26
0001754202-18-000001	1	Elliot Johnson	Creative Director	2018-09-26
0001213900-18-013018	1	/s/ Jim Davidson	Chief Financial Officer	2018-09-21
0001665160-18-000992	1	John Nelson	COO, Principal Financial Officer, Principal Accounting Officer and Managing Member	2018-09-25
0001665160-18-000992	2	David Chauner	CEO and Managing Member	2018-09-25
0001742335-18-000003	1	Marcus Davis	CEO	2018-09-25
0001742335-18-000003	3	Austin Fenstermaker	CTO	2018-09-25
0001670254-18-000460	4	Ryan Rafols	Founder & CEO	2018-09-20
0001670254-18-000460	1	Matthew Bell	Board Member	2018-09-20
0001670254-18-000460	2	Ryan Rafols	Founder & CEO	2018-09-20
0001670254-18-000460	3	Travis Brodeen	Co-Founder & CTO	2018-09-20
0001742335-18-000003	2	Connor Morris	CMO	2018-09-25
0001753229-18-000001	1	Angela Dupree	CEO	2018-09-25
0001670254-18-000458	3	Olivier Kaeser	Co-founder & COO	2018-09-24
0001670254-18-000458	2	Thomas Querton	CEO	2018-09-25
0001670254-18-000458	1	Magali Mathieu	Co-founder & chief partnership builder	2018-09-25
0001665160-18-000988	2	Vincent Lovrich	COO, Director, Principal Financial Officer and Principal Accounting Officer	2018-09-25
0001665160-18-000988	1	Ketzal Sterling	CEO, Principal Executive Officer and Director	2018-09-25
0001665160-18-000980	2	Robert S. MacArthur	Director,Principal Financial Officer and Principal Accounting Officer	2018-09-24
0001743861-18-000001	3	John Bentley II	CTO	2018-09-24
0001743861-18-000001	1	Michael Hiles	CEO	2018-09-24
0001743861-18-000001	2	Rob Slater	COO	2018-09-24
0001665160-18-000983	1	Caesar Medel	CEO and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-24
0001665160-18-000983	2	Alfonso Morales	CTO	2018-09-24
0001665160-18-000983	3	Marc McDonald	COO	2018-09-24
0001665160-18-000983	4	Gilbert Pierola	CCO	2018-09-24
0001665160-18-000983	5	Manuel Betancourt	CDO	2018-09-24
0001665160-18-000983	6	Kenneth Medel	CMO	2018-09-24
0001665160-18-000980	1	Brian C. Alexson	CEO, Principal Executive Officer	2018-09-24
0001665160-18-000978	1	James W. Killen	CEO and Manager	2018-09-24
0001665160-18-000978	2	Stephanie L. Watson	CFO and the Principal Accounting Officer	2018-09-24
0001669191-18-000426	4	Jacob Dansey	Board Member	2018-09-24
0001669191-18-000426	1	Jacob Dansey	Principal Executive Officer	2018-09-24
0001669191-18-000426	3	Jacob Dansey	Principal Accounting Officer	2018-09-24
0001669191-18-000426	2	Jacob Dansey	Principal Financial Officer	2018-09-24
0001665160-18-000975	1	Jason Giddings	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-09-24
0001665160-18-000974	1	Joseph Gangi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-24
0001665160-18-000973	1	Jake Obremski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-09-24
