ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-18-001013	1	Duby, LLC	Russell Thomas	CEO, Principal Executive Officer, Manager, Principal Financial Officer and Principal Accounting Officer
0001750513-18-000002	1	Oz. House LLC	Sean Kanter	Manager
0001665160-18-001008	1	Cyrus The Great Production Company, Inc	Alan Bailey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001644600-18-000033	1	GeoOrbital Inc.	Michael Burtov	Chief Executive Officer
0001740883-18-000001	1	Big Belly Brewing LLC	Richard Ewing	CEO
0001670254-18-000464	1	Circle Medical Technologies, Inc.	George Favvas	CEO and Co-founder
0001670254-18-000462	1	Mars Colony, LLC DBA Meridian Hive	Cayce Rivers	Chief Executive Officer
0001737477-18-000006	1	WorkDone Inc.	Joseph Toney Rogers	CEO
0001665160-18-000999	1	Rhode Islands Dressings, LLC	Carder Starr	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001722197-18-000007	1	INDECO UNION	David Levine	Chief Executive Officer
0001665160-18-000996	1	Timeburst, LLC	Chris La Cross	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001749548-18-000003	1	Geek Girl Tech, PBC	Jenn Diesi	Chief Executive Officer
0001726542-18-000004	1	Avoke Inc	Esther Bernstein	Chief Executive Officer and President
0001670254-18-000461	1	Famterra, Inc	Elena Krasnoperova	Co-founder, CEO
0001754202-18-000001	1	STONED IMMACULATE VINTAGE, INC	Alan Johnson	CEO
0001213900-18-013018	1	Dialogue Key, Inc	/s/ Jim Davidson	Chief Financial Officer
0001670254-18-000460	1	Newchip Inc.	Ryan Rafols	Founder & CEO
0001742335-18-000003	1	Apex Sports LLC	Marcus Davis	CEO
0001665160-18-000992	1	World Cycling League, LLC	John Nelson	COO, Principal Financial Officer, Principal Accounting Officer and Managing Member
0001753229-18-000001	1	OH SO POLISH, INC	Angela Dupree	CEO
0001670254-18-000458	1	Atlas Unlimited, Inc	Olivier Kaeser	Co-founder & COO
0001665160-18-000988	1	The Module Project, Inc.	Ketzal Sterling	CEO, Principal Executive Officer and Director
0001743861-18-000001	1	10XTS INC	Michael Hiles	CEO
0001665160-18-000980	1	335 Inc. DBA Soli	Brian C. Alexson	CEO, Principal Executive Officer
0001665160-18-000983	1	Leap With Alice LLC	Caesar Medel	CEO and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000978	1	MPW Associates, LLC	James W. Killen	CEO and Manager
0001669191-18-000426	1	Involved, Inc.	Jacob Dansey	Principal Executive Officer
0001665160-18-000975	1	Rhino Hide LLC	Jason Giddings	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000974	1	Security Biometrics Corp	Joseph Gangi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000973	1	Dablr, Inc	Jake Obremski	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000972	1	SupPorter, Inc.	Inman Porter	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-18-000456	1	Just Add Cooking Inc.	Jan H Leife	President
0001670254-18-000452	1	Armadio, Inc.	Matteo Mattia Gemignani	CEO
0001665160-18-000970	1	Full Partner, LLC	Scott F Hickey	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001753336-18-000001	1	Eagle Protect, PBC	Stephen Warne Ardagh	President and Chief Executive Officer
0001670254-18-000454	1	WinSanTor, Inc.	Stanley Kim	CEO
0001751635-18-000005	1	Neopenda, PBC	Sona Shah	CEO
0001751635-18-000004	1	Neopenda, PBC	Sona Shah	CEO
0001746343-18-000005	1	Sing 1, LLC	Laura Lasco	Manager of NexGen Restaurants, LLC, the manager
0001670254-18-000450	1	Monarch Media LLC	Vincent Zaldivar	CEO
0001745727-18-000005	1	FOCUSMATE INC	Taylor Jacobson	President and Chief Executive Officer
0001750319-18-000001	1	Smilelove LLC	David Frazier	Manager
0001751443-18-000003	1	Transatlantic Real Estate LLC	Nicole Birch	CEO
0001745986-18-000001	1	Airto, Inc.	Shi Li	CEO, principal financial officer, and principal accounting officer
0001670254-18-000448	1	World Tree COP USA, LLC	Wendy Burton	Founder & CEO
0001665160-18-000967	1	xCraft Enterprises, Inc.	JD Claridge	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-18-000446	1	VirZOOM, Inc.	Eric Janszen	Co-founder and CEO
0001665160-18-000964	1	MeetMeNow LLC	Frank Azzolino	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000957	1	Gab AI Inc	Andrew Torba	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-18-000423	1	Braidy Industries, Inc.	Craig Bouchard	Principal Executive Officer
0001665160-18-000953	1	Sentigraph Inc	Tochi Eke-Okoro	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000950	1	StorEn Technologies Inc.	Carlo Brovero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000949	1	CrowdCoverage Inc.	John Pearson	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000948	1	Keezel, Inc.	Aike Muller	Principal Executive Officer and President
0001665160-18-000947	1	American Ultimate Disc League, LLC	Steven T Gordon	Principal Executive Officer and Manager
0001751443-18-000002	1	Transatlantic Real Estate LLC	Nicole Birch	CEO
0001751287-18-000002	1	WORLD BLOCKCHAIN PROJECT	Joseph Hernandez	CEO
0001665160-18-000945	1	Conc-Steel Inc.	John Koszalkowski	President, Principal Executive Officer, Director, Principal Financial Officer, Principal Accounting Officer
0001665160-18-000943	1	Solar Direct LLC	Kirk Maust	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001748169-18-000002	1	Gin & Luck LLC	David Kaplan	CEO
0001665160-18-000942	1	SHIFTMobility Inc.	Pavana Jain	CEO and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000939	1	SHIFTMobility Inc.	Pavana Jain	CEO and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000937	1	Flower Turbines LLC	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-18-000444	1	Fundraise Up Inc.	Peter Byrnes	Chief Executive Officer
0001665160-18-000936	1	ARTICHOKE, LLC	Justin Shelby	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000935	1	Magnabid	Pez Zarifian	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-18-000442	1	Billion Vegans Inc.	Alon Hochberg	Co-founder & CEO
0001691608-18-000001	1	Fair Isle Brewing, LLC	Geoffrey Barker	Manager
0001665160-18-000934	1	Erndo Inc.	Peter Jenson	CEO, Principal Executive Officer, and Principal Executive Director
0001658754-18-000003	1	Latin Everywhere Inc.	Richard Hull	CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer
0001670254-18-000440	1	Heroin Film LLC	Spencer T Folmar	Director, Writer, and Producer
