ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001665160-18-001013	6 percent	N/A	Other	Convertible Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-12-28	6	246888	241389	15226	9727	0	0	51753	18106	0	0	42695	3079	10430	2602	0	0	-630803	-296542
0001750513-18-000002	A % of the total Offering Amount (10% for <$250,000 and 9% for more than $250,000 and $500,000 or less, 8% for more than $500,000 and $750,000 or less and 7% for more than $750,000); provided only 5% is charged on investors introduced by the issuer.	None	Debt				Face value of the security	150000.0	Y	First-come, first-served basis		175000.0	2018-10-31	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-001008	6 percent	N/A	Other	Revenue Participation Rights	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-11-27	5	29600	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001644600-18-000033														7	699126	1199675	103311	407725	0	0	1302152	1625238	805838	170000	2046883	36764	2001604	36764	0	0	-831330	-534783
0001740883-18-000001	6-8% of a successful campaign raise		Other	Suite Seat LLC dba Apex Sports will issue a Simple Agreement for Future Equity. The investor will receive a 30% discount with $2,800,000 valuation cap on the instance of future shares.	10000	1.0	At the issuers discretion	10000.0	Y	Pro-rata basis		600000.0	2019-02-28	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-18-000462	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Convertible Note	200000	1.0	Pro-rated portion of the total principal value of $200,000; interests will be sold in increments of $1; each investment is convertible to one unit as described under Item 13.	200000.0	Y	Other	As determined by the issuer	1000000.0	2019-03-26	5	421066	219829	35468	8714	45017	6065	112763	45267	452958	358072	729023	364722	379170	185928	0	0	8855	-139010
0001670254-18-000464	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Preferred Stock		137058	0.7296199999999999	Premoney valuation ($15,000,000) divided by number of outstanding securities	100000.3	Y	Other	As determined by the issuer	1070000.0	2018-11-26	13	1375958	821399	1153920	692360	155815	77188	99320	114720	5427942	2942942	804733	215506	1066502	519486	1850	3368	-1907499	-1785533
0001737477-18-000006	The funding portal is getting paid a 7% success fee less $3,500 already paid.	None.	Other	SAFE+REV (Simple Agreement for Future Equity and Revenue Participation)	1000	10.0	Arbitrarily	10000.0	Y	First-come, first-served basis		1070000.0	2018-11-30	0	0	0	1000	0	0	0	0	0	10233	0	0	0	0	0	0	0	0	0
0001665160-18-000999	6 percent	N/A	Other	Units	95	105.0	N/A	9975.0	Y	Other	At issuer's discretion	105000.0	2018-12-27	3	22981.69	2936.23	948.6800000000001	600.41	3914.1	507.6	21680.3	11750.97	68091.77	17158.07	46116.91	31572.37	33630.08	17528.98	0	0	-40817.57	-11661.79
0001722197-18-000007	7 percent	N/A	Other	DUSTO (debt until security token offering)	57	175.0	N/A	10000.0	Y	Other	At issuer's discretion	575000.0	2019-01-31	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000996	6 percent	N/A	Other	Membership Units	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-12-26	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001749548-18-000003	6.5% of offering proceeds that are actually distributed to the issuer.	None.	Debt				Face value	50000.0	Y	First-come, first-served basis		1070000.0	2018-11-25	2	11720	8612	11720	8612	0	0	19030	3211	0	0	109893	88160	21441	4650	3511	0	5842	32288
0001726542-18-000004																																
0001670254-18-000461	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	100000	1.0	Pro-rated portion of the total principal value of $100,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	100000.0	Y	Other	As determined by the issuer	200000.0	2018-10-03	4	11132	2128	11132	2128	0	0	4860	127	457472	259114	0	0	0	0	800	800	-194571	-154002
0001754202-18-000001	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Preferred Stock		6250	4.0		25000.0	Y	First-come, first-served basis		1000000.0	2018-11-23	2	176931	123021	10013	25254	43626	13295	58000	25510	264000	270000	449476	461516	257034	279846	800	800	27419	-77016
0001213900-18-013018	5% of funds raised  from USA investors and 7.5% plus processing fees of 3% of funds raised from international investors by wire, ACH, and credit cards.  Plus a number of shares equal to 5% of the shares placed in the offering.	No interest now held; an interest of 5% of the shares issued in this offering to be acquired by intermediary as compensation.	Common Stock		5000000	0.35000000000000003	None	1070000.0	N				2019-03-15	7	250000	0	90803.33	0	0	0	0	0	150000	0	0	0	0	0	0	0	0	0
0001670254-18-000460	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	1070000.0	2018-10-05	9	240443	10689	240443	10689	0	0	31386	18500	1154240	189028	1000	0	0	0	0	0	-748599	-197884
0001753229-18-000001	4.5% +	40 shares	Common Stock		4280	25.0	Price per share is based on company evaluation of $60,000.00	107000.0	Y	First-come, first-served basis		535000.0	2019-03-31	1	38970	13220	14450	6330	0	0	0	0	0	0	53981	47989	13562	11944	2495	1898	70038	61831
0001742335-18-000003																																
0001665160-18-000992	6 percent	N/A	Other	Class B Membership Units	1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-12-26	3	226613.85	35018.950000000004	3454.81	4678.64	0	0	10500	0	1348915.45	814644.66	70	6221.72	488.92	0	0	0	-353175.89	-755439.26
0001670254-18-000458	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	500000.0	2019-03-24	6	313771	14627	311267	14627	1776	0	8286	453	47111	47556	9428	0	16550	0	-1877	-6	-165515	-33472
0001665160-18-000988	6 percent	N/A	Other	Revenue Sharing Promissory Notes	10000	250.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-12-26	4	5100	0	5100	0	0	0	0	0	7220	0	0	0	0	0	230	0	-230	0
0001665160-18-000980	6 percent	N/A	Other	Series B Common Stock	5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-11-23	8	263014	114626	179	0	0	0	56400	56400	327364	127460	0	0	0	0	0	0	0	0
0001665160-18-000983	6 percent	N/A	Other	LWA Token	1869		N/A	9999.15	Y	Other	At issuer's discretion	1070000.0	2018-12-24	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001743861-18-000001	5-7% of the total offering amount will be paid to the intermediary	10,000 shares of common stock	Common Stock		1333	3.75	At the issuers discretion.	50000.0	Y	Pro-rata basis		1070000.0	2018-12-31	3	350718	0	308423	0	0	0	109996	0	0	0	0	0	0	0	42295	0	-159278	0
0001665160-18-000978	10 percent	N/A	Other	Membership Units	10000		N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-11-26	2	0	2378.4500000000003	0	0	0	0	0	175	0	0	0	0	0	0	0	0	0	0
0001669191-18-000426	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		15385	0.65	At issuer's discretion.	10000.25	Y	First-come, first-served basis		1000025.0	2018-11-11	4	48157	0	48157	0	0	0	0	0	0	0	0	0	0	0	0	0	-8338	0
0001665160-18-000975	6 percent	N/A	Other	Non-Voting Class B Units	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-11-26	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000974	6 percent	N/A	Other	Convertible Promissory Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-18	3	15	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	-16611	0
