ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001670254-18-000100	1	Storeboard, Inc.	David Waller	CEO & Founder
0001669191-18-000176	1	Maingear, Inc.	Wallace Santos	Principal Executive Officer
0001704090-18-000003	1	Gulf Coast Canna Meds, Inc.	Lori Daugherty	CEO
0001665160-18-000258	1	Wordego, Incorporated	Okan Erol	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000255	1	Power Hero Corp.	Esmond Goei	CEO, Principal Executive Officer and Director
0001734621-18-000002	1	Jobletics, Inc	Rahul Sharma	CEO and Director
0001710332-18-000002	1	Duralogic USA Inc	Bryce Fisher	CEO, Principal Executive Officer, Principal Accounting Officer, Principal Financial Officer
0001728855-18-000003	1	Boon VR LLC	Satya Ridhima Parvathaneni	Chief Executive Officer
0001665160-18-000251	1	LifeBridge 10000, LLC	Peter F Travers	CEO and Managing Member, Principal Financial Officer and Principal Accounting Officer
0001724714-18-000004	1	Gryphon Online Safety, Inc.	John Wu	CEO and Director
0001724637-18-000001	1	BuffBrew Taproom, LLC	Rassul Zarinfar	President/CEO of sole member
0001670254-18-000099	1	Orthogonal Thinker Inc.	Helene Servillon	Director
0001665160-18-000249	1	UniCoin Blockchain Inc.	Chris Anthony	Principal Executive Officer and Director, Principal Financial Officer
0001723487-18-000001	1	Lynwood Financial Group	/s/ Charles Feltman	President
0001735522-18-000001	1	Squirrel Capital Investments Inc.	Byron Stepner	CEO
0001710013-18-000001	1	Distributed Security, Inc.	Mike Smock	President
0001669191-18-000173	1	ChoiceTrade Holdings, Inc.	Neville Golvala	Principal Executive Officer
0001665160-18-000246	1	Bioclonetics Immunotherapeutics, Inc.	Charles S. Cotropia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000245	1	StorEn Technologies Inc.	Carlo Brovero	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-18-000170	1	City Windmills Inc.	David Mapley	Principal Executive Officer
0001723949-18-000012	1	Fatwood LLC	Robert Dames	CEO
0001665160-18-000244	1	General Presence Inc.	Frank Erik Banks	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000242	1	WORDEGO INC	Dr. Okan Erol	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000243	1	TotalSource Solutions, Inc	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-18-000167	1	4Gen Technology Group, Inc.	Jacob Clifton	Principal Executive Officer
0001669191-18-000165	1	Finnest, Inc.	Clemens Grave	Principal Executive Officer
