ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001670254-18-000100	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	50000	1.0	Pro-rated portion of the total principal value of $50,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	50000.0	Y	Other	As determined by the issuer	105000.0	2018-09-28	2	2200.48	136.54	2200.48	136.54	0	0	0	0	0	0	1100.8500000000001	0	0	0	0	0	-36136.06	-863.46
0001669191-18-000176	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		2858	3.5	At issuer's discretion	10003.0	Y	First-come, first-served basis		1069999.0	2018-07-05	24	1081758	703984	47589	133237	51873	90625	111736	379357	0	48189	7921690	6396944	6725381	5630951	0	0	310268	39562
0001704090-18-000003	The company will pay the funding portal a success fee of 6.5%, of which $3,500 were paid upfront.	None	Other	SAFE+REV (Simple Agreement for Future Equity AND Revenue Participation)	4000	5.0	Arbitrary	20000.0	Y	First-come, first-served basis		1070000.0	2018-04-30	0	0	0	0	0	0	0	135847	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000258	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-06-28	6	464438	168159	316	3324	124287	0	116879	0	339835	164835	125715	108902	118479	103473	1060	891	3340	2283
0001665160-18-000255	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	88000.0	2018-06-29	6	110082.54000000001	0	41126.36	0	31380	0	582	0	0	0	0	0	0	0	0	0	-136911	0
0001734621-18-000002	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5% of the number of securities sold.	Preferred Stock		6534	3.8264		25000.0	Y	First-come, first-served basis		1070000.0	2018-06-01	3	61192	69906	54300	69906	6892	0	50249	59804	260000	80000	530785	109049	-453756	-87385	0	0	-179159	-67011
0001710332-18-000002																																
0001728855-18-000003	5.0% of the gross proceeds of this offering	2% of the Securities being issued in this Offering	Other	Simple Agreement for Future Equity (SAFE)	25000	1.0	N/A	25000.0	Y	First-come, first-served basis		1070000.0	2018-04-27	0	4986	7993	1302	1831	0	0	0	0	0	0	0	0	0	0	0	0	237865	149345
0001665160-18-000251	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-03-28	4	2519	989	404	989	0	0	0	0	0	0	0	0	0	0	0	0	-160565.78	-26519.920000000002
0001724714-18-000004	7.5% of the amount raised	SI Securities will receive equity compensation equal to 5.00% of the number of securities sold.	Debt				Determined in conjunction with a broker-dealer	25000.0	Y	First-come, first-served basis		900000.0	2018-03-23	5	197422	8688	156683	8260	0	0	72545	0	214000	0	0	0	0	0	0	0	-157811	-1014
0001724637-18-000001	NextSeed charges a % of the total raised (10% for $250,000 or less, 9% for $250,000 - $500,000, 8% for $500,000 - $750,000 and 7% for more than $750,000), but only 5% for amounts raised from investors referred by the issuer	None	Debt				Face value of the note	250000.0	Y	First-come, first-served basis		1000000.0	2018-04-30	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001670254-18-000099	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	71000	1.0	Pro-rated portion of the total principal value of $71,000; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	71000.0	Y	Other	As determined by the issuer	1070000.0	2018-04-30	2	208421	0	18454	0	16752	0	31822	0	231250	0	92896	0	0	0	0	0	-55096	0
0001665160-18-000249	6 percent	N/A	Other	Class B Non-Voting Common Stock	1000	10.0	N/A	10000.0	Y	Other	At issuer's discretion	800000.0	2018-06-27	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001723487-18-000001																																
0001735522-18-000001	The intermediary will get paid a success fee of 8% with $1,000 already paid.	None	Other	simple agreement for future equity + revenue participation	100	100.0	Arbitrarily	10000.0	Y	First-come, first-served basis		1070000.0	2018-08-31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001710013-18-000001	The Issuer will pay the funding portal an 8% success fee less about $1,200 paid in advance.	None.	Other	Revenue Participation Rights	30	300.0	Arbitrary	9000.0	Y	First-come, first-served basis		90000.0	2018-03-30	0	3110	205	3110	205	0	0	0	0	4100	0	45680	15957	0	8987	0	0	-1195	-3312
0001669191-18-000173	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		6667	1.5	At issuer's discretion.	10000.5	Y	First-come, first-served basis		1069999.5	2018-05-31	8	591311	627836	37469	91340	0	0	0	0	0	0	922151	1043214	507583	373683	0	0	-143160	-253351
0001665160-18-000246	6 percent	N/A	Other	Convertible Note	10000	100.0	N/A	10000.0	Y	Other	At issuer's discretion	148234.0	2018-04-30	4	1195	226	1195	226	0	0	0	0	0	0	0	0	0	0	0	0	-80591	-40774
0001665160-18-000245	6 percent	N/A	Common Stock		2500	4.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-05-28	4	15022	0	15007	0	15	0	56398	0	120000	0	0	0	0	0	0	0	-287441	0
0001669191-18-000170	Up to 4.9% of amount raised for a successful offering	None.	Common Stock		10000	1.0	At issuer's discretion	10000.0	Y	First-come, first-served basis		100000.0	2018-04-30	3	20004	20036	4	36	20000	20000	0	0	44991	435580	0	0	0	0	0	0	-80474	-81253
0001723949-18-000012	Thrivera Ventures (dba Wunderfund) takes a 6-8% sliding scale success fee.	None	Other	Fatwood, LLC (dba ALTO Pizza Kitchen + Bar) will issue a Simple Agreement for Future Equity. The investor will get future shares against a $7,500,000 pre-money valuation cap.	5000	100.0	Interests are sold in $100.00 increments and is convertible to a share of stock described in the attached SAFE Agreement	50000.0	Y	Pro-rata basis		500000.0	2018-04-14	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001665160-18-000242																																
0001665160-18-000244	6 percent	N/A	Other	Convertible Note	100000	50.0	N/A	10000.0	Y	Other	At issuer's discretion	1070000.0	2018-05-28	3	6388	15937	27	2447	0	382	10596	13836	2038	2018	10058.1	19575.74	8341	10610	0	0	-42436	-43389
0001665160-18-000243	6 percent	N/A	Common Stock		5000	2.0	N/A	10000.0	Y	Other	At issuer's discretion	100000.0	2018-04-30	3	31617	0	3690	0	0	0	0	0	0	0	0	0	0	0	0	0	3650	0
