ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001670254-18-000100	0			Storeboard, Inc.	Corporation		VT	2016-12-02	28 South Main Street		Rutland	VT	05701	http://www.storeboard.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-18-000176	0			Maingear, Inc.	Corporation		DE	2002-09-12	206 Market St		Kenilworth	NJ	07033	www.maingear.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001704090-18-000003	0		Extended expiration date to April 30, 2018.	Gulf Coast Canna Meds, Inc.	Corporation		FL	2016-11-14	695 CENTRAL AVE	#202	ST PETERSBURG	FL	33701	gulfcoastcannameds.com	truCrowd, Inc	0001667145	007-00015	
0001665160-18-000255	0			Power Hero Corp.	Corporation		DE	2017-01-06	2105 Foothill Blvd.	Suite B360	LA VERNE	CA	91750	www.powerhero.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000258	0			Wordego, Incorporated	Corporation		DE	2016-02-17	222 W Merchandise Mart Plaza Suite 1212		Chicago	IL	60654	https://www.wordego.com	StartEngine Capital, LLC	0001665160	007-00007	
0001734621-18-000002	0			Jobletics, Inc	Corporation		MA	2015-07-16	5 MIDDLESEX AVE		SOMERVILLE	MA	02145	https://jobletics.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001710332-18-000002	0	The issuer raised approximately $390,000 during the offering period. Payment are still being processed; the exact amount has yet to be determined.		Duralogic USA Inc	Corporation		DE	2015-09-04	12 LA MONTAGNE LN		SANDY	UT	84092	https://www.ravean.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001728855-18-000003	0		The issuer is increasing the minimum investment amount per purchaser from $100 to $250.	Boon VR LLC	Limited Liability Company		DE	2016-03-09	404 BRYANT ST		SAN FRANCISCO	CA	94107	http://boonvr.com/	OpenDeal Inc.	0001672732	007-00046	
0001665160-18-000251	0	At the close of the offering, the amount closed on is $23,191.00 and 23,191 securities sold, final amount subject to change pending final receipt of committed investments.		LifeBridge 10000, LLC	Limited Liability Company		FL	2015-01-05	862 E WILDMERE AVE		LONGWOOD	FL	32750	http://www.lifebridge10000.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001724637-18-000001	0	The Issuer has raised the maximum offering amount.		BuffBrew Taproom, LLC	Limited Liability Company		TX	2017-09-25	5301 NOLDA ST		HOUSTON	TX	77007	www.buffbrew.com	NextSeed US LLC	0001667892	007-00023	283225
0001724714-18-000004	0	The issuer raised approximately $725,000 during the offering period. Payment are still being processed; the exact amount has yet to be determined.		Gryphon Online Safety, Inc.	Corporation		DE	2014-01-30	10265 PRAIRIE SPRINGS ROAD		SAN DIEGO	CA	92127	https://www.gryphonconnect.com/	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001670254-18-000099	1		Lowered target offering amount, and updated business plan.	Orthogonal Thinker Inc.	Corporation		DE	2016-12-20	1215 South Kihei Rd. #424		Kihei	HI	96753	http://OrthogonalThinker.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-18-000249	0			UniCoin Blockchain Inc.	Corporation		DE	2018-02-26	13393 Samantha Ave		San Diego	CA	92129	www.unicoin.life	StartEngine Capital, LLC	0001665160	007-00007	
0001723487-18-000001	0			Lynwood Financial Group														
0001735522-18-000001	0			Squirrel Capital Investments Inc.	Corporation		NV	2017-09-28	7250 EMPRESS DR		LAS VEGAS	NV	89147	greenhazeleasing.com	truCrowd, Inc	0001667145	007-00015	
0001710013-18-000001	0		Extend closing date to December 31, 2018.	Distributed Security, Inc.	Corporation		IL	2011-03-16	518 S. ROUTE 31 #238		MCHENRY	IL	60050	www.distributedsecurity.com	truCrowd, Inc	0001667145	007-00015	
0001669191-18-000173	0		Issuer extended offering deadline	ChoiceTrade Holdings, Inc.	Corporation		PR	2014-10-23	151 San Francisco Street	Suite 200	San Juan	PR	00901	www.choicetrade.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000246	1		Issuer is extending, adjusting their minimum purchase price, and updating the terms of their offering.	Bioclonetics Immunotherapeutics, Inc.	Corporation		TX	2009-12-24	1756 BISON MEADOW LANE		HEATH	TX	75032	www.bioclonetics.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000245	1		The issuer is extending their offering, increasing their maximum funding goal, and increasing their minimum purchase price.	StorEn Technologies Inc.	Corporation		DE	2017-01-03	25 HEALTH SCIENCES DRIVE		STONY BROOK	NY	11790	www.storen.tech	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-18-000170	0		Issuer extended offering deadline	City Windmills Inc.	Corporation		DE	2011-04-13	37 Bayne Street		Norwalk	CT	06851	www.city-windmills.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000242	0			WORDEGO INC														
0001723949-18-000012	1		The issuer has decided to extend the campaign until 4/14/18. Also, the issuer is providing an independent CPA review of their financials (i.e. the balance sheet) for investors. Now attached.	Fatwood LLC	Limited Liability Company		OH	2017-08-28	7406 JAGER CT.		CINCINNATI	KY	45230	www.flipdaddys.com	Thrivera Ventures Fund I, LLC	0001707360	007-00116	
0001665160-18-000243	1		The issuer is extending their campaign	TotalSource Solutions, Inc	Corporation		VA	2016-10-31	1020 JOHN PAUL JONES DRIVE		STAFFORD	VA	22554	https://www.totalsource.solutions	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000244	1		Issuer is extending the offering.	General Presence Inc.	Corporation		DE	2011-02-28	26 WESTMINSTER AVENUE UNIT 4		VENICE	CA	90291	https://zenvideo.co	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-18-000167	0		Amending language for Regulation CF	4Gen Technology Group, Inc.	Corporation		DE	2017-11-09	1 Devonshire pl	suite 1506	Boston	MA	02109	4gtg.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-18-000165	0		Amending language for Regulation CF	Finnest, Inc.	Corporation		DE	2017-02-22	185 Bowen Street	Unit 2	Providence	RI	02906	www.finnest.co	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000241	1		The company is extending their offering and has added their 2017 financial statements.	LIFE RECOVERY SYSTEMS HD LLC	Limited Liability Company		LA	2002-06-06	711 KIMBALL AVE		ALEXANDRIA	LA	71301	www.life-recovery.com	StartEngine Capital, LLC	0001665160	007-00007	
0001709244-18-000001	0			Gab Al Inc	Corporation		DE	2016-09-09	1900 Market Street		PHILADELPHIA	PA	19103	WWW.GAB.AOI				
0001735243-18-000001	0			Platform at 930, LLC	Limited Liability Company		DE	2018-03-02	456 S GRAHAM ST.		PITTSBURGH	PA	15232	www.plattformpgh.com	NSSC Funding Portal, LLC	0001665614	007-00012	282942
0001665160-18-000240	0	At the close of the offering, the amount closed on is $35,485.00 and 28,388 number of securities sold, final amount subject to change pending final receipt of committed investments.		Vibrant TV, LLC	Limited Liability Company		IL	2011-08-15	990 GROVE STREET, SUITE 300		EVANSTON	IL	60201	https://vibrant.tv	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000239	0	At the close of the offering, the amount closed on is $88,500.32 and 48,098 number of securities sold, final amount subject to change pending final receipt of committed investments.		WitFoo, Inc.	Corporation		DE	2016-02-05	1155 MT VERNON HWY NE	SUITE 800	ATLANTA	GA	30338	https://www.witfoo.com	StartEngine Capital, LLC	0001665160	007-00007	
0001715749-18-000001	0	The issuer raised approximately $94,000 during the offering period.		3DaGoGo, Inc	Corporation		DE	2013-09-23	101 West Broadway, Suite 1120		San Diego	CA	92101	http://AstroPrint.com	First Democracy VC	0001683054	007-00076	285360
0001670254-18-000095	0			V-PLAN INC.	Corporation		VA	2017-12-29	13800 Coppermine Road		Herndon	VA	20171	http://WWW.ALLESTIMATOR.COM	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-18-000097	0			Loop Devices Inc.	Corporation		DE	2014-12-23	1127 10th Ave East		Seattle	WA	98102	http://www.gogemio.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-18-000094	0			Better Network, Inc.	Corporation		DE	2015-06-19	151 West 25th Street	11th Floor	New York	NY	10001	https://withfriends.co	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-18-000162	0		Amendment is to correct the extended offering date	ICEBREAKER, INC.	Corporation		DE	2017-02-13	25 Lyman St		North Attleboro	MA	02760-3306	http://icebr.kr/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-18-000160	0		Amendment is to extend the offering date and reflect the allocation of outstanding shares from a former minority owner to the co-founders	ICEBREAKER, INC.	Corporation		DE	2017-02-13	25 Lyman St		North Attleboro	MA	02760-3306	http://icebr.kr/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001721104-18-000010	0		Extending the offering termination date to April 22, 2018	Cloud Cover Media, Inc.	Corporation		CA	2011-10-10	1634 19TH STREET		SANTA MONICA	CA	90404	www.cloudcovermusic.com	EquityBender LLC	0001681493	007-00092	285983
0001721104-18-000009	0		Extending the termination date of the offering to April 22, 2018	Cloud Cover Media, Inc.	Corporation		CA	2011-10-10	1634 19TH STREET		SANTA MONICA	CA	90404	www.cloudcovermusic.com	EquityBender LLC	0001681493	007-00092	285983
0001670254-18-000092	0			Simple Machine, LLC	Limited Liability Company		AZ	2016-04-29	2375 East Camelback Road	6th Floor	Phoenix	AZ	85016	http://arena.com/ & http://arenamerchandising.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-18-000156	0			Finnest, Inc.	Corporation		DE	2017-02-22	185 Bowen Street	Unit 2	Providence	RI	02906	www.finnest.co	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-18-000158	0			4Gen Technology Group, Inc.	Corporation		DE	2017-11-09	1 Devonshire pl	suite 1506	Boston	MA	02109	4gtg.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000237	0			Whetstone International Network LLC	Limited Liability Company		CA	2017-11-30	2017 East Hillcrest Drive		Visalia	CA	93292	win.repair	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000234	1		The issuer is extending offering.	EPEC Holdings, Inc	Corporation		FL	2008-10-09	1776 PINE ISLAND RD.	SUITE 316	PLANTATION	FL	33322	http://www.jamesfchyde.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000232	0			Apparent Energy, Inc.	Corporation		NV	2013-11-01	295 East Main St	#1	Ashland	OR	97520	www.apparent-energy.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000228	0			Rentah, Incorporated	Corporation		NY	2014-03-04	67 West Street	4th Floor - Suite B-1	Brooklyn	NY	11222	https://www.rentah.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000226	1		The issuer is extending their campaign	Real Bloody Mary Co., LLC	Limited Liability Company		DE	2016-05-20	12711 VENTURA BLVD. #290		STUDIO CITY	CA	91604	https://www.vampire.com/bloodymary	StartEngine Capital, LLC	0001665160	007-00007	
0001734991-18-000002	0			Local X Change, LLC	Limited Liability Company		PA	2008-05-08	824 WHITMER ROAD		SLIGO	PA	16255	http://www.clarionriverorganics.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001722710-18-000004	0		Added disclosure that Company has not conducted any exempt offerings in the past three years.	Myways, Inc.	Corporation		DE	2017-05-22	1355 Market St	#488	San Francisco	CA	94103	http://www.circleof.io/	First Democracy VC	0001683054	007-00076	285360
0001731640-18-000004	0		Corrected a typo: Security Price was mistyped at $500/unit instead of $50/unit	WealthZoo, LLC	Limited Liability Company		IL	2017-05-16	350 N. ORLEANS ST.	SUITE #9000N	CHICAGO	IL	60654	www.wealthzoo.com	truCrowd, Inc	0001667145	007-00015	
0001669191-18-000148	0		This amendment is filed to update information about directors and officers of the company	Fathom Drones Inc.	Corporation		DE	2017-06-30	401 Hall St	Suite 213	Grand Rapids	MI	49503	fathomdrone.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000224	0			PlantSnap Inc.	Corporation		DE	2016-06-16	PO Box 3740		Telluride	CO	81435	PlantSnap.net	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000222	0			EpigenCare Inc.	Corporation		NY	2017-04-28	110 Bi County Blvd.	Ste. 122	Farmingdale	NY	11735	https://token.epigencare.com	StartEngine Capital, LLC	0001665160	007-00007	
