ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001820003-20-000004	0		Updated physical address of company.	Airo Capital Management, Inc.	Corporation		MD	2018-08-29	PO Box 340		Olney	MD	20830	https://www.airocapitalmanagement.com/	www.fundme.com	0001683485	007-00078	2344863
0001665160-20-001227	0			The Luving Company	Corporation		DE	2016-05-12	PO BOX 9147		Marina Del Rey	CA	90295	www.kidsluv.com	StartEngine Capital, LLC	0001665160	007-00007	
0001826174-20-000002	0			MEVERO, INC.	Corporation		DE	2019-04-26	3260 HILLVIEW AVE		PALO ALTO	CA	94304	www.mevero.com	crowdsourcefunded.com	0001667727	007-00027	283378
0001669191-20-000558	0		the issuer made minor image updates on the offering page.	Forever Young Technologies, INC	Corporation		DE	2020-05-12	1042 N. Mountain Ave	Suite B 374	Upland	CA	91786	www.melanence.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-20-000556	0		"minor disclosure added to the ""terms"" section of the offering page."	GenesisAI Corporation	Corporation		DE	2018-07-03	1010 Massachusetts Ave		CAMBRIDGE	MA	02138	https://www.genesisai.io/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001815319-20-000002	0			STM Hospitality, LLC	Limited Liability Company		TX	2019-07-19	1416 WESTHEIMER		HOUSTON	TX	77116	https://shootthemoontexas.com/	NEXTSEED SECURITIES, LLC	0001723503	008-70055	000291387
0001665160-20-001226	1		Updating debt in Financials	RED EYE LOUIE'S INC	Corporation		AL	2011-02-18	160 Highland View Dr.		Birmingham	AL	35242	www.redeyelouies.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-001225	1		Extending campaign and updating financials	Van Robotics, Inc.	Corporation		DE	2016-03-23	1225 Laurel Street, Suite 118		Columbia	SC	29201	smartrobottutor.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-001223	0			RED EYE LOUIE'S INC	Corporation		AL	2011-02-18	160 Highland View Dr.		Birmingham	AL	35242	www.redeyelouies.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-001221	1		Issuer provided updated financials, increased their max raise amount, and extended their offering.	La Fayette Franchise, Inc.	Corporation		DE	2020-05-26	211 Lincoln Road		Miami Beach	FL	33139	https://lesmoulinslafayette.com/en/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-001217	1		Issuer provided updated financials and increased their max raise amount.	Hawaiian Ola Brewing Corporation	Corporation		HI	2015-12-22	74-5598 Luhia St		Kailua Kona	HI	96740	https://www.olabrewco.com/	StartEngine Capital, LLC	0001665160	007-00007	
