ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001820003-20-000004	1	Airo Capital Management, Inc.	Frederic Richardson	Chairman President
0001665160-20-001227	1	The Luving Company	Ashi Jelinek	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001826174-20-000002	1	MEVERO, INC.	/s/ Kaushik Banerjee	Chief Executive Officer
0001669191-20-000558	1	Forever Young Technologies, INC	Juan  Young	Principal Executive Officer
0001669191-20-000556	1	GenesisAI Corporation	Archil Cheishvili	Principal Executive Officer
0001815319-20-000002	1	STM Hospitality, LLC	Kevin Floyd	CEO and President
0001665160-20-001226	1	RED EYE LOUIE'S INC	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001225	1	Van Robotics, Inc.	Laura Boccanfuso	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001223	1	RED EYE LOUIE'S INC	Chander Arora	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001221	1	La Fayette Franchise, Inc.	Nicolas Billaud	Co-CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001217	1	Hawaiian Ola Brewing Corporation	Brett Jacobson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001795615-20-000004	1	Hemp Real Estate Investments, Inc.	Tariq Khan by Sean Fuellhart POA	CEO
0001669191-20-000554	1	Monetran, LLC	Don Bielak	Principal Executive Officer
0001788657-20-000003	1	Flowh, Inc.	Eric H. Darst	CEO
0001826438-20-000002	1	H Influencer Collective Inc.	/s/ Shannon Bray	CEO
0001826308-20-000002	1	Tuttle Twins Show, LLC	Benton Crane	Executive Director
0001670254-20-000886	1	MARUX, Inc.	Michael D'Orazio	Co-Founder | Chief Operating Officer | CFO
0001665160-20-001213	1	Solgaard Design Inc.	Adrian Solgaard	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001215	1	Shacksbury Holdings, Inc.	Colin Davis	President, CEO, Principal Financial Officer, Controller, and Director for Shacksbury Holdings Inc.
0001670254-20-000885	1	Annestes Thoroughbreds Inc	George Hall	Board Member
0001746059-20-000307	1	McKai Brewing LLC	Mark Camlin	President
0001670254-20-000884	1	Annestes Thoroughbreds Inc	John Hall	CEO Adara Asset Management ( Board Member)
0001824811-20-000002	1	Sister Sunflower Ltd	Kay Henderson	Owner
0001775794-20-000001	1	RAIDAQ LLC	Adam Steven Fogerson	COO
0001746059-20-000306	1	Chivanada, LLC	Daniel Yarzagaray	Owner and CoFounder
0001670254-20-000882	1	YogaClub LLC	Scott Yamano	CEO/Co-Founder
0001820003-20-000002	1	Airo Capital Management, Inc.	Frederic Richardson	Chairman President
0001670254-20-000880	1	Inhabit.io, Inc	Chai Mishra	CEO
0001665160-20-001211	1	Z0cal Inc	Dr. Jareer Abu Ali	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001209	1	Z0cal Inc	Dr. Jareer Abu Ali	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-20-000305	1	Fit Wellness, LLC	Greg Chickneas	Owner and CoFounder
0001794603-20-000004	1	YEII Inc.	/s/ Erik Alvarez Ortegon	CEO, Director
0001665160-20-001207	1	Rayton Solar, Inc.	Andrew Yakub	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001806372-20-000004	1	Dollaride, Inc.	s/ Sulaiman Sanni	CEO, Director
0001815481-20-000003	1	Procurement Foundry INC	/s/ Steven Michael Cadieux	President
0001746059-20-000303	1	White Elk Tea & Coffee Co	Christopher Perron	Owner and Founder
0001826308-20-000001	1	Tuttle Twins Show, LLC	Daniel Harmon	President and Director
0001670254-20-000879	1	Ad Fontes Media, Inc.	Vanessa Otero	Founder and CEO
0001670254-20-000878	1	Neighborhood Sun Benefit Corp	Gary Skulnik	CEO
0001746059-20-000302	1	CGK ON NEWBURY LLC	Jose DeSouza	Owner and CoFounder
0001669191-20-000552	1	Puro Trader, Inc dba Yahyn	Joshua  Leavitt	Principal Executive Officer
0001669191-20-000550	1	MILLENNIAL FERTILITY CO. LLC	Philip Bock	Principal Executive Officer
0001665160-20-001205	1	Zenus, Inc.	Panagiotis Moutafis, Ph.D.	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-20-000548	1	Infinovate LLC	Jason Ozur	Principal Executive Officer
0001670254-20-000875	1	Annestes Thoroughbreds Inc	John Hall	CEO Adara Asset Management ( Board Member)
0001670254-20-000876	1	Doodeo Inc.	Rony Hage	Founder and CEO
0001748804-20-000001	1	Cookie Department, Inc.	Akiva Resnikoff	Chief Executive Officer
0001746059-20-000301	1	Big Chief Brewing, LLC	Mark Dashner	Owner and Founder
0001792116-20-000002	1	2270 Platt LLC	Joseph Jonna	Co-Manager
0001669191-20-000546	1	Zelgor Inc	John Fanning Jr	Principal Executive Officer
0001669191-20-000545	1	Watch Party LLC	Chelinde Edouard	Principal Executive Officer
0001669191-20-000544	1	PromoShare, Inc.	Ernesto Pedroza	Principal Executive Officer
0001669191-20-000543	1	Jinglz, Inc.	David Markowski	Principal Executive Officer
0001669191-20-000542	1	Dome Audio Inc.	Benjamin White	Principal Executive Officer
0001669191-20-000541	1	FinTron, LLC	Wilder  Rumpf	Principal Executive Officer
0001669191-20-000540	1	Backers Inc.	Brian Tinney	Principal Executive Officer
0001665160-20-001202	1	R3 Printing, Inc.	Paul Sieradzki	Director; Treasurer; Head of Product; Chief Executive Officer; President of R3 Printing, Inc.
0001669191-20-000537	1	PromoShare, Inc.	Ernesto Pedroza	Principal Executive Officer
0001746059-20-000299	1	Coquette LLC	Caitlin Olsen	Owner and Founder
0001746059-20-000298	1	Camino Brewing Company, LLC	Allen Korenstein	CEO and Co-Founder
0001445866-20-001411	1	SmartSoda Holdings, Inc.	/s/ Lior Shafir	Chief Executive Officer
0001670254-20-000871	1	Wildeye Inc.	Harold Cohn	CEO & CTO
0001670254-20-000869	1	Smartgurlz US Inc	Sharmi Albrechtsen	CEO
0001445866-20-001406	1	SmartSoda Holdings, Inc.	/s/ Lior Shafir	Chief Executive Officer
0001669191-20-000532	1	Domestic Brands Inc	Lawrence Charles	Principal Executive Officer
0001665160-20-001198	1	O2 Treehouse Commercial Inc	Dustin Feider	CEO, Principal Executive Officer and Director
0001669191-20-000530	1	GenesisAI Corporation	Archil Cheishvili	Principal Executive Officer
0001670254-20-000867	1	GlobeChat, Inc.	Kevin Strom	CEO
0001665160-20-001196	1	Innovative Eyewear Inc	Harrison Gross	CEO, Principal Executive Officer, Director
0001665160-20-001195	1	Swabbies Tech, Inc.	Carman Cook	CEO, Principal Executive Officer and Director
0001746059-20-000297	1	Groundlion Brewing Company, LLC	Samuel Brown III	Owner and CoFounder
0001665160-20-001194	1	Tapville Franchising, Inc.	Joseph Tota	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-20-000296	1	Culinary Craft Workshop, LLC	Michael Carter	Owner and CoFounder
0001746059-20-000295	1	East End Lights, LLC	Joseph Darrigo	Owner and Founder
0001669191-20-000526	1	Dj Holdings, LLC	Jason Hebert	Principal Executive Officer
0001665160-20-001193	1	Fluz App Inc.	Maurice Harary	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001191	1	Atmos Home Inc.	Mark Lyle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001190	1	Baqua Inc.	Sandra W. Marlowe	Chief Executive Officer
0001665160-20-001188	1	Yerbae Brands Co.	Todd Gibson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001803592-20-000002	1	GrapeStars International, Inc.	Jean Jean Pelletier	CEO, Director
0001670254-20-000866	1	Annestes Thoroughbreds Inc	John Hall	CEO Adara Asset Management ( Board Member)
0001746059-20-000294	1	Groundlion Brewing Company, LLC	Samuel Brown III	Owner and CoFounder
0001782494-20-000001	1	Ratio Holdings, LLC	/s/ Mark Hellweg	CEO & Director
0001805831-20-000002	1	Prazo, Inc.	/s/ Rodrigo de Guzman	CEO & Director
0001789130-20-000003	1	Audink Inc.	/s/ Erik Young	CEO, President
0001686984-20-000006	1	Snailz, Inc.	Darren Sardoff	Chief Executive Officer
0001670254-20-000863	1	Pavr Solutions, LLC	Jessica Bledsoe	Co-Founder & CEO
0001669191-20-000524	1	THB Holdco, LLC	Christopher Darnell	Principal Executive Officer
0001669191-20-000522	1	AllTheBelts LLC	Timothy Childs	Principal Executive Officer
0001669191-20-000520	1	Vymedic Inc.	Cynthia Winning	Principal Executive Officer
0001669191-20-000514	1	Vymedic Inc.	Cynthia Winning	Principal Executive Officer
0001683168-20-003254	1	24/7 Labs Corporation	/s/ Marley Roldan	President
0001665160-20-001185	1	Aquipor Technologies, Inc.	Greg Johnson	CEO, President, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001184	1	Streamlytics, Inc.	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001824239-20-000004	1	Jinjo LLC	Jo Seph Cho	Owner
0001746059-20-000293	1	Tezcat, LLC	Luis Melgarejo	Owner and Founder
0001824239-20-000003	1	Jinjo LLC	Jo Seph Cho	Owner
0001824239-20-000002	1	Pit Boss Inc	Wade McSwain	President
0001670254-20-000861	1	Full Plate Management, LLC	Nathan Stern	Manager
