ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-19-001263	1	Randall Bee	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-31
0001746059-19-000111	2	David Coons	Owner and CoFounder	2019-12-31
0001746059-19-000111	1	Sheila Coons	Owner and CoFounder	2019-12-31
0001665160-19-001262	1	Andrew Schlack	CEO, Principal Executive Officer and Director	2019-12-31
0001665160-19-001262	2	Benjamin Anderson	COO, Principal Financial Officer, Principal Accounting Officer, Director	2019-12-31
0001706939-19-000008	1	Peter Gantner	president	2019-12-31
0001791223-19-000003	1	Jeff Dayov	Chief Financial Officer, Finance Committee	2019-12-31
0001791223-19-000003	2	Tim A Matus	Chief Executive Officer/President	2019-12-31
0001665160-19-001261	1	Richard Marino	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-31
0001666102-19-000034	1	Edward Armstrong	CEO	2019-12-31
0001780452-19-000004	1	Tobias Maldonado	Owner	2019-12-30
0001798279-19-000001	1	Alexander Mountjoy	CEO	2019-12-30
0001104659-19-076754	3	/s/ E. Harold Gassenheimer	Chief Financial Officer, Manager	2019-12-30
0001104659-19-076754	1	/s/ Eugene Meehan	President, Manager	2019-12-30
0001104659-19-076754	2	/s/ Fredy Dellis	Chief Operating Officer, Manager	2019-12-30
0001702607-19-000002	1	Simon Bray Jr	CEO	2019-12-30
0001797650-19-000003	1	Arjun Rai	President, Director	2019-12-30
0001665160-19-001260	1	Chris Outwater	CEO, Principal Executive Officer and Director	2019-12-30
0001665160-19-001260	2	Timothy A. Hylas	Principal Financial Officer and Principal Accounting Officer	2019-12-30
0001665160-19-001257	1	Chris Thompson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-30
0001665160-19-001256	1	Steve Grubbs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2019-12-30
0001654300-19-000004	1	Neville Golvala	CEO	2019-12-27
0001746059-19-000109	1	Ugur Yilmaz	Owner and Founder	2019-12-30
0001665160-19-001255	1	J. Garrett Green	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2019-12-30
