ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-19-001263	1		Issuer is extending the length of their campaign by 60 days.	Osiris Media Corp	Corporation		DE	2017-11-07	3300 13TH STREET NE		WASHINGTON	DC	20017	www.osirispod.com	StartEngine Capital, LLC	0001665160	007-00007	
0001746059-19-000111	0			HOT OVEN COOKIES, LLC	Limited Liability Company		MA	2019-04-02	1597 MAIN ST.		SPRINGFIELD	MA	01103	https://www.hotovencookies.com/	MainVest, Inc.	0001746059	007-00162	
0001665160-19-001262	1		Issuer is extending the length of their campaign by 30 days.	Wand USA Inc.	Corporation		DE	2018-07-03	1770 CHESTNUT PL APT 1019	APT 1019	DENVER	CO	80202	www.wandusa.com	StartEngine Capital, LLC	0001665160	007-00007	
0001706939-19-000008	0		Updating offering deadline to 2/01/2020	kulaBrands, Inc.	Corporation		DE	2016-05-25	16509 E ARROYO VISTA DR		FOUNTAIN HILLS	AZ	85268	kulabrands.com	truCrowd, Inc	0001667145	007-00015	283063
0001791223-19-000003	0			Renu Robotics Corporation	Corporation		TX	2018-08-02	12918 Delivery		San Antonio	TX	78247	www.renurobotics.com	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001665160-19-001261	1		Issuer is extending the length of their campaign by 60 days.	Open Box Buy Corp	Corporation		NV	2018-08-21	2896 CARMELO DRIVE		HENDERSON	NV	89052	www.openboxbuyonline.com	StartEngine Capital, LLC	0001665160	007-00007	
0001666102-19-000034	0		Extend offering deadline	Saberation Inc.	Corporation		VA	2018-02-26	1801 PLEASURE HOUSE RD. STE. #109		VIRGINIA BEACH	VA	23455	https://saberation.com/	Mr. Crowd	0001666102	007-00042	284278
0001780452-19-000004	0		During the initial Form C submission, we meant to include the offering for both the United States and Canada. However, we unknowingly only included Canada. Therefore, the nature of this submission is to add the United States in addition to Canada.	Globocoin 1, LLC	Limited Liability Company		DE	2018-02-12	8 THE GREEN STREET	STE A	DOVER	DE	19901	www.joinbiticar.com	crowdsourcefunded.com	0001667727	007-00027	
0001798279-19-000001	0			ELIZABETH WILLMORE	Corporation		CA	2017-06-23	1360 N. McDowell Blvd.	Suite 1A	Petaluma	CA	94954	www.mountjoysparkling.com	MicroVenture Marketplace Inc.	0001478147	008-68458	152513
0001104659-19-076754	0	The offering successfully closed with the Company receiving investment commitments of the maximum amount, $245,000 (subject to a final accounting, which has not yet occurred).		Blue World Voyages LLC	Limited Liability Company		FL	2016-04-28	142 Sans Souci Drive		Coral Gables	FL	33133	https://www.blueworldvoyages.com/	OpenDeal Portal LLC	0001751525	007-00167	283874
