ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-19-001263	1	Osiris Media Corp	Randall Bee	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001746059-19-000111	1	HOT OVEN COOKIES, LLC	Sheila Coons	Owner and CoFounder
0001665160-19-001262	1	Wand USA Inc.	Andrew Schlack	CEO, Principal Executive Officer and Director
0001706939-19-000008	1	kulaBrands, Inc.	Peter Gantner	President
0001791223-19-000003	1	Renu Robotics Corporation	Tim Matus	Chief Executive Officer/President
0001665160-19-001261	1	Open Box Buy Corp	Richard Marino	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001666102-19-000034	1	Saberation Inc.	Edward Armstrong	CEO
0001780452-19-000004	1	Globocoin 1, LLC	Tobias Maldonado	Owner
0001798279-19-000001	1	Mountjoy Enterprises, Inc.	Alexander Mountjoy	CEO
0001104659-19-076754	1	Blue World Voyages, LLC	/s/ Eugene Meehan	President
0001702607-19-000002	1	Streaming Television Inc	Simon Bray Jr	CEO
0001797650-19-000003	1	Woofy, Inc.	Arjun Rai	President, Director
0001665160-19-001260	1	Liberty PlugIns, Inc.	Chris Outwater	CEO, Principal Executive Officer and Director
0001665160-19-001257	1	TriplePulse, Inc.	Chris Thompson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-19-001256	1	ChalkBites Inc.	Steve Grubbs	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001654300-19-000004	1	ChoiceTrade Holdings, Inc.	Neville Golvala	CEO
0001746059-19-000109	1	Father & Son Mobile Business	Ugur Yilmaz	Owner and Founder
0001665160-19-001255	1	One Roq Spirits, LLC	J. Garrett Green	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-19-001254	1	Icarus Blockchain Group Inc.	Maya Parbhoe	CEO, Principal Executive Officer and Director
0001768621-19-000004	1	Commongrounds Cooperative	Kate Redman	Project Director
0001771075-19-000004	1	Ogden's Own Distillery, Inc.	Steve Conlin	CEO
0001665160-19-001253	1	SitTight, Inc.	Scott Bahneman	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001658754-19-000003	1	Pongalo Inc.	Richard Hull	principal executive officer, principal financial officer, principal accounting officer and director
0001666102-19-000033	1	Armored Citizen, LLC.	Aaron K Gilbert	President & CEO
0001769091-19-000003	1	Rocket Dollar Inc	/s/Todayashi Henry Yoshida	Director, Chief Executive Officer
0001746059-19-000108	1	Kin Tap & Rec Room, LLC	Elizabeth Castellana	Owner and Founder
0001746059-19-000107	1	Kin Tap & Rec Room, LLC	Elizabeth Castellana	Owner and Founder
0001789922-19-000005	1	Aavrani, Inc.	Rooshy Roychoudhury	CEO
0001797650-19-000001	1	Woofy, Inc.	Arjun Rai	President, Director
0001796599-19-000001	1	Kind Collection inc	/s/ Jewel Zimmer	CEO, Director
0001691657-19-000001	1	Stareable, Inc.	/s/ Ajay Kishore	CEO, Director
0001792754-19-000003	1	Illusio, Inc.	Ethan Winner	Chief Executive Officer
0001716822-19-000001	1	70 Million Resources, Inc.	/s/ Richard Bronson	CEO, Director
0001753336-19-000003	1	Eagle Protect, PBC	Stephen Warne Ardagh	President and Chief Executive Officer
0001767357-19-000006	1	H & G Science, Inc.	Kevin Henretta	Chief Technology Officer
0001749553-19-000004	1	Creamy Coconuts, LLC	Kai Nortey	Chief Executive Officer, Member
0001666102-19-000030	1	SUCCESS BY MEDIA HOLDINGS INC	Jay Noland	CEO
0001788590-19-000004	1	OpenAVN Inc	Harish Prasanna	principal executive officer, controller, board member
0001788590-19-000003	1	Suitable Inc	Raymond Li	principal executive officer, principal financial officer, controller, board of directors
0001786082-19-000002	1	Nine Spoons, LLC	Jen Ferrone	Owner
0001790509-19-000005	1	StreetWell, LLC	David Lidz	Manager and Sole Member
0001670254-19-000730	1	Novomoto LLC	Mehrdad Arjmand	Co-Founder/CEO
0001670254-19-000733	1	GenesisAI Corporation	Archil Cheishvili	CEO
0001670254-19-000728	1	OODLES CORPORATION	Asheesh Barman	Co-Founder, President, & COO
0001765975-19-000007	1	Patio Bar One, LLC	David Brendan Murphy	Manager
0001670254-19-000725	1	5 Rabbit Pilsen, LLC	Andres Arsaya	Managing Member
0001665160-19-001251	1	Adv3nture, Inc.	Zane Lamprey	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-19-001250	1	LiquidPiston, Inc.	Alexander Shkolnik	CEO
0001665160-19-001249	1	LiquidPiston, Inc.	Alexander Shkolnik	President
0001786104-19-000004	1	Profit Property USA 946 MLK LLC,	Zak Laikin	Manager of Profit Property USA LLC, its Manager
0001787645-19-000005	1	Gleantap Inc	/s/ Sagar Babber	CEO
0001791747-19-000002	1	Oomi Inc.	Obi Onyejekwe	CEO
0001767762-19-000001	1	Bounty0x Inc.	/s/ Angelo Adam	CEO, Principal Financial/Accounting Officer, Director
0001666102-19-000029	1	Vibravision, LLC.	Nathan Zeleznick	Chairman/Chief Executive Officer
0001793460-19-000004	1	SongVest Records Inc.	Sean Peace	CEO
0001796295-19-000001	1	Nuu Rez Inc	Noelle Randall	CEO
0001665160-19-001248	1	Prime Lightworks Inc.	Kyle Flanagan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
