ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001670254-18-000328	0			Parvenu Fundraising, Inc	Corporation		VA	2017-12-22	718 7th St NW		Washington	DC	20001	http://www.parvenunext.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-18-000639	1		The issuer will be extending their campaign.	Cryptid LLC	Limited Liability Company		DE	2017-09-05	130 BAY RIDGE PARKWAY	APT 2D	BROOKLYN	NY	11209	www.cryptidmovie.com	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-18-000330	0			Woodpecker Technologies, LLC	Limited Liability Company		DE	2017-06-30	258A Commonwealth Ave.		Boston	MA	02116	https://www.woodpeckerweb.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001742118-18-000004	0	Total amount raised = $10,000		Abeille Beaute LLC	Limited Liability Company		PA	2015-11-02	2327 MURRAY AVENUE		PITTSBURGH	PA	15217	www.pittsburghhoney.com	Honeycomb Portal LLC	0001705726	007-00119	289015
0001665160-18-000638	0			STRYD	Corporation		NV	2017-08-10	2309 Cedar Ave	#7	Long Beach	CA	90806	www.strydapp.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000632	1		Issuer is extending their campaign, updating financials, and increasing their maximum funding amount.	IJUZE Corp	Corporation		DE	2017-01-06	2105 FOOTHILL BLVD.	SUITE B360	LA VERNE	CA	91750	www.powerhero.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000633	1		Issuer is updating their use of proceeds.	IJUZE Corp	Corporation		DE	2017-01-06	2105 FOOTHILL BLVD.	SUITE B360	LA VERNE	CA	91750	www.powerhero.com	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-18-000327	0			Cleveland Whiskey LLC	Limited Liability Company		OH	2009-07-08	1768 E. 25th St		Cleveland	OH	44114	http://clevelandwhiskey.com/	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-18-000634	1		The issuer is extending their campaign.	Real Bloody Mary Co., LLC	Limited Liability Company		DE	2016-05-20	12711 VENTURA BLVD. #290		STUDIO CITY	CA	91604	https://www.vampire.com/bloodymary	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000631	1		The company is updating their video and extending campaign.	LIFE RECOVERY SYSTEMS HD LLC	Limited Liability Company		LA	2002-06-06	711 KIMBALL AVE		ALEXANDRIA	LA	71301	www.life-recovery.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000630	0			Flont, Inc.	Corporation		DE	2016-04-28	22 W 48th St	Suite 902	New York	NY	10036	flont.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000628	0	At the close of the offering, the amount closed on is $13,000 and 26 securities sold, final amount subject to change pending final receipt of committed investments.		Whetstone International Network, LLC	Limited Liability Company		CA	2017-11-30	2017 EAST HILLCREST DRIVE		VISALIA	CA	93292	win.repair	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000627	1		Issuer is extending their campaign, raising their maximum funding goal, and updating their financials.	Bioclonetics Immunotherapeutics, Inc.	Corporation		TX	2009-12-24	1756 BISON MEADOW LANE		HEATH	TX	75032	www.bioclonetics.com	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-18-000328	0		Issuer extended offering deadline.	Maingear, Inc.	Corporation		DE	2002-09-12	206 Market St		Kenilworth	NJ	07033	www.maingear.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-18-000326	0		Issuer extended offering deadline.	ChoiceTrade Holdings, Inc.	Corporation		PR	2014-10-23	151 San Francisco Street	Suite 200	San Juan	PR	00901	www.choicetrade.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001745081-18-000001	0			Little Bear LLC	Limited Liability Company		TN	2017-11-29	1302 S. WILLOW AVE		CHATTANOOGA	TN	37404	www.lilosochx.com	GrowthFountain Capital LLC	0001668506	007-00028	
0001669191-18-000324	0		Issuer extended offering deadline.	Stodo Technologies LLC	Limited Liability Company		CT	2015-11-13	81 Phoenix Ave.		Naugatuck, CT	CT	06770	www.facebook.com/stododelivers	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001669191-18-000322	0		Issuer provided a non material principal certification update.	Kingscrowd LLC	Limited Liability Company		DE	2017-12-14	745 Atlantic Ave		Boston	MA	02111	kingscrowd.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000626	0	At the close of the offering, the amount closed on is $10,600.00 and 10,600 number of securities sold, final amount subject to change pending final receipt of committed investments.		Abstract Tube Inc.	Corporation		DE	2017-11-14	82 CHITTENDEN AVE		COLUMBUS	OH	43201	http://www.abstract.tube/	StartEngine Capital LLC	0001665160	007-00007	
0001665160-18-000624	0			MicroGen Vet LLC	Limited Liability Company		DE	2017-09-15	1108 Woodland Rd		Pittsburgh	PA	15237	www.microgenvet.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000622	1		The issuer is extending their campaign.	TotalSource Solutions, Inc	Corporation		VA	2016-10-31	1020 JOHN PAUL JONES DRIVE		STAFFORD	VA	22554	https://www.totalsource.solutions	StartEngine Capital, LLC	0001665160	007-00007	
0001744818-18-000001	0			Inside.com, Inc.	Corporation		DE	2006-10-25	9415 CULVER BOULEVARD		CULVER CITY	CA	90232	https://inside.com/	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001665160-18-000620	0			Flower Turbines LLC	Limited Liability Company		NY	2013-09-25	240 Central Ave.	1J	Lawrence	NY	11559	http://www.flowerturbines.com	StartEngine Capital, LLC	0001665160	007-00007	
0001722197-18-000005	0			Indeco Financial Syndicate	Corporation		DE	2017-11-03	11911 FREEDOM DRIVE	8TH FLOOR	RESTON	VA	20190	https://ind.eco/	truCrowd, Inc	0001667145	007-00015	
0001670254-18-000326	1		Change early bird terms	Hospitality Innovated, LLC	Limited Liability Company		NY	2014-07-07	545 fifth avenue		New York	NY	10017	http://www.hotelsbyday.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001653582-18-000002	0			EF Resources, Inc.	Corporation		TX	2015-01-21	777 POST OAK BLVD	SUITE 300	HOUSTON	TX	77056	https://www.energyfunders.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001731189-18-000005	0	The target offering amount of $1,000 has been reached		3451 Benning LLC	Limited Liability Company		DC	2017-11-28	3232 GEORGIA AVE NW	SUITE 100	WASHINGTON DC	DC	20010	www.neighborhooddevelopment.com	NSSC Funding Portal, LLC	0001665614	007-00012	
0001731189-18-000004	1		Offering changed to side-by-side Reg CF + 506(c); Financial information, architectural renderings and project timeline updated; Target amount reduced to $1,000.	3451 Benning LLC	Limited Liability Company		DC	2017-11-28	3232 GEORGIA AVE NW	SUITE 100	WASHINGTON DC	DC	20010	www.neighborhooddevelopment.com	NSSC Funding Portal, LLC	0001665614	007-00012	
0001739408-18-000003	0	Total amount raised $30,500		Tall Pines Distillery LLC	Limited Liability Company		PA	2015-12-14	9224 MASON DIXON HIGHWAY		SALISBURY	PA	15558	http://www.tallpinesdistillery.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001665160-18-000617	0	At the end of the offering, the issuer closed on $627,728 and 627,728 securities sold.		Shark Wheel LLC	Limited Liability Company		CA	2012-10-24	22600 LAMBERT ST	704-A	LAKE FOREST	CA	92630	www.sharkwheel.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000618	0			Rhino Hide LLC	Limited Liability Company		ID	2018-06-13	273 Birch Banks		Sagle	ID	83860	www.rhino-hide.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000615	0		The issuer is updating campaign page to reflect name of new coin.	General Presence Inc.	Corporation		DE	2011-02-28	26 WESTMINSTER AVENUE UNIT 4		VENICE	CA	90291	https://zenvideo.co	StartEngine Capital, LLC	0001665160	007-00007	
0001740120-18-000004	1		Added related party disclosure affirmation and details of debt payable	JWJTWO LLC	Limited Liability Company		PA	2016-08-15	555 WILDWOOD AVE		VERONA	PA	15146	https://www.pittsburghpickle.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001693411-18-000002	1		Escrow target updated, minimum lowered, extend offering end date	GoFish Cam, Inc.	Corporation		DE	2016-01-21	4600 COMMANDERS POINT DRIVE		AUSTIN	TX	78734	https://www.gofishcam.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001669191-18-000320	0			Kingscrowd LLC	Limited Liability Company		DE	2017-12-14	745 Atlantic Ave		Boston	MA	02111	kingscrowd.com	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001665160-18-000613	0			Overland ATS, LLC	Corporation		DE	2017-11-16	3600 NW 43ND STREET, SUITE C-1	SUITE C-1	GAINESVILLE	FL	32606	https://www.spacedivisioninc.com				
0001665160-18-000611	0			Overland ATS, LLC	Limited Liability Company		FL	2011-02-10	3600 NW 43nd Street, Suite C-1		Gainesville	FL	32606	http://www.overlandats.com	StartEngine Capital, LLC	0001665160	007-00007	
0001739714-18-000001	0			Certifiably, INC	Corporation		DE	2018-03-16	670 WATCH HILL LN		CINCINNATI	OH	45230	http://buycertifiably.com	Thrivera Ventures Fund I, LLC	0001707360	007-00116	
0001742134-18-000005	0		Updated Exhibits	Item Banc	Corporation		SC	2018-06-04	201 MAIN STREET	NUMBER B	HARDEEVILLE	SC	29927	www.itembanc.io	FIRST DEMOCRACY VC	0001683054	007-00076	
0001665160-18-000609	0			Genlines.com, LLC	Limited Liability Company		WI	2015-05-08	W358N4920 Harbor Ct		Oconomowoc	WI	53066	https://www.genlines.com	StartEngine Capital, LLC	0001665160	007-00007	
0001738944-18-000006	1		Extending Offering deadline to July 30, 2018	Pixilated LLC	Limited Liability Company		MD	2012-01-05	3200 James Street		Baltimore	MD	21230	www.pixilated.com	First Democracy VC	0001683054	007-00076	285360
0001744554-18-000001	0			Fragrance of Heaven LLC	Limited Liability Company		TX	2018-06-14	3501 50TH STREET	SUITE 124	LUBBOCK	TX	79413	https://fragranceofheavencandles.com	Mr. Crowd	0001666102	007-00042	284278
0001736304-18-000003	0		This Amendment was filed to update Crowd Note (attached as Exhibit D) to clarify definition of outstanding principal and to add a transcript for a video webinar (attached as Exhibit G).	Primo Wind, Inc.	Limited Partnership		CA	2012-12-26	7350 Trade Street	Suite B	San Diego	CA	92121	www.primowind.com	First Democracy VC	0001683054	007-00076	285360
0001670254-18-000324	0			Solstar Space Company.	Corporation		DE	2017-03-01	150 Washington Avenue		Santa Fe	NM	87501	http://solstar.net	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-18-000606	0			Mola Foods, Inc	Corporation		NH	2016-08-31	15 Tanguay Avenue	#123	Nashua	NH	03063	www.molafoods.com	StartEngine Capital, LLC	0001665160	007-00007	
0001735494-18-000005	0		We've decided to extend the campaign end date to Monday July 9, 2018.	Nicci Willis & Co	Limited Liability Company		OH	2017-04-27	6974 CREEKSIDE WAY		FAIRFIELD TOWNSHIP	OH	45011	www.jameenwillis.com	Thrivera Ventures Fund I, LLC	0001707360	007-00116	
0001665160-18-000604	1		The issuer is extending their campaign.	Unicoin Blockchain, Inc.	Corporation		DE	2018-02-26	13393 SAMANTHA AVE		SAN DIEGO	CA	92129	www.unicoin.life	StartEngine Capital, LLC	0001665160	007-00007	
0001702784-18-000002	0			CHRGR Inc.	Corporation		NY	2006-04-18	873 BROADWAY, SUITE 305		NEW YORK	NY	10003	http://www.chrgr.co/				
0001665160-18-000603	0		Issuer has added additional videos to the campaign page.	Denim LA, Inc.	Corporation		DE	2013-01-30	8899 BEVERLY BLVD	SUITE 600	WEST HOLLYWOOD	CA	90048	www.dstld.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000602	0			EDSO Inc.	Corporation		DE	2017-04-04	15 Quarry Lane		Malden	MA	02148	www.educatedsocially.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000598	1		The company is extending the end date of their offering.	Keezel, Inc.	Corporation		DE	2017-04-27	20377 SW ACACIA STREET, 2ND FLOOR		NEWPORT BEACH	CA	92660	https://www.keezel.us	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000601	1		The issuer has updated photos on campaign page to reflect updated prototype images.	Orbis Law Corp	Corporation		DE	2018-02-12	33 WEST HAWTHORNE AVENUE		VALLEY STREAM	NY	11580	https://www.getorbisapp.com/search	StartEngine Capital, LLC	0001665160	007-00007	
0001670254-18-000322	0			SST-Technologies LLC	Limited Liability Company		NM	2007-01-17	108 CANYON VIEW COURT NE		Albuquerque	NM	87123	http://www.anywherefridge.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-18-000323	0		Included video transcript	Industry Water Filtration, Inc.	Corporation		WY	2017-01-27	3571 E. Sunset Rd., Ste. 202		Las Vegas	NV	89120	http://www.iwfsaveswater.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-18-000597	1		Extending campaign end date.	Powell Development Group Inc.	Corporation		NV	2013-03-20	2600 W. 225TH STREET		TORRANCE	CA	90505	www.galacticcap.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000599	1		The issuer is extending the campaign end date.	Citizen Health Project, Inc.	Corporation		DE	2018-03-28	6641 HWY 98 SUITE 200		HATTIESBURG	MS	39402	https://citizenhealth.io	StartEngine Capital, LLC	0001665160	007-00007	
0001693411-18-000001	0			GoFish Cam, Inc.	Corporation		DE	2016-01-21	4600 COMMANDERS POINT DRIVE		AUSTIN	TX	78734	https://www.gofishcam.com	SI SECURITIES, LLC	0001603038	008-69440	000170937
0001665160-18-000595	0			Quila Marias Tequila Ria LLC	Limited Liability Company		FL	2015-08-03	10257 Windhorst Road	Tampa, FL	Tampa	FL	33619	https://www.quilamarias.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-18-000592	0	At the end of the offering, the issuer closed on $228,535 and 45,707 securities.		Baja United Imports, Inc.	Corporation		DE	2017-05-11	3183-C AIRWAY AVENUE		COSTA MESA	CA	92626	www.bajaunitedgroup.com	StartEngine Capital, LLC	0001665160	007-00007	
0001741753-18-000001	0			Local Choice Inc.	Corporation		SC	2010-12-21	63 Dalton Street		Daniel Island	SC	29492	www.localchoicespirits.com	First Democracy VC	0001683054	007-00076	285360
0001742065-18-000006	0	Total amount raised $35,000.		DHG Partners, LLC	Limited Liability Company		PA	2017-07-20	1137 S. BRADDOCK AVENUE		PITTSBURGH	PA	15218	www.mygoodnesspgh.com	Honeycomb Portal LLC	0001705726	007-00119	289015
0001743808-18-000001	0			Flatlay Inc	Corporation		DE	2016-09-12	555 West 5th Street #630		LOS ANGELES	CA	90013	www.theflatlay.com	SeriesOne, LLC	0001680047	007-00070	285012
0001670254-18-000317	0		Added early bird terms of $5M valuation cap for first $250k investors (i.e. all investors who have currently committed). Increased valuation cap to $10M for future investors.	Yolo Rum, LLC	Limited Liability Company		CO	2018-03-05	5612 E Colfax Ave		Denver	CO	80220	http://www.yolorum.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001742118-18-000003	0		Updated closing date, additional confirmation in offering statement.	Abeille Beaute LLC	Limited Liability Company		PA	2015-11-02	2327 MURRAY AVENUE		PITTSBURGH	PA	15217	www.pittsburghhoney.com	Honeycomb Portal LLC	0001705726	007-00119	289015
0001670254-18-000321	0		Include updated business plan	Coppertino Inc	Corporation		DE	2009-04-29	300 Delaware Ave ste 210-A		Wilmington	DE	19801	https://vox.rocks	Wefunder Portal LLC	0001670254	007-00033	283503
0001669191-18-000316	0			Lipidomics, Inc.	Corporation		DE	2016-03-02	6228 Timber Ridge Dr.		Corvallis	OR	97333	https://lipidomx.com/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
0001670254-18-000320	0		Change deadline date; include transcripts	ZYPPAH, Inc.	Corporation		NV	2012-03-01	701 SOUTH CARSON STREET SUITE #200		Carson City	NV	89701-5239	http://www.zyppah.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-18-000318	1		Lowered minimum target; added new equity raised; updated use of funds	Dog Parker, Inc.	Corporation		DE	2016-04-08	New Lab	19 Morris Avenue, Building 128	Brooklyn	NY	11205	http://www.dogparker.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001739405-18-000002	0			Oxalis Food, LLC	Limited Liability Company		NY	2016-04-04	936 ST MARKS AVE #3A		Brooklyn	NY	11213	http://www.oxalisnyc.com/	NextSeed US LLC	0001667892	007-00023	283225
