ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001670254-18-000328	1	Parvenu Fundraising, Inc	Patrick Hoban	Co-founder & CEO
0001665160-18-000639	1	Cryptid LLC	Brad Rego	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001669191-18-000330	1	Woodpecker Technologies, LLC	Alex Melehy	Principal Executive Officer
0001742118-18-000004	1	Abeille Beaute LLC	Alyssa Fine	Owner
0001665160-18-000638	1	STRYD	Nyajah Bass	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000633	1	IJUZE Corp	Esmond Goei	CEO, Principal Executive Officer and Director
0001665160-18-000634	1	Real Bloody Mary Co., LLC	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-18-000327	1	Cleveland Whiskey LLC	Tom Lix	CEO
0001665160-18-000632	1	IJUZE Corp	Esmond Goei	CEO, Principal Executive Officer and Director
0001665160-18-000631	1	LIFE RECOVERY SYSTEMS HD LLC	Robert J Freedman	CEO, Principal Executive Officer and Manager
0001665160-18-000630	1	Flont, Inc.	Cormac Kinney	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000628	1	Whetstone International Network, LLC	John W Whetstone	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000627	1	Bioclonetics Immunotherapeutics, Inc.	Charles S. Cotropia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-18-000328	1	Maingear, Inc.	Wallace Santos	Principal Executive Officer
0001669191-18-000326	1	ChoiceTrade Holdings, Inc.	Neville Golvala	Principal Executive Officer
0001745081-18-000001	1	Little Bear LLC	/s/ Christopher Greer	CEO
0001669191-18-000324	1	Stodo Technologies LLC	Adam  Lopez	Principal Executive Officer
0001669191-18-000322	1	Kingscrowd LLC	Christopher Lustrino	Principal Executive Officer
0001665160-18-000626	1	Abstract Tube Inc.	Sarbojeet Jana	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-18-000624	1	MicroGen Vet LLC	Kurt Dombkowski	CEO, Principal Executive Officer, Manager
0001665160-18-000622	1	TotalSource Solutions, Inc	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001744818-18-000001	1	Inside.com, Inc.	Austin Smith	President
0001670254-18-000326	1	Hospitality Innovated, LLC	Yannis Moati	CEO and Co-Founder
0001722197-18-000005	1	Indeco Financial Syndicate	/s/David Levine	Chief Executive Officer and President
0001665160-18-000620	1	Flower Turbines LLC	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
