ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001670254-18-000328	2	Patrick Hoban	Co-founder & CEO	2018-06-29
0001670254-18-000328	1	Site Li	Co-founder & COO	2018-06-29
0001665160-18-000639	1	Brad Rego	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-06-29
0001669191-18-000330	4	Alex Melehy	Board Member	2018-06-29
0001669191-18-000330	3	Alex Melehy	Principal Accounting Officer	2018-06-29
0001669191-18-000330	2	Alex Melehy	Principal Financial Officer	2018-06-29
0001669191-18-000330	1	Alex Melehy	Principal Executive Officer	2018-06-29
0001742118-18-000004	1	Alyssa Fine	Owner	2018-06-29
0001665160-18-000638	1	Nyajah Bass	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-29
0001670254-18-000327	5	Tom Lix	CEO	2018-06-26
0001670254-18-000327	4	Kevin L. Cash	Director	2018-06-26
0001665160-18-000633	1	Esmond Goei	CEO, Principal Executive Officer and Director	2018-06-28
0001665160-18-000633	2	Robert Kent	CMO, Vice Chairman and Director	2018-06-28
0001665160-18-000633	3	Suit Khown Chan	Principal Financial Officer and Principle Accounting Officer	2018-06-28
0001665160-18-000634	2	Lisa Machat	Director	2018-06-28
0001665160-18-000632	2	Robert Kent	CMO, Vice Chairman and Director	2018-06-28
0001665160-18-000632	3	Suit Khown Chan	Principal Financial Officer and Principle Accounting Officer	2018-06-28
0001670254-18-000327	3	Blake Squires	Director	2018-06-26
0001670254-18-000327	2	David Haynes	Director	2018-06-26
0001670254-18-000327	1	Rebecca White	Director	2018-06-26
0001665160-18-000634	1	Michael Machat	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001665160-18-000632	1	Esmond Goei	CEO, Principal Executive Officer and Director	2018-06-28
0001665160-18-000631	1	Robert J Freedman	CEO, Principal Executive Officer and Manager	2018-06-28
0001665160-18-000631	2	Coan I Knight	Controller	2018-06-28
0001665160-18-000630	1	Cormac Kinney	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001665160-18-000628	1	John W Whetstone	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001665160-18-000627	1	Charles S. Cotropia	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001669191-18-000328	3	Wallace Santos	Principal Accounting Officer	2018-03-16
0001669191-18-000328	2	Wallace Santos	Principal Financial Officer	2018-03-16
0001669191-18-000328	1	Wallace Santos	Principal Executive Officer	2018-03-16
0001669191-18-000326	4	Ronald Buckner	Board Member	2018-02-19
0001669191-18-000326	1	Neville Golvala	Principal Executive Officer	2018-02-27
0001669191-18-000326	2	Ronald Buckner	Principal Financial Officer	2018-02-27
0001669191-18-000326	3	Ronald Buckner	Principal Accounting Officer	2018-02-27
0001745081-18-000001	1	/s/ Christopher Greer	CEO /  Principal Financial Officer / Principal Accounting Officer	2018-06-25
0001669191-18-000324	2	Adam  Lopez	Principal Financial Officer	2018-03-17
0001669191-18-000324	1	Adam  Lopez	Principal Executive Officer	2018-03-17
0001669191-18-000324	3	Adam  Lopez	Principal Accounting Officer	2018-03-17
0001669191-18-000322	1	Christopher Lustrino	Principal Executive Officer	2018-06-15
0001669191-18-000322	2	Christopher Lustrino	Principal Financial Officer	2018-06-15
0001669191-18-000322	3	Christopher Lustrino	Principal Accounting Officer	2018-06-15
0001665160-18-000626	1	Sarbojeet Jana	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001665160-18-000624	1	Kurt Dombkowski	CEO, Principal Executive Officer, Manager	2018-06-28
0001665160-18-000624	2	Raymond Ramey	Manager, Principal Financial Officer, Principal Accounting Officer	2018-06-28
0001665160-18-000622	1	George B. Brown	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-28
0001722197-18-000005	5	/s/Jeff Hembrock	Director	2018-06-27
0001722197-18-000005	6	/s/David Heyman	Director	2018-06-27
0001665160-18-000620	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-27
0001722197-18-000005	1	/s/David Levine	Principal Executive Officer, Principal Accounting Officer and Director	2018-06-27
0001722197-18-000005	2	/s/Paul Feldman	Director	2018-06-27
0001744818-18-000001	2	Austin Smith	President	2018-06-27
0001744818-18-000001	1	Jason Calacanis	CEO	2018-06-27
0001670254-18-000326	3	Yannis Moati	CEO and Co-Founder	2018-06-08
0001670254-18-000326	2	Eddy Kaljic	CHO	2018-06-08
0001670254-18-000326	1	Tony Cheung	Principal Accounting Officer	2018-06-08
0001722197-18-000005	3	/s/Russell J Bruemmer	Director	2018-06-27
0001722197-18-000005	4	/s/Denise Denson	Director	2018-06-27
0001744818-18-000001	3	Roelof Botha	Board Member	2018-06-27
0001653582-18-000002	1	Casey Minshew	Director	2018-06-27
0001653582-18-000002	2	Philip Racusin	Director	2018-06-27
0001653582-18-000002	3	Michael Racusin	Director	2018-06-27
0001731189-18-000005	1	Adrian Washington	CEO of Manager, The Neighborhood Development Company, LLC	2018-06-27
0001731189-18-000004	1	Adrian Washington	CEO of Manager, The Neighborhood Development Company, LLC	2018-06-27
0001739408-18-000003	1	Lisa Welch	Owner	2018-06-27
0001665160-18-000617	1	Zack Fleishman	Chief Operating Officer, Principal Executive Officer and Director, Principal Financial Officer and Controller	2018-06-27
0001665160-18-000618	1	Jason Giddings	CEO, Principal Executive Officer and Manager, Principal Financial Officer and Principal Accounting Officer	2018-06-27
0001665160-18-000615	1	Frank Erik Banks	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2018-06-27
0001740120-18-000004	1	William Patterson	Member	2018-06-27
0001693411-18-000002	2	Ryan Austin	Director	2018-06-26
0001693411-18-000002	1	Brandon Austin	Director	2018-06-26
