ACCESSION_NUMBER	COMPENSATIONAMOUNT	FINANCIALINTEREST	SECURITYOFFEREDTYPE	SECURITYOFFEREDOTHERDESC	NOOFSECURITYOFFERED	PRICE	PRICEDETERMINATIONMETHOD	OFFERINGAMOUNT	OVERSUBSCRIPTIONACCEPTED	OVERSUBSCRIPTIONALLOCATIONTYPE	DESCOVERSUBSCRIPTION	MAXIMUMOFFERINGAMOUNT	DEADLINEDATE	CURRENTEMPLOYEES	TOTALASSETMOSTRECENTFISCALYEAR	TOTALASSETPRIORFISCALYEAR	CASHEQUIMOSTRECENTFISCALYEAR	CASHEQUIPRIORFISCALYEAR	ACTRECEIVEDRECENTFISCALYEAR	ACTRECEIVEDPRIORFISCALYEAR	SHORTTERMDEBTMRECENTFISCALYEAR	SHORTTERMDEBTPRIORFISCALYEAR	LONGTERMDEBTRECENTFISCALYEAR	LONGTERMDEBTPRIORFISCALYEAR	REVENUEMOSTRECENTFISCALYEAR	REVENUEPRIORFISCALYEAR	COSTGOODSSOLDRECENTFISCALYEAR	COSTGOODSSOLDPRIORFISCALYEAR	TAXPAIDMOSTRECENTFISCALYEAR	TAXPAIDPRIORFISCALYEAR	NETINCOMEMOSTRECENTFISCALYEAR	NETINCOMEPRIORFISCALYEAR
0001670254-18-000328	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	Securities equal to 2.0% of the securities sold will be issued to the intermediary upon a successful fundraise.	Other	Simple Agreement for Future Equity (SAFE)	162445	1.0	Pro-rated portion of the total principal value of $162,445; interests will be sold in increments of $1; each investment is convertible to one share of stock as described under Item 13.	162445.0	Y	Other	As determined by the issuer	1070000.0	2018-12-14	2	1	0	0	0	0	0	0	0	1003	0	0	0	0	0	0	0	-1010	0
0001665160-18-000639	6 percent	N/A	Other	Non-Managing Membership Units	100	100.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-08-31	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0001669191-18-000330	Up to 4.9% of amount raised for a successful offering	None.	Other	Units	100000	0.1	At issuer's discretion	10000.0	Y	First-come, first-served basis		107000.0	2018-08-30	5	974	0	974	0	0	0	0	0	0	0	0	0	0	0	0	0	-10202	0
0001742118-18-000004	2.0% of total offering plus 2.85% of investment (capped @ $21.76)	No	Debt			1.0	Pro-rated portion of the total principal value of $10,000	9500.0	Y	First-come, first-served basis		10000.0	2018-06-28	1	37665	4350	700	350	0	0	0	0	0	0	36224	22237	16307	7065	0	0	7423	12432
0001665160-18-000638	8 percent	N/A	Other	Convertible Note	10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-09-27	5	100	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	-750	0
0001665160-18-000632	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	516663.0	2018-08-28	6	110083	0	41126	0	31380	0	582	0	0	0	0	0	0	0	0	0	-136911	0
0001670254-18-000327	5.0% of the offering amount upon a successful fundraise, and be entitled to reimbursement for out-of-pocket third party expenses it pays or incurs on behalf of the Issuer in connection with the offering.	No	Other	Class E Units	58005	4.3100000000000005	Premoney valuation ($14,771,675.93) divided by number of outstanding securities.	250000.0	Y	Other	As determined by the issuer	1000000.0	2018-12-21	15	1106603	1440343	77872	565621	139184	66432	357203	302220	812313	812881	1528903	949511	628805	523719	140307	106765	-388153	-526237
0001665160-18-000633	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	516663.0	2018-08-28	6	110083	0	41126	0	31380	0	582	0	0	0	0	0	0	0	0	0	-136911	0
0001665160-18-000634	6 percent	N/A	Common Stock		10000	1.0	N/A	10000.0	Y	Other	At issuer's discretion	107000.0	2018-08-29	7	103258.19	11150	0	0	0	0	11345.33	0	0	0	0	0	617.67	0	0	800	-19217.33	-14218.73
0001665160-18-000631	6 percent	N/A	Other	Class B Common Units	1044	9.57	N/A	9991.08	Y	Other	At issuer's discretion	106992.6	2018-09-03	4	198953	230859.89	1783	7617.25	0	23199.66	159391	213147.59	3024616	2771254.79	104330	237896.48	76515	124007.15000000001	0	0	-230344	-133511.87
