ACCESSION_NUMBER	ISAMENDMENT	PROGRESSUPDATE	NATUREOFAMENDMENT	NAMEOFISSUER	LEGALSTATUSFORM	LEGALSTATUSOTHERDESC	JURISDICTIONORGANIZATION	DATEINCORPORATION	STREET1	STREET2	CITY	STATEORCOUNTRY	ZIPCODE	ISSUERWEBSITE	COMPANYNAME	COMMISSIONCIK	COMMISSIONFILENUMBER	CRDNUMBER
0001665160-20-000899	0			CALIFORNIA TEQUILA, INC.	Corporation		CA	2002-05-02	30012 Aventura, Suite A		Rancho Santa Margarita	CA	92688	https://www.atequila.com	StartEngine Capital, LLC	0001665160	007-00007	
0001801610-20-000005	0	The Offering closed successfully on June 30, 2020, having received investment commitments of $1,070,000, although a final accounting has not taken place.		Pure Green Franchise Corp	Corporation		NY	2019-08-19	60 EAST 8TH STREET		NEW YORK	NY	10003	https://puregreenfranchise.com	OpenDeal Portal LLC	0001751525	007-00167	283874
0001665160-20-000897	1		Issuer increased their maximum raise amount.	Streamlytics, Inc.	Corporation		DE	2018-10-11	8623 Washington Blvd		Culver City	CA	90232	https://www.streamlytics.co/	StartEngine Capital, LLC	0001665160	007-00007	
0001812932-20-000001	0		Updating offering date from June 29, 2020 to June 30, 2020 due to EDGAR outage and delayed Form C acceptance.	Unikorn Inc.	Corporation		DE	2015-10-06	171 Main Street	#274	Los Altos	CA	94022	https://petpal.in	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001670254-20-000573	0			Neighborhood Sun Benefit Corp	Other	Public Benefit Corporation	MD	2016-11-03	8121 Georgia Ave., Suite 300		Silver Spring	MD	20910	http://neighborhoodsun.solar	Wefunder Portal LLC	0001670254	007-00033	283503
0001670254-20-000571	0			DIEMLIFE INC	Corporation		DE	2016-03-08	85 East 10th Street	Ste M	New York	NY	10003	https://diem.life	Wefunder Portal LLC	0001670254	007-00033	283503
0001806372-20-000002	1		Company is hereby extending its offering to October, 19 2020. Additionally, the Company finalized a rolling close on June 26, locking in $225,461.19, approximately half of which will be drawn down upon and disbursed to the company.	PiQPiQ, Inc.	Corporation		DE	2015-01-13	1922 LAKE STREET		SAN FRANCISCO	CA	94121	hearo.live	OpenDeal Portal LLC	0001751525	007-00167	283874
0001816327-20-000005	0	Updated CRD number for the crowdfunding platform		Rent Yuh Ride	Limited Liability Company		NJ	2019-06-11	3105 NW 107th Avenue	Suite 400-J3	Doral	FL	33172	www.rentyuhride.com	SeriesOne	0001680047	007-00070	285012
0001816327-20-000003	0			Unikorn Inc.	Corporation		DE	2015-10-06	171 Main Street	#274	Los Altos	CA	94022	https://petpal.in	MicroVenture Marketplace, Inc.	0001478147	008-68458	152513
0001816036-20-000004	1		correction to official business name	Squash the Beef LLC	Limited Liability Company		OH	2019-03-15	901 LANCEWOOD DRIVE		MACEDONIA	OH	44056	https://squashthebeefcatering.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001665160-20-000894	0			Tapville Franchising Inc.	Corporation		DE	2020-06-08	216 S Washington Street		Naperville	IL	60540	https://tapvillesocial.com/	StartEngine Capital, LLC	0001665160	007-00007	
0001816430-20-000002	1		correction to official business name	Squash the Beef Catering LLC	Limited Liability Company		OH	2019-03-15	901 LANCEWOOD DRIVE		MACEDONIA	OH	44056	https://squashthebeefcatering.com/	Honeycomb Portal LLC	0001705726	007-00119	289015
0001816430-20-000001	0			Sophie Chang Inc.	Corporation		CA	2010-07-24	112 W 9TH ST	#223	LOS ANGELES	CA	90015	sophiechang.com	Honeycomb Portal LLC	0001705726	007-00119	289015
0001670254-20-000569	1		Material amendment - adding lead investor.	Payroll4Free.com, Inc.	Corporation		DE	2019-01-02	23297 Commerce Park		Beachwood	OH	44122	http://www.payroll4free.com	Wefunder Portal LLC	0001670254	007-00033	283503
0001665160-20-000893	1		Issuer updated their maximum raise amount.	Flower Turbines, Inc.	Corporation		DE	2013-09-25	240 Central Ave., # 1J		Lawrence	NY	11559	http://www.flowerturbines.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000891	1		Issuer is extending the length of their campaign by 60 days.	Baqua Inc.	Corporation		DE	2016-03-28	325 W MAIN ST SUITE 300	SUITE 300	LEXINGTON	KY	40507	www.baqua.com	StartEngine Capital, LLC	0001665160	007-00007	
0001805743-20-000005	0	$55,721 IN INVESTMENTS. FINAL FIGURE NOT YET DETERMINED; PAYMENTS STILL PROCESSING.		Goodwolf Feeding Co	Corporation		OR	2016-10-11	7715 NE 33RD DRIVE SUITE D		PORTLAND	OR	97211	www.drinkgoodwolf.com	MicroVenture Marketplace Inc.	0001478147	008-68458	152513
0001742162-20-000005	0			Consumer Cooperative Group Inc	Corporation		OR	2017-01-27	5900 Balcones Dr	Ste 100	Austin	TX	78731	www.ccg.coop	Buy The Block	0001693877	007-00098	287496
0001665160-20-000888	0			Innovative Eyewear, Inc.	Corporation		FL	2019-08-15	12000 Biscayne Bl Ste 216		North Miami	FL	33181	lucyd.co	StartEngine Capital, LLC	0001665160	007-00007	
0001780439-20-000035	0		The company name was updated to Love The Network, Inc. and the offering memo was updated to the correct version.	Love The Network, Inc.	Corporation		ME	2019-03-15	75 BISHOP STREET	SUITE 12	PORTLAND	ME	04103	https://lovethenetwork.com	Fundopolis Portal LLC	0001729158	007-00143	292835
0001780439-20-000034	0		The company name was updated to Love The Network, Inc. and the offering memo was updated to the correct version.	Love The Network, Inc.	Corporation		ME	2019-03-15	75 BISHOP STREET	SUITE 12	PORTLAND	ME	04103	https://lovethenetwork.com	Fundopolis Portal LLC	0001729158	007-00143	292835
0001780439-20-000033	0		The company name was updated to Love The Network, Inc. and the offering memo was updated to the correct version.	Love The Network, Inc.	Corporation		ME	2019-03-15	75 BISHOP STREET	SUITE 12	PORTLAND	ME	04103	https://lovethenetwork.com	Fundopolis Portal LLC	0001729158	007-00143	292835
0001665160-20-000887	1		Issuer is extending the length of their campaign by 60 days.	Boku International Inc	Corporation		DE	2014-09-29	987 WEST OJAI AVENUE	987 WEST OJAI AVE.	OJAI	CA	93023	www.bokusuperfood.com	StartEngine Capital, LLC	0001665160	007-00007	
0001665160-20-000886	1		Issuer is extending the length of their campaign by 60 days.	Mamie's Pies, Inc.	Corporation		DE	2020-02-10	203 AUBURN STREET		SAN RAFAEL	CA	94901	www.mamiespies.com	StartEngine Capital, LLC	0001665160	007-00007	
0001669191-20-000343	0		clerical error corrected.	Dome Audio Inc.	Corporation		DE	2017-04-03	2 Park Square	Suite 2212	Rahway	NJ	07065	https://www.domeaudioinc.com/	NetCapital Funding Portal Inc.	0001669191	007-00035	283596
