ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-20-000899	1	CALIFORNIA TEQUILA, INC.	Richard Gamarra	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001801610-20-000005	1	Pure Green Franchise Corp	Ross Franklin	Chief Executive Officer and Director
0001665160-20-000897	1	Streamlytics, Inc.	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001812932-20-000001	1	Unikorn Inc.	Srivatsava Gorthy	Founder and CEO
0001670254-20-000573	1	Neighborhood Sun Benefit Corp	Gary Skulnik	CEO
0001670254-20-000571	1	DIEMLIFE INC	Timothy Midgley	CEO
0001806372-20-000002	1	PiQPiQ, Inc.	/s/ Edward Lerner	CEO, Director
0001816327-20-000005	1	Rent Yuh Ride LLC	Cherie Williams	Manager/CEO
0001816327-20-000003	1	Unikorn Inc.	Srivatsava Gorthy	Founder and CEO
0001816036-20-000004	1	Squash the Beef LLC	Candace Maiden	Co-Owner
0001665160-20-000894	1	Tapville Franchising Inc.	Joseph Tota	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001816430-20-000002	1	Squash the Beef Catering LLC	Candace Maiden	Co-Owner
0001816430-20-000001	1	Sophie Chang Inc.	Sophie Chang	Owner
0001665160-20-000893	1	Flower Turbines, Inc.	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001670254-20-000569	1	Payroll4Free.com, Inc.	Michael Roseneberg	Preseident & CEO
0001805743-20-000005	1	Goodwolf Feeding Co	/s/ Joseph Keenan Smith	FOUNDER, CEO
0001665160-20-000891	1	Baqua Inc.	Sandra W. Marlowe	Chief Executive officer and Chairman of the Executive Board, Principal Financial Officer and Principal Accounting Officer
0001742162-20-000005	1	Consumer Cooperative Group Inc	Tanen Andrews	Founder/CEO
0001665160-20-000888	1	Innovative Eyewear, Inc.	Harrison Gross	CEO, Principal Executive Officer, Director
0001780439-20-000035	1	Love The Network, Inc.	Lauren Elizabeth Gamache	CEO
0001780439-20-000034	1	Love The Network, Inc.	Lauren Elizabeth Gamache	CEO
0001780439-20-000033	1	Love The Network, Inc.	Lauren Elizabeth Gamache	CEO
0001665160-20-000887	1	Boku International Inc	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000886	1	Mamie's Pies, Inc.	Kara Romanik	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001669191-20-000343	1	Dome Audio Inc.	Benjamin White	Principal Executive Officer
0001796828-20-000007	1	3204 Lyons Avenue LLC	Christopher Senegal	President/CEO
0001665160-20-000885	1	Rumble Motors, Inc.	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001775186-20-000002	1	Sama Sama LLC	Stephen Stayer	Member
0001785236-20-000004	1	Texas Karne, LLC	Jason Cho	Member
0001780439-20-000032	1	Love The Network	Lauren Elizabeth Gamache	CEO
0001815611-20-000002	1	CodeCombat Inc.	Nicholas Winter	CEO
0001665160-20-000883	1	Style Station	Melissa Meister	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Office
0001665160-20-000882	1	Liberty PlugIns, Inc.	Chris Outwater	CEO, Principal Executive Officer and Director
0001665160-20-000880	1	Locking Line Barriers Corporation dba WaterBlocks	Joseph Daniluk	CEO, Principal Executive Officer and Director, Principal Financial Officer, Secretary, and Principal Accounting Officer
0001797565-20-000002	1	BioPact Cellular Transport, Inc.	Kurt Swogger	Chief Executive Officer
0001665160-20-000878	1	Franny's Manufacturing Inc	Jeff Tacy	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001815611-20-000001	1	CodeCombat Inc.	Nicholas Winter	CEO
0001665160-20-000877	1	Prime Lightworks Inc.	Kyle Flanagan	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000876	1	Fantasy Network Corp	Ronald B Newcomb	CEO, Principal Executive Officer and Director
0001665160-20-000875	1	El Tinieblo International, Inc.	Brian Gale	CEO, Principal Executive Officer and Director
0001665160-20-000874	1	Flower Turbines LLC	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-000873	1	XTI Aircraft Co	Robert LaBelle	CEO, Principal Executive Officer and Director
0001665160-20-000872	1	VLISO, inc.	David Obasiolu	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
