ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-20-000899	1	Richard Gamarra	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-30
0001801610-20-000005	1	Ross Franklin	Chief Executive Officer and Director	2020-06-30
0001665160-20-000897	1	Angela Benton	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-30
0001812932-20-000001	1	Srivatsava Gorthy	Founder and CEO	2020-06-30
0001670254-20-000573	2	William Bumpers	Director	2020-06-27
0001670254-20-000573	3	Ian Sneed	Director	2020-06-26
0001670254-20-000573	4	Gary Skulnik	CEO	2020-06-25
0001670254-20-000573	1	Aleisha Khan	Director	2020-06-29
0001670254-20-000571	1	Yoo-Sun Park	CLO	2020-06-30
0001670254-20-000571	2	Timothy Midgley	CEO	2020-06-30
0001806372-20-000002	1	/s/ Edward Lerner	CEO, Director	2020-06-30
0001816327-20-000005	1	Cherie Williams	Manager/CEO	2020-02-26
0001816327-20-000003	1	Srivatsava Gorthy	Founder and CEO	2020-06-29
0001816036-20-000004	1	Candace Maiden	Co-Owner	2020-06-30
0001665160-20-000894	1	Joseph Tota	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-29
0001816430-20-000002	1	Candace Maiden	Co-Owner	2020-06-30
0001816430-20-000001	1	Sophie Chang	Owner	2020-06-30
0001665160-20-000893	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-29
0001670254-20-000569	3	Michael Roseneberg	Preseident & CEO	2020-05-08
0001665160-20-000891	1	Sandra W. Marlowe	Chief Executive officer and Chairman of the Executive Board, Principal Financial Officer and Principal Accounting Officer	2020-06-29
0001670254-20-000569	1	Marta Mendizabal	COO & VP	2020-05-08
0001670254-20-000569	2	John Presti	VP Client Services	2020-05-08
0001742162-20-000005	1	Tanen Andrews	Founder/CEO	2020-06-22
0001805743-20-000005	1	/s/ Joseph Keenan Smith	FOUNDER, CEO	2020-06-29
0001665160-20-000888	1	Harrison Gross	CEO, Principal Executive Officer, Director	2020-06-29
0001665160-20-000888	2	Konrad Dabrowski	CFO, Principal Financial Officer, Principal Accounting Officer	2020-06-29
0001780439-20-000035	2	Ryan Albert Murphy	CFO, CTO	2020-06-29
0001780439-20-000035	1	Lauren Elizabeth Gamache	CEO	2020-06-29
0001780439-20-000034	1	Lauren Elizabeth Gamache	CEO	2020-06-29
0001780439-20-000034	2	Ryan Albert Murphy	CFO, CTO	2020-06-29
0001780439-20-000033	1	Lauren Elizabeth Gamache	CEO	2020-06-29
0001780439-20-000033	2	Ryan Albert Murphy	CFO-CTO	2020-06-29
0001665160-20-000887	1	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-29
0001665160-20-000886	1	Kara Romanik	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-06-29
