ACCESSION_NUMBER	ID	PERSONSIGNATURE	PERSONTITLE	SIGNATUREDATE
0001665160-20-001645	1	Dennis McKinley	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-31
0001823182-20-000005	2	David Nikzad	Chief Executive Officer	2020-11-11
0001823182-20-000005	1	Jason Hobson	Director	2020-11-11
0001823182-20-000005	3	Cecil Robles	Chief Strategy Officer	2020-11-11
0001665160-20-001637	1	Todd D. Wiebusch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-31
0001665160-20-001634	2	Edgar D. McKean III	Director	2020-12-31
0001665160-20-001634	1	Brian Gale	CEO, Principal Executive Officer and Director	2020-12-31
0001665160-20-001634	3	Cynthia P. Baron	Principal Financial Officer and Principal Accounting Officer	2020-12-31
0001670254-20-001203	1	Ajay Bam	CEO & CO-FOUNDER - Vyrill.com	2020-12-30
0001820003-20-000010	1	Frederic Richardson	Chairman President	2020-12-31
0001666102-20-000035	1	Tianyuan Gu	Chairman	2020-12-31
0001665160-20-001625	1	Dana Loberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-31
0001665160-20-001624	1	Steven Smith	Founder and CEO	2020-12-31
0001665160-20-001624	2	Sara Sherbondy	Chief Operating Officer	2020-12-31
0001665160-20-001624	3	Iselgis Garcia	Director	2020-12-31
0001665160-20-001624	4	Rainford Knight	CFO	2020-12-31
0001669191-20-000900	1	Lonnie Johnson	Principal Executive Officer	2020-12-31
0001669191-20-000900	6	Brian Spangle	Board Member	2020-12-31
0001669191-20-000900	5	Julianna  Smoot	Board Member	2020-12-31
0001669191-20-000900	4	Lonnie Johnson	Board Member	2020-12-31
0001669191-20-000900	2	Julianna  Smoot	Principal Financial Officer	2020-12-31
0001669191-20-000900	3	Brian Spangle	Principal Accounting Officer	2020-12-31
0001669191-20-000898	2	Jan  Lucanus	Principal Financial Officer	2020-12-31
0001669191-20-000898	1	Jan  Lucanus	Principal Executive Officer	2020-12-31
0001669191-20-000898	3	Jan  Lucanus	Principal Accounting Officer	2020-12-31
0001669191-20-000898	4	Jan  Lucanus	Board Member	2020-12-31
0001669191-20-000896	5	Hanady Elgamal	Board Member	2020-12-31
0001669191-20-000896	3	Medhat Ahmed	Principal Accounting Officer	2020-12-31
0001669191-20-000896	4	Medhat Ahmed	Board Member	2020-12-31
0001669191-20-000896	2	Medhat Ahmed	Principal Financial Officer	2020-12-31
0001669191-20-000896	1	Medhat Ahmed	Principal Executive Officer	2020-12-31
0001746059-20-000458	2	Ashley Chisley	Owner and CoFounder	2020-12-31
0001746059-20-000458	1	Nathaniel Chisley	Owner and CoFounder	2020-12-31
0001666102-20-000034	1	Tianyuan Gu	Chairman	2020-12-30
0001784242-20-000001	1	Jina Osumi	CEO	2020-12-30
0001780039-20-000003	1	Tudor Palaghita	President and CEO	2020-12-30
0001665160-20-001623	2	Christine Harem	Principal Financial Officer and Principal Accounting Officer	2020-12-30
0001665160-20-001623	1	Chris McCoy	CEO, Principal Executive Officer and Director	2020-12-30
0001746059-20-000457	1	Katlyn Rodriguez	Owner & President	2020-12-30
0001837115-20-000001	1	Ali Attar	Director	2020-12-30
0001837115-20-000001	2	Ghazal Abadi Naeini	Director	2020-12-30
0001669191-20-000893	1	Jan  Lucanus	Principal Executive Officer	2020-12-30
0001669191-20-000893	2	Jan  Lucanus	Principal Financial Officer	2020-12-30
0001669191-20-000893	3	Jan  Lucanus	Principal Accounting Officer	2020-12-30
0001665160-20-001618	1	Peter Budlong	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-30
0001823182-20-000004	3	Cecil Robles	Chief Strategy Officer	2020-11-11
0001823182-20-000004	2	David Nikzad	Chief Executive Officer	2020-11-11
0001823182-20-000004	1	Jason Hobson	Director	2020-11-11
0001654300-20-000007	1	/s/ Neville Golvala	CEO	2020-12-29
0001821982-20-000006	1	Matt McPheely	Manager, CM Development Partners LLC, CHPL Real Estate LLC's Manager	2020-12-29
0001665160-20-001615	3	Dan Coffman	Chairman of the Board	2020-12-29
0001665160-20-001615	2	Tom Kraatz	Principal Financial Officer and Principal Accounting Officer	2020-12-29
0001665160-20-001615	1	Harry R. Kraatz	CEO, Principal Executive Officer and Director	2020-12-29
0001669191-20-000890	5	Hans Koch	Board Member	2020-12-29
0001669191-20-000890	1	Hans Koch	Principal Executive Officer	2020-12-29
0001669191-20-000890	2	Hans Koch	Principal Financial Officer	2020-12-29
0001669191-20-000890	3	Hans Koch	Principal Accounting Officer	2020-12-29
0001669191-20-000890	4	Daniel Nagle MD	Board Member	2020-12-29
0001665160-20-001614	1	Sener Korkusuz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-29
0001669191-20-000888	1	Don Bielak	Principal Executive Officer	2020-12-29
0001669191-20-000888	2	Don Bielak	Board Member	2020-12-29
0001706020-20-000007	1	Steve Salani	CEO	2019-04-30
0001669191-20-000886	4	Alec Jansen	Board Member	2020-12-29
0001669191-20-000886	5	Dwi Sutandar	Board Member	2020-12-29
0001669191-20-000886	2	Dwi Sutandar	Principal Financial Officer	2020-12-29
0001669191-20-000886	1	Dwi Sutandar	Principal Executive Officer	2020-12-29
0001669191-20-000886	3	Dwi Sutandar	Principal Accounting Officer	2020-12-29
0001746059-20-000456	1	Jennifer Walker	CEO	2020-12-29
0001706020-20-000006	1	Steve Salani	CEO	2020-12-29
0001831621-20-000001	1	Christopher Merkle	CEO	2020-12-29
0001669191-20-000884	4	Hanady Elgamal	Board Member	2020-12-29
0001669191-20-000884	3	Medhat Ahmed	Principal Accounting Officer	2020-12-29
0001669191-20-000884	2	Medhat Ahmed	Principal Financial Officer	2020-12-29
0001669191-20-000884	1	Medhat Ahmed	Principal Executive Officer	2020-12-29
0001669191-20-000884	5	Medhat Ahmed	Board Member	2020-12-29
0001665160-20-001611	1	Mark Greget	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-29
0001581437-20-000006	1	H. Jacob Hanchar	CEO	2020-12-29
0001670254-20-001201	1	Larry Bieza	Founder	2020-12-17
0001665160-20-001608	1	Peter Budlong	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-29
0001665160-20-001605	1	Jared Elliott	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
0001670254-20-001199	1	Dami Jegede	CEO	2020-12-23
0001670254-20-001197	2	Gene Gilchrist	Chief Executive Officer	2020-12-22
0001670254-20-001197	1	James Norton	Chief Business Development Officer	2020-12-22
0001826440-20-000004	1	Dora Suppes by Sean Fuellhart POA	CEO	2020-12-28
0001746059-20-000454	1	Paul Gentile	Owner and CoFounder	2020-12-28
0001746059-20-000454	2	Christen Gentile	Owner and CoFounder	2020-12-28
0001817438-20-000006	1	Doug Kyle by Sean Fuellhart POA	CEO	2020-12-28
0001817438-20-000005	1	Tariq Khan by Sean Fuellhart POA	CEO	2020-12-28
0001817438-20-000004	1	Al Mughairy by Sean Fuellhart POA	CEO	2020-12-28
0001665160-20-001601	1	Mark Daniel Farb	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
0001799231-20-000003	1	Elias Tobias	CEO	2020-12-28
0001665160-20-001600	1	Lynn Rolle	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
0001665160-20-001599	1	Reza Khademi	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
0001665160-20-001598	1	Geoff Patterson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principle Accounting Officer	2020-12-28
0001775794-20-000004	1	Adam Steven Fogerson	COO	2020-12-28
0001746059-20-000453	1	Matthew Demma	Owner and Founder	2020-12-28
0001743601-20-000003	1	Darren V. Walker	CEO	2020-12-28
0001837254-20-000002	1	Zayn Kalyan	President	2020-12-24
0001665160-20-001597	1	Brent Zimmerman	CEO, Principal Executive Officer and Director/Manager	2020-12-28
0001665160-20-001597	3	Matt Shubeck	COO	2020-12-28
0001665160-20-001597	2	David Lentz	Accounting Manager/Controller	2020-12-28
0001665160-20-001596	1	Casey Stevenson	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
0001665160-20-001595	1	Dr. Ahmad Glover	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer	2020-12-28
