ACCESSION_NUMBER	ID	ISSUER	ISSUERSIGNATURE	ISSUERTITLE
0001665160-20-001645	1	OHDF Franchise, Inc.	Dennis McKinley	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001823182-20-000005	1	Ei.Ventures, Inc.	David Nikzad	Chief Executive Officer
0001665160-20-001637	1	SAEBO, Inc.	Todd D. Wiebusch	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001634	1	El Tinieblo International, Inc.	Brian Gale	CEO, Principal Executive Officer and Director
0001670254-20-001203	1	Vyrill Inc.	Ajay Bam	CEO & CO-FOUNDER - Vyrill.com
0001820003-20-000010	1	Airo Capital Management, Inc.	Frederic Richardson	Chairman President
0001666102-20-000035	1	SKYWIDE REAL ESTATE INTERNATIONAL LLC	Tianyuan Gu	Chairman
0001665160-20-001625	1	MojiLala, Inc.	Dana Loberg	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001665160-20-001624	1	Vegan Fine Foods LLC	Steven Smith	Founder and CEO
0001669191-20-000900	1	WWF Holdings, Inc.	Lonnie Johnson	Principal Executive Officer
0001669191-20-000898	1	ReelwUrld, Inc	Jan  Lucanus	Principal Executive Officer
0001669191-20-000896	1	Ontacad, Inc.	Medhat Ahmed	Principal Executive Officer
0001746059-20-000458	1	Southern Hideout, LLC	Nathaniel Chisley	Owner and CoFounder
0001666102-20-000034	1	SKYWIDE REAL ESTATE INTERNATIONAL LLC	Tianyuan Gu	Chairman
0001665160-20-001623	1	Real McCoy Tea Company	Chris McCoy	CEO, Principal Executive Officer and Director
0001784242-20-000001	1	Humphry Slocombe Group, LLC	Jina Osumi	CEO
0001780039-20-000003	1	Camppedia Inc.	Tudor Palaghita	President and CEO
0001746059-20-000457	1	Katies Kitchen Too, LLC	Katlyn Rodriguez	Owner & President
0001837115-20-000001	1	Realtyna Inc.	Ali Attar	Chief Executive Officer
0001669191-20-000893	1	ReelwUrld, Inc	Jan  Lucanus	Principal Executive Officer
0001665160-20-001618	1	Hundy, Inc.	Peter Budlong	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
0001823182-20-000004	1	Ei.Ventures, Inc.	David Nikzad	Chief Executive Officer
0001654300-20-000007	1	ChoiceTrade Holdings, Inc.	Neville Golvala	CEO
0001821982-20-000006	1	CHAPEL Real Estate LLC	Matt McPheely	Manager, CM Development Partners LLC, CHPL Real Estate LLC's Manager
0001665160-20-001615	1	Clear Genius Inc.	Harry R. Kraatz	CEO, Principal Executive Officer and Director
0001669191-20-000890	1	MYXR Inc	Hans Koch	Principal Executive Officer
0001665160-20-001614	1	A7FL Inc	Sener Korkusuz	CEO, Principal Executive Officer and Director, Principal Financial Officer and Principal Accounting Officer
